# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.55258, 0.538316, 0.572175, 0.754702, 1.78467, 1.059, 0.82038, 0.874045, 0.973616, 1.16238, 0.843072, 0.92957, 1.22364, 1.3541, 0.906285, 1.07502, 1.25644, 1.11012, 1.18358, 1.46664, 0.949976, 0.871732, 0.980642, 1.07723, 1.03051, 1.10112, 1.09633, 1.12913, 1.22139, 1.59873, 1.52171, 1.36104, 1.20903, 1.25296, 1.27066, 1.18022, 1.27724, 1.40719, 1.22436, 1.65459, 1.63717, 1.71217, 2.1843, 2.2694, 2.21117, 2.21903, 1.61104, 1.3882, 1.52084, 1.3966
0.01, 0.0639375, 0.573243, 0.575373, 0.549851, 0.695997, 1.71828, 1.06355, 0.878102, 0.94663, 0.978412, 0.966507, 0.687519, 0.773196, 1.21107, 1.28736, 0.911872, 1.02664, 1.20458, 1.1754, 1.26376, 1.44893, 0.937148, 1.05986, 0.975137, 1.15039, 1.11679, 1.04966, 1.08919, 1.29021, 1.15419, 1.64907, 1.51246, 1.24955, 1.30422, 1.30751, 1.35477, 1.16771, 1.19156, 1.41537, 1.33917, 1.70865, 1.68825, 1.83172, 2.15067, 2.23634, 2.34145, 2.1712, 1.53777, 1.33976, 1.59789, 1.42604
0.02, 0.0639375, 0.521401, 0.544098, 0.594898, 0.687018, 1.70983, 1.16325, 0.966307, 0.969525, 0.832139, 0.815463, 0.683965, 0.77865, 1.17728, 1.32302, 0.90327, 0.938289, 1.02642, 1.12814, 1.14907, 1.37386, 0.99457, 1.12698, 0.906078, 1.10743, 1.15913, 1.0015, 1.25161, 1.44325, 1.25672, 1.55644, 1.48609, 1.20365, 1.34812, 1.30873, 1.34888, 1.15687, 1.25875, 1.39914, 1.34889, 1.55489, 1.63821, 1.82558, 1.95051, 2.26652, 2.43031, 2.21277, 1.65247, 1.39649, 1.55436, 1.41878
0.03, 0.0639375, 0.423734, 0.609989, 0.574792, 0.620815, 1.72096, 1.06618, 0.966831, 0.865656, 0.840809, 0.725534, 0.750057, 0.81104, 1.08494, 1.32842, 0.94523, 0.927146, 1.20617, 1.09504, 1.05385, 1.25563, 0.996092, 1.08677, 0.823833, 1.0282, 1.08491, 1.08123, 1.33933, 1.41696, 1.29983, 1.46941, 1.45512, 1.27502, 1.34243, 1.27391, 1.17355, 1.12281, 1.3577, 1.34227, 1.29401, 1.45719, 1.57385, 1.752, 1.90997, 2.34047, 2.40862, 2.27794, 1.81214, 1.49682, 1.40579, 1.37425
0.04, 0.0639375, 0.375649, 0.709847, 0.575466, 0.571421, 1.7007, 1.03879, 0.972564, 0.684007, 0.847103, 0.716284, 0.902257, 0.786276, 1.01844, 1.27215, 0.847905, 1.06151, 1.39917, 1.06304, 0.944651, 1.23183, 0.922952, 1.03689, 0.879589, 0.954637, 0.965233, 1.16306, 1.32763, 1.39875, 1.26271, 1.37859, 1.34227, 1.34588, 1.31883, 1.24514, 1.12507, 1.01975, 1.28974, 1.31619, 1.24222, 1.35944, 1.55166, 1.71087, 1.93577, 2.41601, 2.40825, 2.26803, 1.88885, 1.50274, 1.26255, 1.28381
0.05, 0.0639375, 0.550864, 0.725176, 0.572155, 0.631599, 1.79814, 1.10986, 0.95786, 0.470999, 0.750585, 0.676589, 0.901647, 0.672688, 0.926186, 1.21936, 0.76806, 0.941133, 1.36415, 1.04175, 0.912216, 1.404, 0.938232, 0.965974, 1.0155, 1.04938, 1.04512, 1.18316, 1.20813, 1.39324, 1.35436, 1.34347, 1.27291, 1.309, 1.32571, 1.27348, 1.13356, 1.00398, 1.138, 1.30113, 1.20292, 1.2834, 1.50948, 1.7011, 2.12442, 2.52564, 2.37644, 2.23364, 1.89368, 1.60109, 1.29981, 1.19051
0.06, 0.0639375, 0.628418, 0.603955, 0.595603, 0.769633, 1.83589, 1.05922, 0.965822, 0.458523, 0.76121, 0.733883, 0.873616, 0.677428, 0.834868, 1.26546, 1.01287, 0.732374, 1.2084, 1.12784, 0.975719, 1.44655, 0.967118, 0.918717, 1.13722, 1.10256, 1.0543, 1.1795, 1.15746, 1.35954, 1.44757, 1.2639, 1.501, 1.28533, 1.47227, 1.26373, 1.19848, 1.02685, 1.06141, 1.29412, 1.21131, 1.35799, 1.50865, 1.65725, 2.28458, 2.62162, 2.30584, 2.18612, 1.8288, 1.61872, 1.37344, 1.2483
0.07, 0.0639375, 0.565925, 0.566033, 0.679847, 0.823419, 1.81561, 0.987565, 0.972099, 0.617941, 0.864077, 0.835064, 0.750022, 0.64678, 0.886599, 1.34815, 1.20578, 0.916916, 1.18105, 1.15595, 0.934196, 1.44141, 1.03739, 1.00583, 1.18646, 1.02343, 1.05516, 1.22141, 1.26748, 1.28091, 1.41887, 1.22913, 1.64497, 1.28807, 1.56611, 1.31376, 1.3852, 1.10452, 1.03359, 1.35978, 1.2359, 1.50646, 1.55105, 1.65336, 2.307, 2.66983, 2.31499, 2.11754, 1.77694, 1.50156, 1.41656, 1.23591
0.08, 0.0639375, 0.413223, 0.631443, 0.74985, 0.780023, 1.82275, 1.09184, 0.925039, 0.752553, 0.861792, 0.8242, 0.679692, 0.645248, 1.00208, 1.2835, 1.18156, 1.04875, 1.18367, 1.01765, 0.959705, 1.57104, 1.11691, 1.06992, 1.13852, 0.907188, 1.14043, 1.32819, 1.3827, 1.38991, 1.4257, 1.29326, 1.60973, 1.22709, 1.51968, 1.3147, 1.4762, 1.15209, 1.04483, 1.34682, 1.19145, 1.51898, 1.52953, 1.79702, 2.17508, 2.6167, 2.39684, 2.08622, 1.73739, 1.36175, 1.45405, 1.17061
0.09, 0.0639375, 0.560646, 0.634453, 0.716946, 0.674431, 1.76151, 1.1307, 0.870356, 0.779419, 0.741654, 0.707579, 0.740462, 0.748662, 1.17221, 1.23463, 1.01566, 1.15302, 0.981195, 0.700451, 1.09726, 1.67262, 1.09885, 1.08235, 1.01931, 0.764664, 1.16296, 1.3778, 1.46161, 1.62427, 1.61866, 1.37057, 1.37666, 1.26961, 1.46402, 1.25085, 1.50851, 1.12488, 1.03936, 1.33721, 1.14502, 1.39269, 1.49938, 1.85549, 2.03908, 2.48312, 2.41528, 2.10152, 1.73124, 1.40082, 1.48417, 1.08475
