# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.00821521, 0.0191186, 0.0224706, 0.0156566, 0.010384, 0.00798829, 0.0104756, 0.0106499, 0.00677917, 0.00912366, 0.0176306, 0.0110237, 0.00652007, 0.0119552, 0.0132442, 0.0083274, 0.0100575, 0.00888242, 0.00896914, 0.00673335, 0.0129653, 0.0166321, 0.00900304, 0.00884035, 0.0102727, 0.00970337, 0.0133966, 0.0100097, 0.00783336, 0.0158754, 0.0106967, 0.0118389, 0.0162695, 0.0149494, 0.012428, 0.015142, 0.0131097, 0.0120493, 0.0143195, 0.0133377, 0.0125483, 0.0170127, 0.0134751, 0.0156731, 0.0139454, 0.0162089, 0.0160531, 0.0166762, 0.0158489, 0.0133124
0.01, 0.0639375, 0.0076933, 0.0183396, 0.0186564, 0.012464, 0.0123313, 0.00925418, 0.00848876, 0.0106682, 0.00874653, 0.00989473, 0.0198242, 0.012753, 0.00679551, 0.0138399, 0.0125811, 0.00854455, 0.00933355, 0.00711941, 0.013195, 0.00893499, 0.0139372, 0.0193886, 0.0111675, 0.00684228, 0.00960148, 0.00990382, 0.0107879, 0.0102423, 0.0097807, 0.0190014, 0.0113321, 0.0122916, 0.0162997, 0.0129727, 0.0158824, 0.0146094, 0.0137469, 0.0120495, 0.0133297, 0.0146644, 0.0130104, 0.0180603, 0.0146462, 0.0170132, 0.0144222, 0.0140272, 0.014936, 0.0187344, 0.0175034, 0.0149144
0.02, 0.0639375, 0.00750283, 0.0131049, 0.0182696, 0.0124376, 0.0133677, 0.00931548, 0.00937571, 0.0102462, 0.0105691, 0.0117351, 0.0169295, 0.0126967, 0.00616826, 0.0115746, 0.0108713, 0.00808029, 0.00647341, 0.00605582, 0.013508, 0.0110224, 0.0152492, 0.02017, 0.0110377, 0.00784885, 0.0107928, 0.0106864, 0.0104797, 0.0113593, 0.0131032, 0.0234502, 0.0124232, 0.0134795, 0.0139475, 0.0115769, 0.0160057, 0.0131685, 0.0130083, 0.0128628, 0.0124718, 0.0145985, 0.0136582, 0.0179816, 0.0153238, 0.0171823, 0.0149842, 0.0134333, 0.01456, 0.0188078, 0.0167475, 0.0158804
0.03, 0.0639375, 0.00898792, 0.0137548, 0.0132854, 0.0132175, 0.0108558, 0.00877607, 0.00966099, 0.00823743, 0.0111053, 0.00983984, 0.00998266, 0.0102525, 0.00647933, 0.00777398, 0.00870434, 0.00649153, 0.0051409, 0.0065235, 0.0101258, 0.011102, 0.0138697, 0.017778, 0.00857339, 0.0093437, 0.0132865, 0.0117556, 0.0114261, 0.0121543, 0.0136152, 0.0221466, 0.0124943, 0.0126355, 0.0116174, 0.00989496, 0.0134949, 0.0125106, 0.0140038, 0.0134947, 0.0113539, 0.0137085, 0.0147596, 0.016107, 0.013242, 0.0155714, 0.0148906, 0.0152032, 0.0154471, 0.0167329, 0.0142907, 0.0144901
0.04, 0.0639375, 0.0120782, 0.012572, 0.0175613, 0.0136985, 0.00771211, 0.00827349, 0.00747455, 0.00751407, 0.0128075, 0.00671795, 0.00600226, 0.00743278, 0.00601494, 0.00618437, 0.00574841, 0.00540842, 0.00674353, 0.00679681, 0.00764894, 0.00830837, 0.0111421, 0.0160846, 0.00805877, 0.00850567, 0.0141689, 0.0118662, 0.0112463, 0.0113323, 0.0110052, 0.0173312, 0.010197, 0.0106069, 0.0114565, 0.00888301, 0.013584, 0.0120198, 0.0140153, 0.0111481, 0.00879947, 0.0142262, 0.0164743, 0.0142856, 0.0114463, 0.0137238, 0.0138881, 0.0160366, 0.0156793, 0.0152733, 0.0136208, 0.0129211
0.05, 0.0639375, 0.0102431, 0.0138497, 0.0267257, 0.0147808, 0.0073309, 0.00813717, 0.00634631, 0.00756767, 0.0142874, 0.00769236, 0.00613212, 0.00499228, 0.00608425, 0.010399, 0.0067176, 0.00465607, 0.00783052, 0.00889399, 0.0068508, 0.00714403, 0.0106186, 0.0160175, 0.00870422, 0.00768786, 0.0123894, 0.0110635, 0.013502, 0.0111043, 0.0114998, 0.0168304, 0.0109678, 0.00939047, 0.0113445, 0.00974564, 0.01361, 0.0132047, 0.0122678, 0.01025, 0.00888076, 0.0138695, 0.0170012, 0.0145962, 0.0109784, 0.0137083, 0.014303, 0.0180946, 0.0166954, 0.01484, 0.0145758, 0.0125498
0.06, 0.0639375, 0.00610049, 0.0125756, 0.0304811, 0.0117679, 0.00658248, 0.00701252, 0.00611802, 0.00717279, 0.0125683, 0.00706839, 0.00749928, 0.00672601, 0.0067395, 0.014233, 0.00820622, 0.00543557, 0.00823294, 0.00947892, 0.00574864, 0.00796819, 0.0111114, 0.0172423, 0.00888513, 0.00676899, 0.0106218, 0.0101106, 0.0133819, 0.0105437, 0.0115105, 0.014974, 0.0133469, 0.0120112, 0.0128038, 0.0119655, 0.0126196, 0.0152003, 0.00985507, 0.0121815, 0.011065, 0.0136816, 0.0154369, 0.0164064, 0.0108672, 0.0140653, 0.0137546, 0.0186043, 0.0217716, 0.0171596, 0.0147695, 0.0134195
0.07, 0.0639375, 0.00558198, 0.0136851, 0.0257695, 0.00828484, 0.00662263, 0.00681221, 0.00664904, 0.00815798, 0.0111458, 0.00772418, 0.0106571, 0.00925347, 0.0070981, 0.0136698, 0.00843983, 0.00677396, 0.00779137, 0.00872821, 0.00652599, 0.00885701, 0.0107639, 0.0164579, 0.00910842, 0.00741314, 0.0105602, 0.0102782, 0.0108952, 0.0107834, 0.0112801, 0.0116899, 0.0132559, 0.0147612, 0.0135379, 0.0131889, 0.0125604, 0.0153676, 0.00970892, 0.0147905, 0.0135806, 0.0151723, 0.0142038, 0.0159687, 0.0114608, 0.0129098, 0.0116542, 0.0158532, 0.0237118, 0.0197161, 0.0159942, 0.0131293
0.08, 0.0639375, 0.00629016, 0.0120601, 0.020146, 0.00659705, 0.00716261, 0.00722628, 0.00639381, 0.00665815, 0.0124602, 0.00897753, 0.010594, 0.00921426, 0.00639819, 0.0101298, 0.00750413, 0.00670292, 0.00704258, 0.00883964, 0.00790905, 0.0103279, 0.0106717, 0.0153586, 0.0104825, 0.00802602, 0.0124638, 0.0113672, 0.0100039, 0.0102773, 0.0102783, 0.00916146, 0.01278, 0.0139845, 0.0127632, 0.0129306, 0.0116255, 0.0141488, 0.00882747, 0.0144764, 0.0151343, 0.0159837, 0.014555, 0.0155374, 0.0132744, 0.0116935, 0.0121842, 0.013066, 0.0216453, 0.0197117, 0.0147112, 0.0118434
0.09, 0.0639375, 0.0139655, 0.0198039, 0.0246391, 0.0111953, 0.00768266, 0.0075692, 0.00641786, 0.00815183, 0.0178095, 0.0134424, 0.0120274, 0.00907369, 0.00903624, 0.0118699, 0.00957716, 0.00937559, 0.0125883, 0.0110773, 0.0134239, 0.0145045, 0.0157151, 0.017123, 0.0115674, 0.00694066, 0.0134696, 0.0120689, 0.0136894, 0.0107144, 0.0107671, 0.00960231, 0.0126099, 0.0127608, 0.013297, 0.0125188, 0.0106258, 0.0135432, 0.0107198, 0.0151668, 0.0178648, 0.0186433, 0.0167152, 0.0160441, 0.0143462, 0.0110051, 0.0141754, 0.013076, 0.0214171, 0.0166867, 0.0125943, 0.01296
