# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.0046035, 0.00196098, 0.0022466, 0.00180058, 0.00143889, 0.00112185, 0.000969179, 0.00152662, 0.0025659, 0.00246376, 0.00271096, 0.00307718, 0.00279976, 0.00259278, 0.00255175, 0.00447593, 0.00302382, 0.00360815, 0.00531178, 0.00374473, 0.0041177, 0.00539063, 0.00598413, 0.00604373, 0.00546521, 0.00483475, 0.00782744, 0.00483154, 0.00419237, 0.00601269, 0.00362145, 0.00323309, 0.00305115, 0.00497888, 0.00599278, 0.00846784, 0.00804872, 0.00772382, 0.00554749, 0.00600723
0.01, 0.0319375, 0.00926032, 0.00186377, 0.00163564, 0.00348401, 0.00214109, 0.00202689, 0.000891526, 0.0011247, 0.000845075, 0.00210267, 0.00415142, 0.00316631, 0.00360708, 0.00274103, 0.00278621, 0.00341273, 0.00257827, 0.00326101, 0.00222542, 0.00403495, 0.00540794, 0.00446857, 0.00327325, 0.00563782, 0.0044929, 0.00458262, 0.0045946, 0.00402996, 0.0034226, 0.00492716, 0.00454939, 0.0033683, 0.00458867, 0.00712497, 0.00878552, 0.0113693, 0.00903565, 0.00659231, 0.00568393, 0.00568914
0.02, 0.0319375, 0.016263, 0.00805913, 0.0102273, 0.0092928, 0.00272475, 0.00349221, 0.00391301, 0.00503878, 0.00420531, 0.00332185, 0.00325246, 0.00447475, 0.00535542, 0.00290591, 0.00132473, 0.00177012, 0.00199988, 0.001869, 0.00310118, 0.0029424, 0.00373321, 0.004409, 0.00383677, 0.00256864, 0.00319958, 0.00512702, 0.00482063, 0.00511172, 0.00382407, 0.00420163, 0.00352381, 0.00417184, 0.00346358, 0.00417136, 0.0047536, 0.00518988, 0.00483807, 0.00390018, 0.00654648, 0.00664738
0.03, 0.0319375, 0.0101646, 0.00544185, 0.00760612, 0.0067189, 0.00239942, 0.00267196, 0.00341487, 0.00488362, 0.00367514, 0.00254521, 0.00338897, 0.00257696, 0.00430633, 0.00184675, 0.00173692, 0.0012402, 0.00157352, 0.00132437, 0.00289343, 0.00281082, 0.00336272, 0.00357762, 0.0031511, 0.00248445, 0.00307932, 0.00438467, 0.00403638, 0.0033582, 0.00277028, 0.00348199, 0.00442502, 0.00317379, 0.00249361, 0.00315846, 0.0043944, 0.00456316, 0.00452696, 0.00354804, 0.00644095, 0.00626588
0.04, 0.0319375, 0.0095761, 0.00172859, 0.00255128, 0.00418798, 0.00349993, 0.00155007, 0.00313695, 0.00337139, 0.00183331, 0.00196217, 0.00364794, 0.00270049, 0.00294335, 0.00196574, 0.00198382, 0.00156899, 0.00214061, 0.00277194, 0.00192064, 0.00285052, 0.00335797, 0.00268528, 0.00337626, 0.00325246, 0.00328573, 0.0035408, 0.00424983, 0.0027685, 0.00211123, 0.00322323, 0.0036673, 0.00308193, 0.00346453, 0.00458191, 0.00516853, 0.00545264, 0.00563936, 0.00402557, 0.00622903, 0.00911267
0.05, 0.0319375, 0.00924402, 0.00585235, 0.00353141, 0.00798049, 0.00541008, 0.00255948, 0.00254593, 0.00201558, 0.00244331, 0.00298222, 0.0045749, 0.00435309, 0.00315799, 0.00291221, 0.00220413, 0.00289307, 0.00248826, 0.00354187, 0.00237921, 0.0035661, 0.00313553, 0.00225599, 0.00225766, 0.00290496, 0.00401014, 0.00320742, 0.00370376, 0.00297212, 0.00293337, 0.00470555, 0.00315407, 0.00309964, 0.00428461, 0.00389781, 0.00443475, 0.0040232, 0.00388867, 0.00338648, 0.00510081, 0.00616743
0.06, 0.0319375, 0.00227835, 0.00389733, 0.00559087, 0.00376374, 0.00283126, 0.00170622, 0.001071, 0.0013189, 0.00190696, 0.00101253, 0.00171645, 0.00138699, 0.00214216, 0.00287715, 0.00232438, 0.00145342, 0.00150567, 0.00177024, 0.00248802, 0.00305995, 0.00265924, 0.00159756, 0.00224826, 0.00262738, 0.00305531, 0.00274163, 0.00288368, 0.00363083, 0.00275423, 0.00264961, 0.0029197, 0.00320207, 0.00305246, 0.00331056, 0.00299874, 0.00321645, 0.00379224, 0.00367846, 0.00509346, 0.00434063
0.07, 0.0319375, 0.00446193, 0.00199465, 0.00338933, 0.00224505, 0.00239514, 0.00156019, 0.00125842, 0.00237445, 0.00146544, 0.00165195, 0.00152817, 0.000973823, 0.00165826, 0.00172728, 0.00165231, 0.00159018, 0.00132842, 0.00206698, 0.00173621, 0.00189697, 0.0021757, 0.00292945, 0.00247565, 0.00191172, 0.00207423, 0.00271393, 0.00243379, 0.00438277, 0.00337781, 0.00288368, 0.00321693, 0.00232081, 0.00262321, 0.00296273, 0.00402973, 0.00470602, 0.0044719, 0.0030609, 0.00464112, 0.00331198
0.08, 0.0319375, 0.00691698, 0.00492384, 0.00336438, 0.00322798, 0.00146556, 0.0020665, 0.00243665, 0.00348473, 0.00259301, 0.00123389, 0.00148472, 0.001775, 0.00142294, 0.00169943, 0.00181891, 0.00161708, 0.00144425, 0.00170919, 0.00136413, 0.001549, 0.00261025, 0.00175144, 0.00272605, 0.00373321, 0.00201761, 0.00246578, 0.00276636, 0.00267125, 0.00278668, 0.00359603, 0.00343079, 0.0021826, 0.00247375, 0.00321491, 0.00328608, 0.00355386, 0.00431025, 0.00366528, 0.00481304, 0.00359615
0.09, 0.0319375, 0.00741752, 0.00440722, 0.00474517, 0.00229833, 0.00160791, 0.00157423, 0.00316643, 0.00315478, 0.00217107, 0.00124318, 0.00234424, 0.00273592, 0.00225421, 0.00218582, 0.00228145, 0.00151329, 0.00240704, 0.00296796, 0.00284862, 0.00333919, 0.00448163, 0.00176822, 0.00311081, 0.00331864, 0.00206615, 0.00225409, 0.00326184, 0.0034043, 0.00378119, 0.00377454, 0.002415, 0.00206674, 0.00333064, 0.00435001, 0.00324818, 0.00416032, 0.00397843, 0.00447237, 0.00552472, 0.00498777
0.1, 0.0319375, 0.0218689, 0.0124951, 0.01741, 0.0167125, 0.00352191, 0.00703477, 0.00602062, 0.00668172, 0.00572091, 0.00455627, 0.0033108, 0.00351324, 0.00309857, 0.00388795, 0.00417421, 0.00546284, 0.00384698, 0.00311069, 0.00694599, 0.0135512, 0.0122916, 0.00799822, 0.00746189, 0.00433695, 0.00855684, 0.00489098, 0.00494887, 0.00769626, 0.00906601, 0.0142779, 0.0038078, 0.00351086, 0.00514564, 0.0080324, 0.0070266, 0.00908763, 0.00768834, 0.00754329, 0.00974977, 0.00711775
0.11, 0.0319375, 0.0356932, 0.0358339, 0.0373972, 0.0221278, 0.0071258, 0.0122275, 0.0154505, 0.0185464, 0.0151686, 0.00566591, 0.00349649, 0.00598377, 0.00411141, 0.00717906, 0.00670931, 0.00775624, 0.00345443, 0.00530704, 0.00712497, 0.0142382, 0.0187303, 0.0132554, 0.0106735, 0.00650586, 0.0135416, 0.00796901, 0.00729232, 0.0123353, 0.0132217, 0.0236843, 0.00656649, 0.00522178, 0.00466734, 0.007989, 0.00789959, 0.0114769, 0.0104777, 0.0104689, 0.0111326, 0.00656898
