# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.599158, 0.773673, 1.00308, 0.522504, 1.07485, 0.906231, 1.21442, 1.01687, 0.750176, 0.8012, 0.737148, 1.00057, 1.17234, 1.11971, 0.98097, 1.14821, 0.966816, 1.19873, 1.23985, 1.43472, 1.54741, 1.43599, 1.16281, 1.31556, 1.44325, 1.41816, 1.32375, 1.25468, 0.994586, 1.02674, 1.3783, 1.20135, 1.06614, 1.37463, 1.36835, 1.32453, 1.14287, 1.37754, 1.28072, 1.35447, 1.48393, 1.69133, 2.25136, 2.81709, 2.65242, 2.201, 1.63841, 1.29091, 1.26822, 1.2738
0.01, 0.0639375, 0.531259, 0.796337, 0.740865, 0.546555, 1.05233, 0.905811, 1.19033, 0.976428, 0.655284, 0.957735, 0.954623, 1.02616, 1.07803, 1.1369, 0.981806, 1.18281, 1.15571, 1.38501, 1.15682, 1.43589, 1.69063, 1.42108, 1.25559, 1.42348, 1.37842, 1.34852, 1.41576, 1.28564, 1.02754, 1.07083, 1.39501, 1.21799, 1.01553, 1.49606, 1.36573, 1.37373, 1.20274, 1.36899, 1.28977, 1.47295, 1.54625, 1.7492, 2.28974, 2.82159, 2.72157, 2.13485, 1.60021, 1.45717, 1.34328, 1.29337
0.02, 0.0639375, 0.579617, 0.805093, 0.613774, 0.745874, 1.07866, 0.819915, 1.18289, 0.797761, 0.59993, 1.09771, 1.1171, 0.99247, 0.904074, 1.26895, 1.118, 1.17282, 1.29779, 1.48962, 1.23615, 1.5625, 1.70708, 1.40738, 1.26945, 1.38537, 1.27776, 1.20142, 1.29322, 1.1853, 1.1491, 1.1121, 1.27746, 1.1101, 1.00515, 1.43964, 1.34737, 1.37704, 1.2216, 1.38067, 1.20652, 1.54113, 1.62316, 1.89929, 2.31158, 2.77224, 2.77197, 2.09342, 1.6525, 1.6172, 1.43641, 1.23663
0.03, 0.0639375, 0.607019, 0.728031, 0.675078, 0.807047, 1.02546, 0.842541, 1.24579, 0.857183, 0.619691, 1.13079, 1.02025, 0.881173, 0.789382, 1.33059, 1.18543, 1.11272, 1.30224, 1.45164, 1.26378, 1.56017, 1.48773, 1.32491, 1.2096, 1.20208, 1.33788, 1.15734, 1.21196, 1.20499, 1.1949, 1.13309, 1.06643, 1.20239, 1.1281, 1.35546, 1.26475, 1.30691, 1.17181, 1.43407, 1.30804, 1.57864, 1.56202, 1.96534, 2.33322, 2.71449, 2.69779, 2.05589, 1.70674, 1.59605, 1.44282, 1.21319
0.04, 0.0639375, 0.71782, 0.633533, 0.788805, 0.750524, 0.861282, 0.93681, 1.3864, 1.10046, 0.775236, 0.911611, 0.880031, 0.927395, 0.859396, 1.24347, 1.28486, 1.10198, 1.19927, 1.36838, 1.16316, 1.39009, 1.14315, 1.23543, 1.22981, 1.02803, 1.3103, 1.16381, 1.33888, 1.30665, 1.23367, 1.19496, 1.13601, 1.38868, 1.16898, 1.37503, 1.26964, 1.35928, 1.26083, 1.43826, 1.44198, 1.56996, 1.57016, 1.96082, 2.34024, 2.65785, 2.53166, 2.04148, 1.68558, 1.44542, 1.37453, 1.22778
0.05, 0.0639375, 0.870077, 1.06708, 1.0332, 0.719784, 0.821191, 0.911347, 1.37407, 1.17857, 0.98347, 0.57667, 0.79411, 1.04535, 0.989636, 1.17602, 1.27936, 1.21752, 1.13808, 1.28949, 1.05738, 1.35323, 1.18177, 1.36032, 1.21961, 1.0619, 1.2529, 1.2788, 1.42364, 1.34764, 1.24339, 1.31708, 1.46765, 1.5, 1.15129, 1.36062, 1.48123, 1.4938, 1.36885, 1.40931, 1.37679, 1.56488, 1.66111, 1.87816, 2.40118, 2.68208, 2.45474, 2.12468, 1.69106, 1.43692, 1.36276, 1.27757
0.06, 0.0639375, 0.87953, 1.38136, 1.11621, 0.623267, 0.831113, 0.749738, 1.23966, 1.22286, 1.12688, 0.55171, 0.726328, 1.00773, 1.09806, 1.16561, 1.1848, 1.3589, 1.16675, 1.28742, 1.06417, 1.35145, 1.32705, 1.51752, 1.15725, 1.1311, 1.1945, 1.30123, 1.41803, 1.3428, 1.20591, 1.4191, 1.6743, 1.51638, 1.25461, 1.34645, 1.58041, 1.5154, 1.44352, 1.44514, 1.22189, 1.59102, 1.89259, 1.7505, 2.37437, 2.75382, 2.5191, 2.21768, 1.68868, 1.44583, 1.50673, 1.26038
0.07, 0.0639375, 0.789311, 1.39702, 1.07426, 0.688256, 0.794263, 0.545215, 1.19864, 1.22457, 1.08159, 0.767556, 0.715032, 0.946489, 1.11707, 1.04854, 0.97366, 1.29188, 1.23749, 1.46604, 1.22608, 1.16396, 1.29083, 1.57254, 1.1245, 1.18764, 1.19687, 1.3022, 1.3907, 1.38305, 1.2864, 1.61321, 1.67801, 1.45909, 1.39356, 1.33436, 1.55602, 1.52181, 1.45802, 1.43732, 1.30082, 1.69234, 1.9991, 1.60859, 2.20027, 2.85051, 2.65628, 2.31523, 1.74752, 1.43693, 1.54974, 1.22739
0.08, 0.0639375, 0.870629, 1.13547, 0.938145, 0.794688, 0.714482, 0.554839, 1.20922, 1.06806, 0.968092, 0.872648, 0.736774, 0.997698, 1.00468, 0.938739, 0.925549, 1.11324, 1.33193, 1.54241, 1.35241, 1.21057, 1.24531, 1.48647, 1.20685, 1.20036, 1.2348, 1.38663, 1.36505, 1.46832, 1.35944, 1.57956, 1.47379, 1.43917, 1.44788, 1.23189, 1.52171, 1.5411, 1.4777, 1.38923, 1.51446, 1.78813, 1.94083, 1.65071, 2.07435, 2.76816, 2.80582, 2.32459, 1.87981, 1.43946, 1.45201, 1.30852
0.09, 0.0639375, 0.898619, 0.976705, 0.77954, 0.723621, 0.672336, 0.579939, 1.1609, 1.14274, 1.02195, 0.911427, 0.73769, 0.967539, 0.936336, 0.919317, 0.937443, 0.945202, 1.35734, 1.45971, 1.50088, 1.62865, 1.46618, 1.36948, 1.29599, 1.27407, 1.28643, 1.41323, 1.37822, 1.50673, 1.40625, 1.39689, 1.21746, 1.37157, 1.37922, 1.03567, 1.50785, 1.51398, 1.47294, 1.38877, 1.53615, 1.78157, 1.80163, 1.77466, 2.12064, 2.53849, 2.7476, 2.21609, 1.93323, 1.49523, 1.34106, 1.36978
