# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.00661398, 0.00408173, 0.00971412, 0.00441042, 0.00171383, 0.00416495, 0.00831629, 0.00555424, 0.00743799, 0.00802873, 0.00524395, 0.0157097, 0.0292373, 0.0239301, 0.0409601, 0.0140907, 0.00671831, 0.00964269, 0.01735, 0.00970845, 0.00556432, 0.0104626, 0.0143462, 0.0232941, 0.025261, 0.0136851, 0.0144676, 0.0139686, 0.00895082, 0.00777256, 0.010727, 0.00714627, 0.00566318, 0.00523233, 0.00578586, 0.00881246, 0.0136045, 0.0106738, 0.0101489, 0.00670327
0.01, 0.0319375, 0.00294145, 0.00149353, 0.00816117, 0.00322929, 0.00135961, 0.00502039, 0.0115604, 0.00721575, 0.0104463, 0.00482976, 0.00374616, 0.0148327, 0.0302435, 0.0226817, 0.0288284, 0.00745668, 0.00459816, 0.00736877, 0.011041, 0.00883763, 0.00540296, 0.00958897, 0.00897398, 0.0166586, 0.025526, 0.0150063, 0.0161202, 0.017835, 0.020221, 0.0121672, 0.0201452, 0.0104575, 0.00940193, 0.0071355, 0.00839089, 0.0126663, 0.014185, 0.0252475, 0.0237871, 0.0214244
0.02, 0.0319375, 0.0121279, 0.0249157, 0.0273253, 0.00671452, 0.00487212, 0.00377656, 0.00678201, 0.00292184, 0.00549331, 0.00320956, 0.00521253, 0.00865967, 0.00963525, 0.00613615, 0.00660202, 0.00660735, 0.00443368, 0.00578503, 0.00689769, 0.0104543, 0.00864785, 0.0140982, 0.0137163, 0.0288481, 0.0268412, 0.0175922, 0.0289389, 0.0225555, 0.0303358, 0.022438, 0.0236382, 0.0118945, 0.0123734, 0.011235, 0.0130664, 0.0169655, 0.019687, 0.0434512, 0.0430667, 0.0430059
0.03, 0.0319375, 0.0208857, 0.0603714, 0.0467005, 0.00861204, 0.00546912, 0.0038895, 0.00548619, 0.00475811, 0.00514481, 0.00362371, 0.00335499, 0.0072051, 0.00742178, 0.00820859, 0.00763226, 0.00511006, 0.00382027, 0.00665354, 0.00764942, 0.010887, 0.00819393, 0.010342, 0.011323, 0.0193266, 0.0137735, 0.0144067, 0.0168809, 0.0157996, 0.0178485, 0.013973, 0.0166289, 0.00851299, 0.00945483, 0.00928028, 0.00998939, 0.0121802, 0.0130471, 0.0181654, 0.0258899, 0.0284307
0.04, 0.0319375, 0.0241886, 0.0291714, 0.0220052, 0.00967303, 0.00257209, 0.00486595, 0.00401002, 0.00280903, 0.00277919, 0.00275197, 0.004524, 0.00491814, 0.00508243, 0.00331353, 0.00448958, 0.00278823, 0.00352571, 0.00620617, 0.00672731, 0.00691864, 0.00425398, 0.00442146, 0.00850862, 0.00983441, 0.0106375, 0.00560913, 0.00801502, 0.0107853, 0.00754365, 0.00794749, 0.00876579, 0.00650894, 0.00693758, 0.00528463, 0.00540024, 0.00581371, 0.0059327, 0.00755027, 0.00872892, 0.0111307
0.05, 0.0319375, 0.00662926, 0.00467256, 0.00744781, 0.00468751, 0.00320362, 0.00241096, 0.002503, 0.00307219, 0.00175548, 0.00250383, 0.00369236, 0.00328561, 0.00346453, 0.00273045, 0.0023352, 0.00167623, 0.0046747, 0.00600949, 0.00519794, 0.00664513, 0.00456648, 0.00506025, 0.00705501, 0.00581099, 0.00497235, 0.00365103, 0.00705052, 0.00626161, 0.00349304, 0.00484293, 0.00540047, 0.00410619, 0.00472892, 0.00362786, 0.00374319, 0.00459733, 0.00513675, 0.0054377, 0.00421339, 0.00411818
0.06, 0.0319375, 0.0034972, 0.00244128, 0.00419166, 0.00330082, 0.00304616, 0.00282734, 0.00274722, 0.00259753, 0.0025728, 0.00235863, 0.00323523, 0.00345028, 0.0021625, 0.00242642, 0.00280713, 0.00299268, 0.00429102, 0.00375055, 0.00419178, 0.00511504, 0.00295964, 0.00264925, 0.00333812, 0.00424235, 0.00375495, 0.0037097, 0.00441125, 0.00501814, 0.00277313, 0.00296558, 0.00413515, 0.00266911, 0.00282984, 0.0024326, 0.00343661, 0.00434585, 0.00462427, 0.00311438, 0.00347712, 0.00309156
0.07, 0.0319375, 0.00435369, 0.00448353, 0.00492929, 0.00519403, 0.00477756, 0.000669374, 0.00209767, 0.00234163, 0.00253701, 0.00260407, 0.00201844, 0.00262714, 0.00236791, 0.00284113, 0.00384188, 0.00258005, 0.00291399, 0.00304913, 0.00400657, 0.00640885, 0.00423155, 0.00360767, 0.00397297, 0.00450857, 0.00416768, 0.00562525, 0.00418608, 0.00589371, 0.00383903, 0.00430028, 0.00517837, 0.00399256, 0.003153, 0.00272712, 0.00374901, 0.0043741, 0.00331246, 0.00372538, 0.0033563, 0.00312044
0.08, 0.0319375, 0.0160801, 0.00794359, 0.00595984, 0.00671428, 0.00384235, 0.000863537, 0.00360173, 0.00585804, 0.00210374, 0.00411082, 0.0049236, 0.00861712, 0.0062102, 0.00322168, 0.0065235, 0.00648525, 0.00889577, 0.0113074, 0.0176422, 0.0137949, 0.00660025, 0.00762161, 0.00890179, 0.00650337, 0.00485776, 0.00678995, 0.0146198, 0.00868177, 0.00604373, 0.0119132, 0.0314012, 0.0256139, 0.00888537, 0.00283816, 0.00325685, 0.00450311, 0.00351264, 0.00403566, 0.00485788, 0.0048058
0.09, 0.0319375, 0.0255147, 0.010977, 0.00528925, 0.00516663, 0.00214727, 0.00323867, 0.00551429, 0.00605463, 0.00173989, 0.00522937, 0.00654257, 0.00776783, 0.005749, 0.0049376, 0.00730049, 0.00818104, 0.0073619, 0.0117912, 0.0180358, 0.0168413, 0.00839798, 0.00939331, 0.0119618, 0.00880526, 0.00466971, 0.00512963, 0.0168316, 0.00840141, 0.00449718, 0.0111297, 0.0340409, 0.0269777, 0.00895957, 0.00291768, 0.00293753, 0.00395017, 0.00400527, 0.00535281, 0.00412874, 0.00485337
0.1, 0.0319375, 0.0145354, 0.00755359, 0.00679764, 0.00388166, 0.00280606, 0.00526032, 0.00740959, 0.00456031, 0.00235471, 0.00386242, 0.00580399, 0.00422122, 0.00336236, 0.00406131, 0.00693971, 0.00732652, 0.00605238, 0.00350433, 0.00602584, 0.00667201, 0.00501897, 0.00600427, 0.00812286, 0.00464313, 0.003692, 0.00394685, 0.00664347, 0.00547007, 0.00389745, 0.00494958, 0.00562703, 0.00627547, 0.00389555, 0.00304996, 0.00288832, 0.0032944, 0.00379972, 0.0053151, 0.00387869, 0.00383475
0.11, 0.0319375, 0.0201404, 0.00621304, 0.00715527, 0.00596659, 0.00342652, 0.0070021, 0.0102301, 0.00943665, 0.00640779, 0.00645126, 0.00533917, 0.00423808, 0.00516746, 0.00469807, 0.00731765, 0.00587107, 0.00860684, 0.00367739, 0.00728983, 0.00884248, 0.00884, 0.00826758, 0.0100261, 0.00681197, 0.0086625, 0.00438277, 0.00643171, 0.00597595, 0.00374758, 0.00495148, 0.00826699, 0.00752294, 0.00527182, 0.00638197, 0.00562537, 0.00603449, 0.00647933, 0.00760363, 0.00584476, 0.00568061
0.12, 0.0319375, 0.012345, 0.00465393, 0.0083702, 0.00273901, 0.00298412, 0.00489549, 0.00535376, 0.00595936, 0.00518857, 0.00465951, 0.00647518, 0.00790645, 0.00885205, 0.0103985, 0.0158757, 0.0107551, 0.00722474, 0.00566129, 0.0101651, 0.0068804, 0.00513117, 0.00776049, 0.0113721, 0.0158605, 0.0182828, 0.00851228, 0.0118776, 0.00995693, 0.00580589, 0.0044001, 0.00942661, 0.00845673, 0.00480414, 0.00540711, 0.00581881, 0.00641016, 0.00993793, 0.00780107, 0.0076952, 0.00510911
0.13, 0.0319375, 0.00541612, 0.00366789, 0.00986852, 0.00472821, 0.00158018, 0.00475668, 0.00947443, 0.00608982, 0.00881258, 0.00824004, 0.00447854, 0.0167461, 0.03329, 0.0265847, 0.0434649, 0.0139999, 0.00685992, 0.00997829, 0.0174059, 0.00998821, 0.00577911, 0.0101699, 0.0134197, 0.0231285, 0.0266307, 0.0144971, 0.0141344, 0.0147774, 0.0100691, 0.00899265, 0.0135475, 0.00797564, 0.00602276, 0.00491435, 0.00612205, 0.00939614, 0.0134039, 0.0113786, 0.0109566, 0.00785169
0.14, 0.0319375, 0.0035851, 0.00268409, 0.0080162, 0.00336616, 0.00101467, 0.00457087, 0.0109437, 0.00685672, 0.00942377, 0.00356087, 0.00408517, 0.0129915, 0.0252554, 0.0182613, 0.0217316, 0.00612395, 0.00389995, 0.00652398, 0.00913429, 0.00800804, 0.00524063, 0.0105762, 0.00891467, 0.0159037, 0.0247953, 0.0159062, 0.0187777, 0.0194305, 0.0241242, 0.0140419, 0.0209327, 0.0110601, 0.0106961, 0.0085988, 0.00980773, 0.0138191, 0.0155943, 0.0321066, 0.0293163, 0.0275212
0.15, 0.0319375, 0.0040828, 0.00516414, 0.00770419, 0.00408529, 0.00216381, 0.00280142, 0.00446466, 0.00381148, 0.00411367, 0.00179951, 0.00563414, 0.00687188, 0.00575647, 0.0038699, 0.00440508, 0.00617075, 0.00372051, 0.00426004, 0.0061961, 0.00714178, 0.00416578, 0.00817359, 0.0098389, 0.0267618, 0.0345125, 0.0185974, 0.0311279, 0.025284, 0.029156, 0.0235218, 0.0346615, 0.0204477, 0.0127198, 0.0112566, 0.0163473, 0.019613, 0.0235656, 0.0427627, 0.0442614, 0.0446297
0.16, 0.0319375, 0.004844, 0.00475241, 0.00448709, 0.0020044, 0.00400586, 0.00157554, 0.00314824, 0.00409811, 0.00399458, 0.0026703, 0.00483451, 0.00300658, 0.00522545, 0.0040784, 0.00421671, 0.00508373, 0.00488517, 0.00341072, 0.0049096, 0.00807001, 0.00473509, 0.00863993, 0.00948837, 0.0168204, 0.0198232, 0.0141008, 0.0268368, 0.0302245, 0.0219074, 0.018574, 0.0294989, 0.0205737, 0.0103228, 0.0091174, 0.0147593, 0.0177201, 0.0168237, 0.0241706, 0.0277769, 0.0271753
0.17, 0.0319375, 0.00484578, 0.00484934, 0.00325471, 0.00189875, 0.00327646, 0.00313422, 0.00235197, 0.00271642, 0.0022479, 0.0028907, 0.00422965, 0.00555768, 0.00491423, 0.00223339, 0.00592997, 0.00357465, 0.00352215, 0.00541079, 0.00788776, 0.00870339, 0.00412732, 0.00901769, 0.00597003, 0.0222232, 0.0126552, 0.00850968, 0.0118681, 0.0122508, 0.0111396, 0.0123424, 0.0108117, 0.0122024, 0.00836051, 0.00516545, 0.00639381, 0.00941126, 0.0115852, 0.0170121, 0.0135703, 0.012456
0.18, 0.0319375, 0.00550125, 0.00508598, 0.00812665, 0.0150171, 0.00916512, 0.00217559, 0.00118567, 0.0028019, 0.00300171, 0.00278478, 0.00412328, 0.00578942, 0.00744, 0.00577116, 0.00857966, 0.00513568, 0.00359793, 0.00619349, 0.0109575, 0.0098252, 0.00438431, 0.00624905, 0.00592393, 0.0231775, 0.0154248, 0.00969133, 0.013293, 0.0127865, 0.0123518, 0.01251, 0.00758837, 0.00659586, 0.00527561, 0.00626114, 0.00667639, 0.0121839, 0.0122097, 0.0150682, 0.00909732, 0.0125864
0.19, 0.0319375, 0.0100629, 0.0165944, 0.0144154, 0.0172059, 0.00954764, 0.00298353, 0.00283518, 0.00443333, 0.00286859, 0.00319542, 0.00457597, 0.00400372, 0.00322156, 0.00453064, 0.00657869, 0.005347, 0.00412601, 0.0054728, 0.00624894, 0.00780556, 0.00592274, 0.00599515, 0.00527609, 0.00973112, 0.0100902, 0.00625036, 0.00889069, 0.0121824, 0.0116769, 0.00934241, 0.00683115, 0.00445386, 0.00391194, 0.00495065, 0.00622797, 0.0110859, 0.00877241, 0.0115111, 0.00803737, 0.0107495
0.2, 0.0319375, 0.00811565, 0.0118706, 0.00534569, 0.00401999, 0.00265781, 0.00279287, 0.00355149, 0.00348199, 0.00284517, 0.00299874, 0.00509073, 0.00471907, 0.00503795, 0.00364307, 0.0058802, 0.0082022, 0.00311568, 0.0070955, 0.0047886, 0.00538399, 0.00540605, 0.00439606, 0.00758021, 0.00868366, 0.0107662, 0.00889128, 0.00875019, 0.00789297, 0.00874216, 0.00988269, 0.00574936, 0.00507602, 0.00320909, 0.00446988, 0.00413029, 0.00705146, 0.00707928, 0.00861547, 0.00716509, 0.00551026
0.21, 0.0319375, 0.00538447, 0.00597216, 0.00353521, 0.00215346, 0.00174323, 0.00402153, 0.00602821, 0.00343828, 0.00214739, 0.00417575, 0.00641762, 0.00272915, 0.00423463, 0.00415545, 0.00612869, 0.00727114, 0.00327788, 0.00412696, 0.0040454, 0.00514184, 0.00530609, 0.00437054, 0.00619799, 0.00709905, 0.00703655, 0.00609598, 0.00836169, 0.00589098, 0.00692184, 0.00729421, 0.00544778, 0.0042446, 0.00265555, 0.00375269, 0.00342331, 0.00553468, 0.00713479, 0.00528973, 0.00552093, 0.00473533
0.22, 0.0319375, 0.0111975, 0.00395492, 0.00390921, 0.00166397, 0.00297699, 0.00526826, 0.0049102, 0.00240977, 0.00284327, 0.0035794, 0.00603164, 0.00317118, 0.00390683, 0.00512655, 0.00364497, 0.00378879, 0.00408161, 0.00324271, 0.00548797, 0.00518893, 0.00367454, 0.0047218, 0.00603603, 0.00713917, 0.00841441, 0.00599207, 0.00692006, 0.00582414, 0.00535921, 0.00419665, 0.0047759, 0.0045825, 0.00266542, 0.00329369, 0.00429576, 0.00525178, 0.00491648, 0.00514718, 0.00611328, 0.00578645
0.23, 0.0319375, 0.0069776, 0.00538897, 0.00663187, 0.0018934, 0.00216167, 0.00177905, 0.0026527, 0.00429671, 0.00309524, 0.00296855, 0.006474, 0.00366231, 0.00376065, 0.002165, 0.00257447, 0.0029594, 0.0030931, 0.00371504, 0.00327765, 0.00772075, 0.00528273, 0.00379093, 0.00728072, 0.00746958, 0.00544458, 0.00406831, 0.0040942, 0.0041196, 0.00387667, 0.00450999, 0.0043868, 0.00474589, 0.00238159, 0.00321241, 0.00412043, 0.00441339, 0.0045984, 0.0053834, 0.00458096, 0.00608011
0.24, 0.0319375, 0.00828946, 0.00741409, 0.00823448, 0.00518323, 0.00220996, 0.00306624, 0.00389532, 0.00421718, 0.00205877, 0.00243403, 0.00398568, 0.00547766, 0.00304557, 0.00308098, 0.00409455, 0.0021901, 0.00434669, 0.00366492, 0.00657419, 0.00643977, 0.00441446, 0.00541909, 0.00572731, 0.00539561, 0.00389828, 0.00421113, 0.00407793, 0.00322786, 0.00457502, 0.00474387, 0.00423879, 0.00440627, 0.00273057, 0.00344564, 0.0042249, 0.00378191, 0.00417837, 0.00469249, 0.00442514, 0.00520968
