# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.0091044, 0.00329903, 0.00422822, 0.00463317, 0.00394602, 0.00328121, 0.0020621, 0.00260752, 0.00213788, 0.00157375, 0.00215727, 0.0025772, 0.00297152, 0.00249242, 0.00228799, 0.00164243, 0.00184152, 0.0019392, 0.00159887, 0.00219378, 0.00313398, 0.00263712, 0.00374224, 0.00269978, 0.00276945, 0.00373951, 0.00384057, 0.00364485, 0.00314016, 0.00320635, 0.00251691, 0.00267684, 0.00275399, 0.00404267, 0.00509879, 0.00525925, 0.00533099, 0.00386325, 0.00349886, 0.00339349
0.01, 0.0319375, 0.00640719, 0.00550172, 0.00386967, 0.00543806, 0.00392548, 0.0023886, 0.00207638, 0.00283209, 0.00298555, 0.00339848, 0.00371196, 0.00255247, 0.00203843, 0.00321907, 0.00384983, 0.00252417, 0.00231915, 0.00233556, 0.0028208, 0.00255485, 0.00298923, 0.00405775, 0.0039814, 0.0039041, 0.00259991, 0.00367621, 0.00430301, 0.00302738, 0.00332517, 0.00310261, 0.00394198, 0.00302263, 0.00369081, 0.00478492, 0.00573478, 0.00679942, 0.00718734, 0.00429968, 0.0037572, 0.00419451
0.02, 0.0319375, 0.0252309, 0.0169826, 0.0132347, 0.0136838, 0.013517, 0.0119166, 0.0104525, 0.0104845, 0.0116031, 0.0106078, 0.0114559, 0.0108018, 0.0101196, 0.00969251, 0.0115501, 0.00876591, 0.0086183, 0.00942803, 0.00925111, 0.00928016, 0.00843238, 0.00964517, 0.00879994, 0.00863379, 0.00600818, 0.00905573, 0.00981423, 0.00785216, 0.00828, 0.00935244, 0.00956063, 0.00896193, 0.00799267, 0.00911279, 0.00731149, 0.0113158, 0.00924674, 0.0099842, 0.0101001, 0.0117558
0.03, 0.0319375, 0.0175621, 0.0134695, 0.0133843, 0.00946806, 0.0117226, 0.00921721, 0.0087353, 0.00843238, 0.00918461, 0.00847399, 0.00975532, 0.00827148, 0.00774228, 0.00905231, 0.00867042, 0.00736628, 0.00674554, 0.00767402, 0.00765131, 0.0077793, 0.00698837, 0.00826959, 0.00799373, 0.0075866, 0.00575161, 0.00761783, 0.00770064, 0.00597654, 0.00723587, 0.00779432, 0.00804044, 0.00763676, 0.00711976, 0.00834691, 0.00723255, 0.0105765, 0.00741598, 0.00815313, 0.00872998, 0.00997393
0.04, 0.0319375, 0.0153913, 0.00829418, 0.00668598, 0.00582639, 0.00615653, 0.0075976, 0.0088374, 0.00553326, 0.00532791, 0.00567267, 0.00558838, 0.00712745, 0.00592322, 0.00481636, 0.00444947, 0.00457704, 0.00503807, 0.00546805, 0.00573893, 0.00421718, 0.00507792, 0.00637604, 0.0055137, 0.00665733, 0.00573312, 0.00521691, 0.00638398, 0.00618212, 0.00852198, 0.00778439, 0.010308, 0.00965662, 0.00832244, 0.00748544, 0.0112507, 0.0123145, 0.00782236, 0.00621257, 0.00914161, 0.0134838
0.05, 0.0319375, 0.0264607, 0.0157805, 0.0146598, 0.00631231, 0.0114083, 0.0164928, 0.0151978, 0.0103981, 0.00871048, 0.0109149, 0.00927225, 0.0110601, 0.0115057, 0.00780864, 0.00769366, 0.00720616, 0.00939413, 0.0080706, 0.0129381, 0.00902218, 0.00779208, 0.0104081, 0.00688999, 0.0154203, 0.0167457, 0.0113927, 0.0165097, 0.0173537, 0.0280447, 0.0314488, 0.0429279, 0.0385829, 0.02636, 0.022045, 0.0464563, 0.0423984, 0.0234442, 0.0142854, 0.0298633, 0.0515073
0.06, 0.0319375, 0.0168952, 0.0159819, 0.0139478, 0.00965084, 0.00550611, 0.00716048, 0.00514018, 0.00512892, 0.00470519, 0.0057631, 0.00471516, 0.00324069, 0.00315621, 0.00325757, 0.00322204, 0.00255271, 0.00356384, 0.00300147, 0.00602773, 0.00673737, 0.00575196, 0.00859419, 0.00844999, 0.0111402, 0.0116618, 0.0107632, 0.0139662, 0.0150552, 0.0182987, 0.0191222, 0.0251985, 0.0226485, 0.0177629, 0.0129374, 0.0272627, 0.0242363, 0.0124625, 0.00863272, 0.0164159, 0.0281845
0.07, 0.0319375, 0.0151814, 0.00790243, 0.0133611, 0.0225952, 0.011493, 0.00525628, 0.00274472, 0.00329333, 0.00276576, 0.00237326, 0.00246507, 0.00302536, 0.00351775, 0.00280927, 0.00289129, 0.00259955, 0.00260823, 0.00232224, 0.00353759, 0.0054019, 0.00693119, 0.00833911, 0.00869843, 0.0105852, 0.0113771, 0.00904274, 0.0101414, 0.00992058, 0.0125784, 0.00793117, 0.00656673, 0.00640838, 0.00854774, 0.0095382, 0.00479239, 0.00395896, 0.00401619, 0.00461205, 0.00540261, 0.00687117
0.08, 0.0319375, 0.01495, 0.0134428, 0.0100683, 0.0156316, 0.00809779, 0.00449528, 0.00725776, 0.00433956, 0.00488896, 0.00505621, 0.00587522, 0.00565038, 0.00579511, 0.00541909, 0.00362573, 0.00277836, 0.00451403, 0.00678616, 0.00683731, 0.00937937, 0.00995268, 0.0127345, 0.0142079, 0.0155589, 0.0210199, 0.0226773, 0.019912, 0.0143369, 0.0161425, 0.0132106, 0.011814, 0.0136308, 0.0112037, 0.014242, 0.0150227, 0.0206081, 0.0185851, 0.0131074, 0.00806693, 0.0121878
0.09, 0.0319375, 0.0243098, 0.0126159, 0.0208872, 0.0244303, 0.0138843, 0.00988658, 0.0156946, 0.00859478, 0.00698209, 0.00859727, 0.0152546, 0.00867456, 0.0117906, 0.012411, 0.00833982, 0.00324604, 0.00645363, 0.0128796, 0.0111379, 0.0128144, 0.0197889, 0.0212032, 0.0258297, 0.0290671, 0.0365381, 0.0472409, 0.0438745, 0.020347, 0.0239711, 0.0224028, 0.0227377, 0.0260982, 0.0194073, 0.0251065, 0.0278653, 0.0395816, 0.0355494, 0.0239638, 0.012574, 0.0185531
0.1, 0.0319375, 0.0294061, 0.0163116, 0.0211609, 0.0169075, 0.00781987, 0.00475324, 0.00788019, 0.0109433, 0.00668361, 0.00558862, 0.00811529, 0.00585306, 0.00599088, 0.00683707, 0.00635188, 0.00434609, 0.0042484, 0.00472061, 0.00499406, 0.00509132, 0.00881081, 0.00826912, 0.0101862, 0.0104359, 0.0129467, 0.0155236, 0.0205188, 0.0117696, 0.0113783, 0.0128051, 0.00942224, 0.00831215, 0.00738711, 0.0111937, 0.0100911, 0.0120255, 0.0119243, 0.0109283, 0.00809176, 0.00774287
0.11, 0.0319375, 0.06463, 0.0405133, 0.0394506, 0.0311321, 0.0179329, 0.0160927, 0.0197726, 0.021851, 0.0190492, 0.0183964, 0.0224264, 0.0202113, 0.0211586, 0.0187621, 0.0219507, 0.0181152, 0.0174132, 0.0140725, 0.0166809, 0.0168273, 0.0177567, 0.0188318, 0.0154943, 0.0174807, 0.017536, 0.0155923, 0.0180356, 0.015628, 0.0148675, 0.0168817, 0.0160212, 0.0156669, 0.0180603, 0.0187956, 0.0193078, 0.0177992, 0.0186859, 0.0192198, 0.0198774, 0.020278
0.12, 0.0319375, 0.032214, 0.0231453, 0.0190324, 0.0164623, 0.0115301, 0.0118487, 0.0109697, 0.01135, 0.011226, 0.010268, 0.0121574, 0.0116232, 0.0111495, 0.0110339, 0.0121734, 0.0102384, 0.0097454, 0.00842399, 0.00914067, 0.00977692, 0.0103222, 0.0105156, 0.00934607, 0.00998715, 0.00909968, 0.00859443, 0.00885299, 0.00883515, 0.0084338, 0.00939212, 0.00864052, 0.00889789, 0.0101113, 0.010476, 0.0110987, 0.0114345, 0.0122753, 0.0110035, 0.011379, 0.0114308
0.13, 0.0319375, 0.00776511, 0.00306422, 0.00380495, 0.00391598, 0.00339539, 0.00208613, 0.00172383, 0.00246661, 0.00136378, 0.00178559, 0.00176334, 0.00194944, 0.0026552, 0.00229358, 0.00234186, 0.00143508, 0.00146496, 0.00153769, 0.00124484, 0.00192516, 0.00306993, 0.00232664, 0.00352476, 0.00270323, 0.0027748, 0.00361646, 0.00360423, 0.00329428, 0.0030502, 0.00314646, 0.002569, 0.00244699, 0.00282853, 0.00427986, 0.0054096, 0.00551465, 0.0053802, 0.00362347, 0.0033247, 0.00326992
0.14, 0.0319375, 0.00649295, 0.00635496, 0.00372205, 0.00582308, 0.00314955, 0.0035389, 0.00414714, 0.00507993, 0.0029254, 0.00330521, 0.00359722, 0.00347071, 0.00353177, 0.0036667, 0.00387121, 0.00349981, 0.00351906, 0.00279596, 0.00295987, 0.00332208, 0.0031675, 0.00433755, 0.00501944, 0.00464978, 0.00317106, 0.00426372, 0.0046175, 0.00352904, 0.00349257, 0.00357429, 0.00440496, 0.0037977, 0.00378381, 0.00521846, 0.00561103, 0.00667722, 0.00747479, 0.00488766, 0.00404231, 0.00464836
0.15, 0.0319375, 0.00923056, 0.00661825, 0.00575244, 0.00588376, 0.00474612, 0.00464539, 0.0046003, 0.00579534, 0.00371457, 0.00362834, 0.00413658, 0.00434479, 0.0040619, 0.00358819, 0.00404967, 0.00393201, 0.00356717, 0.00362941, 0.00354282, 0.0036553, 0.00401631, 0.00469997, 0.00467814, 0.00437695, 0.0034157, 0.00445588, 0.00478765, 0.00466046, 0.0044821, 0.00377122, 0.00382027, 0.00360138, 0.00389579, 0.00417967, 0.00493784, 0.00604101, 0.00535577, 0.00478219, 0.00435345, 0.00539502
0.16, 0.0319375, 0.00675052, 0.00368131, 0.00285123, 0.0026351, 0.00237516, 0.00128044, 0.00242392, 0.0028038, 0.00184485, 0.0014927, 0.00246685, 0.00326386, 0.00203533, 0.00213954, 0.0023779, 0.00195503, 0.001995, 0.0017982, 0.00196181, 0.00275102, 0.00367621, 0.00459721, 0.00380293, 0.00303677, 0.00241774, 0.00306969, 0.00311259, 0.00286169, 0.00278573, 0.00294109, 0.0028781, 0.00163505, 0.00238159, 0.00291257, 0.00365898, 0.00467137, 0.00316108, 0.00229619, 0.00309976, 0.00448163
0.17, 0.0319375, 0.00685802, 0.00263475, 0.00164326, 0.00249182, 0.00125222, 0.00216559, 0.00172597, 0.000897482, 0.00118829, 0.00175953, 0.00178999, 0.00346667, 0.00196431, 0.00159684, 0.00188245, 0.00190648, 0.00159553, 0.00151876, 0.00194206, 0.00287263, 0.00411925, 0.00385637, 0.00298032, 0.00244188, 0.00231058, 0.00368832, 0.00313945, 0.00272082, 0.00168515, 0.00289188, 0.00274543, 0.00251537, 0.00213217, 0.00334882, 0.00451082, 0.00400076, 0.00390648, 0.00358344, 0.00350623, 0.00337329
0.18, 0.0319375, 0.00700755, 0.0031726, 0.00354377, 0.00390185, 0.0033083, 0.00257649, 0.0017988, 0.00341036, 0.00184318, 0.00160672, 0.00228977, 0.00448495, 0.00418145, 0.00515667, 0.00317985, 0.0016773, 0.00202439, 0.00230761, 0.00255722, 0.00397262, 0.0038135, 0.00372205, 0.0076991, 0.00944597, 0.0104942, 0.0107499, 0.00797445, 0.00512726, 0.00482383, 0.00514267, 0.00511931, 0.00720427, 0.00465512, 0.00830908, 0.0090314, 0.0075472, 0.00598247, 0.00469843, 0.00367751, 0.00504459
0.19, 0.0319375, 0.0138188, 0.00879486, 0.0218369, 0.0254587, 0.020792, 0.0156792, 0.00931583, 0.0147721, 0.010692, 0.0067054, 0.00978908, 0.0114894, 0.0139719, 0.0171658, 0.00988422, 0.00381195, 0.00350397, 0.0059039, 0.00548821, 0.0138603, 0.00809661, 0.00672032, 0.0191001, 0.021588, 0.0275822, 0.0289514, 0.0210231, 0.00964812, 0.012249, 0.00952863, 0.0112776, 0.0164798, 0.00943724, 0.0177631, 0.0195545, 0.0141089, 0.0130284, 0.00659847, 0.00456517, 0.00900257
0.2, 0.0319375, 0.020743, 0.0101961, 0.0199589, 0.0223524, 0.0162917, 0.0199842, 0.00783182, 0.0108745, 0.00733504, 0.00616873, 0.00702921, 0.00703702, 0.00826486, 0.00915638, 0.00656069, 0.00240846, 0.00282579, 0.00350136, 0.00328252, 0.00832776, 0.00525795, 0.00393046, 0.00853782, 0.00756613, 0.0119603, 0.0116813, 0.0103774, 0.00614622, 0.00616849, 0.00466615, 0.00557855, 0.00634548, 0.00464741, 0.00786257, 0.00950112, 0.00818009, 0.0114927, 0.00506487, 0.00407449, 0.00752389
0.21, 0.0319375, 0.0100341, 0.0258002, 0.0268333, 0.0188282, 0.0153271, 0.00701784, 0.0101177, 0.017853, 0.0106191, 0.00306624, 0.00375958, 0.00474292, 0.00830837, 0.0106489, 0.00501138, 0.00344208, 0.00598247, 0.00309191, 0.00429802, 0.00464444, 0.0101322, 0.00849763, 0.0109887, 0.00887627, 0.0075944, 0.00931571, 0.00933992, 0.00907558, 0.00631883, 0.00574604, 0.00921485, 0.00895331, 0.00492799, 0.00990346, 0.016853, 0.015357, 0.012008, 0.00794453, 0.00478136, 0.00821757
0.22, 0.0319375, 0.021497, 0.0253807, 0.0287403, 0.0316105, 0.0210185, 0.00703311, 0.0119623, 0.0153654, 0.0103992, 0.00522249, 0.00588672, 0.00499323, 0.00574426, 0.00769118, 0.00424211, 0.00281331, 0.0040917, 0.00261858, 0.00315395, 0.00298935, 0.00748627, 0.00730001, 0.00878221, 0.0104587, 0.00760659, 0.0111727, 0.00932481, 0.00691095, 0.0059052, 0.00456695, 0.00799267, 0.00712544, 0.00481007, 0.0101104, 0.0148356, 0.0119334, 0.0122149, 0.0112433, 0.00643752, 0.00688644
0.23, 0.0319375, 0.0415351, 0.0214335, 0.0100017, 0.0104863, 0.00620913, 0.00488611, 0.00956051, 0.00450406, 0.00667011, 0.00818648, 0.00912933, 0.00614361, 0.00269883, 0.00248326, 0.00490462, 0.00233842, 0.00249789, 0.00157649, 0.00191124, 0.00384033, 0.00452969, 0.00647329, 0.00697227, 0.00769106, 0.00699109, 0.00823554, 0.00935374, 0.00524383, 0.00637841, 0.00498172, 0.00762493, 0.00840495, 0.00509595, 0.0086872, 0.00820859, 0.0109645, 0.0111608, 0.00690254, 0.00525866, 0.00603662
0.24, 0.0319375, 0.0200048, 0.00788291, 0.0047135, 0.00435464, 0.00385898, 0.00425244, 0.00454334, 0.0033405, 0.00266816, 0.0035326, 0.0035225, 0.00255592, 0.00173133, 0.00100729, 0.00246364, 0.00209363, 0.00235744, 0.00159518, 0.00200702, 0.00265829, 0.00289367, 0.00411046, 0.0039662, 0.00448851, 0.00459531, 0.00395481, 0.00485669, 0.00364152, 0.00531202, 0.00387347, 0.00457621, 0.00443356, 0.00336367, 0.00475348, 0.00549354, 0.0064605, 0.00820563, 0.00622264, 0.00470377, 0.00523423
