# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.045664, 0.014261, 0.021482, 0.0371992, 0.0107892, 0.00977468, 0.0212672, 0.00722782, 0.0113725, 0.0141307, 0.00810997, 0.0118191, 0.0148831, 0.0112617, 0.00920398, 0.0111584, 0.0137482, 0.0119867, 0.0107802, 0.0181962, 0.0130525, 0.0123606, 0.0205515, 0.00843368, 0.0159313, 0.0201632, 0.013404, 0.013035, 0.0157583, 0.0175223, 0.0114324, 0.00893488, 0.0130411, 0.0145136, 0.0131437, 0.0189967, 0.0204896, 0.0171121, 0.0211676, 0.0152033, 0.01568, 0.0122857, 0.0104019, 0.00991869, 0.0111838, 0.0112736, 0.00943913, 0.00990441, 0.00905904, 0.00948624
0.01, 0.0639375, 0.0594026, 0.0277355, 0.0228434, 0.0578716, 0.0174663, 0.00976948, 0.0159652, 0.00960219, 0.0117466, 0.018073, 0.00955048, 0.0100318, 0.0135535, 0.0134814, 0.0128648, 0.0115201, 0.0123592, 0.0127562, 0.0110865, 0.0212337, 0.0150764, 0.0117633, 0.0243117, 0.0105391, 0.023583, 0.0194551, 0.0136285, 0.015308, 0.0167751, 0.0152574, 0.00805511, 0.00818979, 0.0133453, 0.0134765, 0.0156216, 0.0190794, 0.0185233, 0.0151836, 0.0208233, 0.0146897, 0.0143014, 0.0124557, 0.0118977, 0.011891, 0.0125066, 0.0110486, 0.00874594, 0.0104466, 0.00928713, 0.00950065
0.02, 0.0639375, 0.0727597, 0.0479804, 0.0185508, 0.0691237, 0.0254346, 0.00897871, 0.00946416, 0.0125205, 0.0141114, 0.020727, 0.0107423, 0.010038, 0.011542, 0.0150628, 0.0178102, 0.0139682, 0.0135571, 0.0148053, 0.011131, 0.0224999, 0.0198256, 0.0130924, 0.0212773, 0.0136958, 0.0254644, 0.0215257, 0.013695, 0.0153803, 0.015781, 0.0132545, 0.00723954, 0.00836323, 0.0119214, 0.0128337, 0.0151325, 0.0183404, 0.0174635, 0.0155966, 0.0176127, 0.0129399, 0.0137073, 0.0115566, 0.0118907, 0.011747, 0.011955, 0.0109709, 0.00926434, 0.0105155, 0.0093554, 0.00812263
0.03, 0.0639375, 0.0743556, 0.0707492, 0.0148248, 0.0609898, 0.0360257, 0.0102759, 0.00935032, 0.0160529, 0.013135, 0.0176322, 0.0112056, 0.00966949, 0.010663, 0.0175547, 0.019944, 0.0142665, 0.0140734, 0.0173098, 0.0117015, 0.0207241, 0.0236416, 0.0152696, 0.014278, 0.0169725, 0.0201986, 0.0211098, 0.0135788, 0.0182319, 0.0161753, 0.0112355, 0.0100851, 0.00915449, 0.0116552, 0.0140209, 0.0147117, 0.0192631, 0.0161098, 0.0158764, 0.0142937, 0.013202, 0.0138584, 0.00974399, 0.011256, 0.0109256, 0.0112049, 0.0123636, 0.00977291, 0.0114935, 0.0099207, 0.00727859
0.04, 0.0639375, 0.0657926, 0.0902985, 0.014215, 0.0402228, 0.0453001, 0.0164943, 0.0101128, 0.0153165, 0.0115695, 0.0119193, 0.0107972, 0.00905065, 0.0103441, 0.0169494, 0.0174269, 0.01112, 0.0122552, 0.0169989, 0.0124427, 0.0162393, 0.0235288, 0.0179507, 0.0154355, 0.0208023, 0.0168492, 0.026198, 0.0139423, 0.0201146, 0.0164893, 0.0128297, 0.0154814, 0.0121714, 0.0138116, 0.0144218, 0.0153886, 0.0190327, 0.0165067, 0.0164062, 0.0154056, 0.0151224, 0.0146722, 0.0103226, 0.0103324, 0.0103211, 0.0115433, 0.0137829, 0.011087, 0.0125788, 0.0102084, 0.00763226
0.05, 0.0639375, 0.0458894, 0.0965574, 0.0189732, 0.0279222, 0.0492477, 0.0235721, 0.0102845, 0.0101015, 0.010717, 0.0124046, 0.00942389, 0.0114687, 0.012814, 0.0158497, 0.0114914, 0.00687093, 0.00950195, 0.0168818, 0.0126883, 0.0115408, 0.0219956, 0.0202208, 0.0221317, 0.021152, 0.0197882, 0.0319033, 0.0157968, 0.0177327, 0.0173906, 0.0168103, 0.0184488, 0.0148478, 0.0154333, 0.0151533, 0.0168733, 0.0196269, 0.018679, 0.0193059, 0.0161846, 0.0154262, 0.0150404, 0.0120718, 0.0101495, 0.012254, 0.0134821, 0.0137722, 0.0110831, 0.0133611, 0.0111277, 0.00837138
0.06, 0.0639375, 0.0258296, 0.0888021, 0.0243596, 0.0208715, 0.041708, 0.028794, 0.0130413, 0.00729694, 0.00933083, 0.0121602, 0.00931489, 0.0132831, 0.0134834, 0.013152, 0.00896878, 0.00610428, 0.0127409, 0.0161698, 0.0108438, 0.0107462, 0.0192446, 0.0218786, 0.0230657, 0.0164823, 0.0203002, 0.0301915, 0.0170338, 0.0151838, 0.0181727, 0.0166279, 0.0183693, 0.0165531, 0.0163232, 0.0174596, 0.016336, 0.018935, 0.0183631, 0.0203326, 0.0148211, 0.0140052, 0.015126, 0.0129867, 0.0114714, 0.0143226, 0.013437, 0.0139126, 0.0100513, 0.0136238, 0.0121762, 0.00930449
0.07, 0.0639375, 0.0221961, 0.0823784, 0.0265097, 0.0204579, 0.0291609, 0.0293431, 0.0154779, 0.00820232, 0.0119502, 0.0103341, 0.0116468, 0.0134151, 0.0116312, 0.0110134, 0.0109219, 0.00717657, 0.0156509, 0.0167316, 0.00853309, 0.0113364, 0.0213927, 0.0227022, 0.0186299, 0.0138327, 0.0176489, 0.0246537, 0.0168069, 0.0130294, 0.0151377, 0.0131537, 0.0166511, 0.0170317, 0.014767, 0.0178922, 0.015921, 0.0192015, 0.0171774, 0.0202366, 0.0164429, 0.0122723, 0.0162625, 0.0137091, 0.013202, 0.013288, 0.0109743, 0.0134004, 0.0106481, 0.0133453, 0.01135, 0.00969877
0.08, 0.0639375, 0.0223873, 0.0862292, 0.0265522, 0.0219926, 0.0245766, 0.029624, 0.0140212, 0.00822005, 0.0149385, 0.0106523, 0.0137829, 0.0150109, 0.0104236, 0.0103717, 0.011296, 0.00796653, 0.0147637, 0.020061, 0.0112926, 0.0118273, 0.0271468, 0.0232489, 0.0156767, 0.0157145, 0.0177375, 0.0221145, 0.0152827, 0.0149676, 0.0103753, 0.0131599, 0.0152531, 0.0149891, 0.0123887, 0.01646, 0.0156478, 0.0203171, 0.0187382, 0.0196685, 0.0180988, 0.0110488, 0.0173951, 0.0142478, 0.0133277, 0.0115193, 0.00859183, 0.0131989, 0.0116212, 0.0128789, 0.0102181, 0.009714
0.09, 0.0639375, 0.0175064, 0.0893927, 0.0284478, 0.0187631, 0.0219485, 0.0355924, 0.0126573, 0.00713124, 0.0162148, 0.0152783, 0.014115, 0.0184653, 0.0125349, 0.0123503, 0.0112826, 0.00796925, 0.0131199, 0.0228982, 0.0136659, 0.0122312, 0.0269181, 0.0229203, 0.0140493, 0.0178006, 0.0166526, 0.020822, 0.0132636, 0.0156169, 0.00834526, 0.0179453, 0.0144791, 0.0124588, 0.0119663, 0.0165309, 0.016285, 0.0197148, 0.0202424, 0.0186284, 0.0184989, 0.0109632, 0.0178755, 0.0141113, 0.0145193, 0.012101, 0.00810702, 0.0119523, 0.0118609, 0.0117974, 0.0112128, 0.00918414
