# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.00742781, 0.00876, 0.00618153, 0.00281545, 0.00430324, 0.00617264, 0.00781822, 0.00851465, 0.0113249, 0.0152472, 0.0114221, 0.0253841, 0.0254821, 0.0183948, 0.0132983, 0.0142286, 0.0158147, 0.0183573, 0.0168987, 0.00736616, 0.0106657, 0.0156004, 0.0165359, 0.0204154, 0.0173405, 0.0126521, 0.0150599, 0.0106066, 0.0324601, 0.0607512, 0.0392771, 0.0441837, 0.0274344, 0.0207166, 0.0289267, 0.0359984, 0.0229023, 0.0250811, 0.0215843, 0.0114006
0.01, 0.0319375, 0.00695735, 0.00716841, 0.00664939, 0.00461905, 0.00502016, 0.00664809, 0.00950903, 0.0178138, 0.0154521, 0.0210812, 0.0251085, 0.0258851, 0.0308314, 0.0262331, 0.0271558, 0.0212402, 0.0153327, 0.0216762, 0.0145738, 0.00712284, 0.0116598, 0.0182992, 0.0177571, 0.0274464, 0.0281663, 0.0307824, 0.0258006, 0.0166075, 0.0277184, 0.0497734, 0.0496467, 0.050556, 0.0340329, 0.0233145, 0.0312451, 0.0353202, 0.0222807, 0.0315515, 0.0276128, 0.0172738
0.02, 0.0319375, 0.006241, 0.00563142, 0.00482893, 0.00700885, 0.0063944, 0.00860649, 0.0121056, 0.0179621, 0.0187091, 0.0270344, 0.0212903, 0.0370247, 0.0346071, 0.0326197, 0.0257056, 0.0287075, 0.0152888, 0.0269029, 0.0166674, 0.0114532, 0.0138154, 0.02347, 0.0228081, 0.0223332, 0.0321349, 0.0329819, 0.0287806, 0.0222889, 0.0274971, 0.0488771, 0.0664087, 0.0541574, 0.0326546, 0.024776, 0.0355435, 0.0391043, 0.0297707, 0.0364441, 0.0321687, 0.0224604
0.03, 0.0319375, 0.00677893, 0.00811636, 0.00676413, 0.00576026, 0.00318782, 0.00379212, 0.0045857, 0.00475834, 0.00392761, 0.00811234, 0.00890026, 0.0144377, 0.013694, 0.00708461, 0.0114671, 0.0119242, 0.00539478, 0.00840661, 0.0103843, 0.00945684, 0.00828331, 0.00776475, 0.00797646, 0.008654, 0.0100783, 0.00951411, 0.0135563, 0.0152212, 0.0155099, 0.0180979, 0.0272374, 0.0164728, 0.0139536, 0.0133967, 0.0147276, 0.0139594, 0.0142044, 0.0136885, 0.0203769, 0.0199375
0.04, 0.0319375, 0.00553468, 0.00743243, 0.00826782, 0.00445089, 0.004183, 0.00334204, 0.00304604, 0.00517422, 0.00224624, 0.00216321, 0.00429885, 0.0142926, 0.0166829, 0.00681481, 0.0139368, 0.0103671, 0.00612217, 0.00588044, 0.00877855, 0.00494744, 0.00419083, 0.00796547, 0.00986522, 0.011009, 0.00568665, 0.0108598, 0.00848143, 0.00998313, 0.00852954, 0.0170135, 0.0192335, 0.0206723, 0.0266891, 0.0188493, 0.0192999, 0.0160253, 0.0168015, 0.0123669, 0.0149781, 0.0157553
0.05, 0.0319375, 0.00440128, 0.00957657, 0.0118037, 0.00439891, 0.00652019, 0.00361052, 0.00266304, 0.00805546, 0.00480236, 0.0058482, 0.0104804, 0.0180274, 0.011166, 0.00715456, 0.00683849, 0.0118173, 0.00792041, 0.00688715, 0.0107294, 0.0115833, 0.0109731, 0.00993427, 0.010999, 0.0135313, 0.0140206, 0.0229712, 0.0135681, 0.0230351, 0.0199248, 0.0308451, 0.0241378, 0.0259196, 0.0354684, 0.0322088, 0.0379106, 0.0228124, 0.0255391, 0.0207639, 0.0150833, 0.0166478
0.06, 0.0319375, 0.00561067, 0.00312685, 0.00557013, 0.00421683, 0.00618769, 0.00319946, 0.0021443, 0.00810241, 0.00928264, 0.00870481, 0.00907534, 0.0190089, 0.012997, 0.0139367, 0.00895461, 0.00708165, 0.0098095, 0.0108146, 0.0077366, 0.0100079, 0.00929197, 0.00900801, 0.00894515, 0.0111456, 0.0122107, 0.0126504, 0.00885642, 0.0245856, 0.0259196, 0.0290348, 0.0212563, 0.0195948, 0.0281212, 0.0225045, 0.0235451, 0.0214348, 0.0233317, 0.0244845, 0.0223968, 0.0215728
0.07, 0.0319375, 0.0105081, 0.0110909, 0.0124992, 0.0163393, 0.00861334, 0.00658615, 0.0108101, 0.0213193, 0.0250603, 0.0343728, 0.0319031, 0.0523888, 0.0534857, 0.041648, 0.0279524, 0.0186158, 0.0140168, 0.0103499, 0.0164439, 0.0195693, 0.0180335, 0.0179026, 0.0138695, 0.00919949, 0.00691248, 0.0118811, 0.0312912, 0.0304206, 0.0437849, 0.0552516, 0.0552828, 0.0295448, 0.0459035, 0.0407663, 0.0277126, 0.0366762, 0.0647535, 0.0793362, 0.0593745, 0.0731829
0.08, 0.0319375, 0.0111564, 0.008365, 0.0121138, 0.0192963, 0.00875586, 0.00685542, 0.011955, 0.0183885, 0.0251176, 0.0430554, 0.0274826, 0.0532013, 0.0518395, 0.0382343, 0.0269634, 0.0261444, 0.0192087, 0.0119464, 0.0207903, 0.0166145, 0.0172822, 0.0150415, 0.0120124, 0.00799917, 0.00713432, 0.0105442, 0.0279675, 0.0256506, 0.0328317, 0.0468584, 0.0520428, 0.0343574, 0.0406798, 0.0360469, 0.0337592, 0.0347223, 0.059234, 0.0750476, 0.0688046, 0.0759415
0.09, 0.0319375, 0.00530775, 0.00744911, 0.00542478, 0.00664181, 0.00422917, 0.00191826, 0.00527953, 0.0105969, 0.0119129, 0.0207697, 0.013319, 0.017346, 0.014685, 0.0125156, 0.0193257, 0.0178543, 0.015985, 0.0141551, 0.0200688, 0.0184311, 0.0136398, 0.0145128, 0.0132909, 0.0105073, 0.00998325, 0.0113096, 0.0152188, 0.0238942, 0.0182305, 0.0220837, 0.0197581, 0.0266331, 0.0301013, 0.0334111, 0.0558553, 0.0542213, 0.0382218, 0.0434847, 0.0587939, 0.0514904
0.1, 0.0319375, 0.00785406, 0.0131809, 0.0134301, 0.00815443, 0.00603413, 0.0047587, 0.00460374, 0.00520007, 0.00881022, 0.0148267, 0.0144665, 0.011719, 0.00985684, 0.012165, 0.0205559, 0.0223378, 0.0225733, 0.0216471, 0.03525, 0.0329812, 0.0233133, 0.022243, 0.0222216, 0.0170587, 0.0164676, 0.0178724, 0.0264322, 0.0288978, 0.0174231, 0.0273852, 0.035188, 0.0452046, 0.0506766, 0.0527177, 0.0970891, 0.0945768, 0.0379645, 0.0592403, 0.0876411, 0.0768073
0.11, 0.0319375, 0.0105671, 0.0126461, 0.00700092, 0.00661742, 0.0121166, 0.0104662, 0.00980207, 0.0144746, 0.0137946, 0.0108055, 0.0132699, 0.0136508, 0.00936248, 0.0191976, 0.0209472, 0.0145664, 0.00782307, 0.00911527, 0.0191867, 0.0154402, 0.00843108, 0.0139264, 0.0121746, 0.0108713, 0.00789226, 0.010226, 0.0178556, 0.0151002, 0.0126608, 0.0277592, 0.0270244, 0.0224595, 0.0158646, 0.0150387, 0.0272306, 0.0281858, 0.028702, 0.0420678, 0.0340026, 0.0325153
0.12, 0.0319375, 0.0125596, 0.0113562, 0.00553231, 0.00461881, 0.00684098, 0.00677846, 0.00574568, 0.00872632, 0.00952521, 0.0106866, 0.0086709, 0.0155908, 0.0144568, 0.0153798, 0.00934489, 0.0121746, 0.0134698, 0.0131879, 0.00913476, 0.00592559, 0.00672861, 0.0126457, 0.0104915, 0.0155271, 0.0153815, 0.0119762, 0.0113107, 0.0109131, 0.0206723, 0.0351476, 0.0377104, 0.0339565, 0.0178729, 0.0150548, 0.0210605, 0.023494, 0.0177103, 0.0238269, 0.0178359, 0.0138064
0.13, 0.0319375, 0.00815751, 0.00917646, 0.00677065, 0.00279084, 0.00409799, 0.00585377, 0.00835152, 0.00828626, 0.0112342, 0.0162602, 0.0138903, 0.0256973, 0.0254204, 0.0178543, 0.013659, 0.0135554, 0.0144557, 0.0183089, 0.0170375, 0.00735871, 0.0111046, 0.0157036, 0.0166688, 0.020621, 0.0174354, 0.0147151, 0.0156182, 0.0100202, 0.0322317, 0.059704, 0.0392493, 0.0437016, 0.0290983, 0.0205565, 0.027819, 0.0350935, 0.022496, 0.0249433, 0.0219797, 0.0113648
0.14, 0.0319375, 0.00604195, 0.00660498, 0.00600036, 0.00478445, 0.00543, 0.00800851, 0.0107028, 0.020398, 0.017304, 0.0243518, 0.0276953, 0.0314846, 0.0361111, 0.031798, 0.0308195, 0.0256464, 0.0176921, 0.0249595, 0.0157694, 0.00878304, 0.0131371, 0.0217195, 0.0203744, 0.0290213, 0.0317558, 0.0351794, 0.0291559, 0.0190308, 0.0277031, 0.0535086, 0.0564998, 0.0555963, 0.0356118, 0.0242949, 0.035355, 0.039736, 0.0254206, 0.0361234, 0.0311926, 0.0194136
0.15, 0.0319375, 0.00417445, 0.00684654, 0.00594242, 0.00735291, 0.00560866, 0.00795766, 0.0109875, 0.0159595, 0.0166855, 0.0252604, 0.0202182, 0.0313971, 0.0289229, 0.0269651, 0.0212351, 0.0250733, 0.0147447, 0.0229948, 0.0136573, 0.0110916, 0.0125396, 0.0214804, 0.0203303, 0.0231601, 0.0296406, 0.0290485, 0.0254161, 0.0227161, 0.0345951, 0.0425762, 0.0639829, 0.0507398, 0.0364399, 0.0251096, 0.0313083, 0.0341843, 0.0321853, 0.0346679, 0.0276101, 0.0164816
0.16, 0.0319375, 0.0103146, 0.0117363, 0.0093567, 0.005132, 0.00487757, 0.00830211, 0.0132893, 0.0218706, 0.0255063, 0.0337736, 0.0239853, 0.0450607, 0.055105, 0.0366679, 0.0272582, 0.0175539, 0.0214848, 0.0232618, 0.0133214, 0.0128633, 0.017052, 0.0170008, 0.0214099, 0.0248806, 0.0290246, 0.0382166, 0.0312172, 0.0282954, 0.0474487, 0.0489335, 0.0732239, 0.0578891, 0.0278793, 0.0246045, 0.0303156, 0.0274509, 0.0288072, 0.0495764, 0.04354, 0.0181579
0.17, 0.0319375, 0.0145797, 0.0128642, 0.00822254, 0.00786375, 0.00734522, 0.00681209, 0.0168922, 0.0179178, 0.0239464, 0.0403521, 0.0324937, 0.0457463, 0.0490461, 0.0290742, 0.0247046, 0.0225334, 0.0164858, 0.0192958, 0.013864, 0.0154739, 0.0202659, 0.0136951, 0.0177961, 0.0180807, 0.0200408, 0.0310232, 0.0239571, 0.0198931, 0.0325091, 0.0348489, 0.0514668, 0.042243, 0.0225066, 0.0224987, 0.0245451, 0.0273923, 0.0334691, 0.047338, 0.0377599, 0.0191805
0.18, 0.0319375, 0.0092354, 0.0184364, 0.00680806, 0.0110746, 0.0137966, 0.00870162, 0.00798037, 0.0161612, 0.0188411, 0.0169559, 0.0283964, 0.0416956, 0.0341119, 0.0281989, 0.0376548, 0.0293737, 0.0181994, 0.0185371, 0.015812, 0.0209457, 0.0142682, 0.013404, 0.016907, 0.0208709, 0.0150892, 0.0209663, 0.0163756, 0.0140287, 0.0164979, 0.0229208, 0.02829, 0.0248645, 0.0174294, 0.0215032, 0.0208596, 0.0192815, 0.028402, 0.0575304, 0.041555, 0.0342618
0.19, 0.0319375, 0.00345812, 0.0116305, 0.00594834, 0.00542395, 0.00733338, 0.00667011, 0.00427179, 0.00755702, 0.00927107, 0.0169976, 0.0112176, 0.021052, 0.02045, 0.0167183, 0.0175728, 0.0190546, 0.0160785, 0.0152251, 0.0108421, 0.0128496, 0.00905762, 0.00937547, 0.0082943, 0.0133983, 0.0176937, 0.0205358, 0.0198628, 0.0128898, 0.0147069, 0.0302879, 0.0244273, 0.017449, 0.0144964, 0.0144529, 0.0191964, 0.0165035, 0.0193454, 0.0321133, 0.0269179, 0.0308295
0.2, 0.0319375, 0.0114233, 0.0139569, 0.00653831, 0.00489454, 0.00533763, 0.00412209, 0.00358546, 0.00681445, 0.00729658, 0.0106706, 0.0076228, 0.00990476, 0.00522901, 0.0057637, 0.00829584, 0.0119845, 0.0131606, 0.00694776, 0.0148396, 0.0134622, 0.00860743, 0.011383, 0.00706543, 0.0107498, 0.0120468, 0.010667, 0.0153876, 0.0137629, 0.0104804, 0.0173733, 0.0126101, 0.0132862, 0.0126927, 0.00928359, 0.0156248, 0.0141329, 0.0162159, 0.0202195, 0.0213109, 0.0205079
0.21, 0.0319375, 0.00960467, 0.0100522, 0.00652516, 0.00359116, 0.0037344, 0.00229179, 0.00112446, 0.00301538, 0.00333397, 0.0054709, 0.00471433, 0.0097833, 0.0116127, 0.00733043, 0.00653582, 0.00935693, 0.0112241, 0.00846796, 0.0086105, 0.00516473, 0.00664051, 0.00548584, 0.00984716, 0.00793921, 0.00741314, 0.0106317, 0.0141732, 0.0159552, 0.0189791, 0.0278384, 0.0294515, 0.0208967, 0.0154446, 0.0117139, 0.0106697, 0.0119129, 0.0107367, 0.0116818, 0.0185323, 0.0250081
0.22, 0.0319375, 0.00682618, 0.00823401, 0.00416827, 0.00570704, 0.00207531, 0.00336569, 0.00351027, 0.00814379, 0.00867066, 0.00887911, 0.0101164, 0.026502, 0.0303681, 0.015844, 0.0151805, 0.0181612, 0.0117727, 0.0171114, 0.0179927, 0.0100216, 0.0121832, 0.00876154, 0.0122761, 0.0125215, 0.00721883, 0.0134652, 0.0287534, 0.0348306, 0.0484809, 0.0787088, 0.0819925, 0.0552014, 0.0424908, 0.0305181, 0.0216591, 0.0206726, 0.0176267, 0.0185916, 0.0498301, 0.0684439
0.23, 0.0319375, 0.0102272, 0.0073354, 0.00389187, 0.00306161, 0.000726912, 0.00338006, 0.00392025, 0.00543035, 0.00619029, 0.00622619, 0.010671, 0.0144281, 0.0187013, 0.010985, 0.0121812, 0.0121149, 0.0103999, 0.0149142, 0.0130464, 0.0184847, 0.0173564, 0.0125989, 0.00928725, 0.00884366, 0.00871958, 0.0129595, 0.0167247, 0.0178533, 0.0259978, 0.0393147, 0.0374343, 0.024695, 0.0184251, 0.0141763, 0.0141575, 0.0136629, 0.0183156, 0.0173185, 0.027744, 0.033265
0.24, 0.0319375, 0.0126388, 0.00663802, 0.0033367, 0.00370839, 0.00137687, 0.00114018, 0.00423879, 0.00695818, 0.00408767, 0.00471338, 0.00797055, 0.0105652, 0.00522356, 0.00527893, 0.00886339, 0.0194823, 0.00900151, 0.00962746, 0.0101651, 0.0287849, 0.0204081, 0.0126628, 0.0113955, 0.00922418, 0.0127122, 0.0130137, 0.00881388, 0.0133705, 0.0189168, 0.0166598, 0.0138588, 0.010918, 0.00714462, 0.00823684, 0.010066, 0.0129024, 0.0158436, 0.0209395, 0.0260433, 0.0250588
0.25, 0.0319375, 0.0129047, 0.00895827, 0.00373642, 0.00414916, 0.000799813, 0.000729652, 0.00349863, 0.00734545, 0.00216904, 0.00360245, 0.00454619, 0.00493819, 0.00558672, 0.00400052, 0.0066398, 0.0136084, 0.0114366, 0.0065222, 0.00459887, 0.0113817, 0.00912082, 0.00888419, 0.00859597, 0.0061801, 0.00775754, 0.00650598, 0.00803619, 0.0103114, 0.00838935, 0.00996236, 0.00997582, 0.00874818, 0.006007, 0.00578005, 0.00648703, 0.00643432, 0.00695368, 0.00868389, 0.0106132, 0.0115112
0.26, 0.0319375, 0.0146184, 0.0078796, 0.00541731, 0.00519082, 0.00189804, 0.0023578, 0.00374842, 0.00806102, 0.00459021, 0.00705632, 0.013169, 0.0175248, 0.0133647, 0.00796476, 0.0073922, 0.0099443, 0.016168, 0.0161736, 0.00651592, 0.00984562, 0.0115627, 0.00999057, 0.00953501, 0.00749064, 0.0115685, 0.00751265, 0.00779184, 0.0113922, 0.00898001, 0.0170514, 0.00826711, 0.00725433, 0.00529245, 0.00726498, 0.0123244, 0.0136148, 0.0127511, 0.0130691, 0.0164432, 0.0164975
0.27, 0.0319375, 0.0112676, 0.00623709, 0.00305484, 0.00218165, 0.00283007, 0.00281747, 0.00354246, 0.00474933, 0.00301455, 0.00444199, 0.00823164, 0.0120636, 0.00949474, 0.00667154, 0.00826297, 0.0112358, 0.0151305, 0.0113107, 0.00606695, 0.00857694, 0.010199, 0.00828402, 0.00732475, 0.00813386, 0.00740805, 0.00831688, 0.00676401, 0.00829454, 0.00802968, 0.010927, 0.00753643, 0.0050434, 0.00456375, 0.0069873, 0.00863249, 0.00820941, 0.0130886, 0.0111857, 0.0124128, 0.0110181
0.28, 0.0319375, 0.0129304, 0.00543853, 0.00403376, 0.00273485, 0.00341202, 0.00270715, 0.00441422, 0.00433197, 0.00317462, 0.00436841, 0.00419142, 0.00677171, 0.00925701, 0.00699961, 0.00917292, 0.0121262, 0.00744911, 0.00481921, 0.00607039, 0.0120181, 0.00853557, 0.0068997, 0.00775292, 0.00616897, 0.00401073, 0.00801088, 0.00650408, 0.00699074, 0.00631421, 0.00513746, 0.00772217, 0.00658639, 0.00625178, 0.0070955, 0.00642982, 0.00505147, 0.00970255, 0.0129633, 0.0103194, 0.0108405
0.29, 0.0319375, 0.0124831, 0.00849751, 0.00434906, 0.000835904, 0.00213716, 0.00268872, 0.00257649, 0.00197847, 0.00139925, 0.00247708, 0.0030067, 0.00527443, 0.00319601, 0.00363392, 0.00682949, 0.00961117, 0.00629454, 0.00531949, 0.00442407, 0.00636124, 0.00701713, 0.00515703, 0.00682037, 0.00614302, 0.00828295, 0.0136037, 0.0123409, 0.0125794, 0.0192184, 0.0246284, 0.0204715, 0.0177337, 0.0190548, 0.0196818, 0.020427, 0.012125, 0.00971754, 0.0119643, 0.0119966, 0.0153737
0.3, 0.0319375, 0.00615428, 0.00626303, 0.00424567, 0.00219486, 0.00221436, 0.00117757, 0.00249349, 0.00286348, 0.00285147, 0.00384497, 0.00387097, 0.00537866, 0.00443629, 0.0042046, 0.00629466, 0.00811234, 0.00431428, 0.00584441, 0.00430241, 0.00611328, 0.00458986, 0.00478717, 0.00539312, 0.00685589, 0.00924544, 0.0142061, 0.0124524, 0.0134689, 0.0217961, 0.0276401, 0.0216603, 0.0186921, 0.0205359, 0.0210487, 0.0228886, 0.0153515, 0.0132497, 0.0138384, 0.0128683, 0.0173746
0.31, 0.0319375, 0.0049357, 0.00435654, 0.00537012, 0.00251703, 0.00243784, 0.00386468, 0.00362988, 0.00322453, 0.00403899, 0.00451225, 0.00564742, 0.0079696, 0.00741468, 0.0038623, 0.00379485, 0.0059756, 0.00891124, 0.0057087, 0.0049134, 0.00750058, 0.00518015, 0.0035168, 0.00442609, 0.00257292, 0.00250907, 0.00452388, 0.00367134, 0.003513, 0.00479667, 0.00704744, 0.00607738, 0.00475134, 0.0038243, 0.00431606, 0.00511979, 0.00575019, 0.00710757, 0.00760541, 0.0071645, 0.00548916
0.32, 0.0319375, 0.00700234, 0.0052283, 0.00413266, 0.00365304, 0.00307052, 0.00221746, 0.00306458, 0.00335155, 0.00222198, 0.00170419, 0.00298364, 0.0047517, 0.00387133, 0.00337305, 0.00282912, 0.00471029, 0.0051167, 0.00262428, 0.00327943, 0.00554606, 0.00377751, 0.00292861, 0.00300837, 0.00351122, 0.00277694, 0.0038743, 0.0047027, 0.00388748, 0.00445837, 0.00453432, 0.00500331, 0.00368927, 0.00343056, 0.00318924, 0.00421279, 0.00380459, 0.00562371, 0.00658639, 0.00741527, 0.00691533
0.33, 0.0319375, 0.00290258, 0.00571344, 0.00530953, 0.00441066, 0.00315775, 0.0025124, 0.00235804, 0.00240311, 0.00209803, 0.00181831, 0.00409491, 0.00382715, 0.00221329, 0.00170848, 0.00330474, 0.0060339, 0.00869512, 0.00359995, 0.00318639, 0.00496322, 0.00438277, 0.00515631, 0.00403756, 0.00576156, 0.00360304, 0.00415367, 0.00566176, 0.00598958, 0.00609918, 0.00377443, 0.00332185, 0.00298959, 0.00376896, 0.00372692, 0.00338208, 0.00326743, 0.00673879, 0.00774133, 0.00922784, 0.00857351
0.34, 0.0319375, 0.00560605, 0.00507839, 0.00466865, 0.00253808, 0.00294109, 0.00280618, 0.00262773, 0.0027868, 0.00182212, 0.00187709, 0.00224874, 0.00376564, 0.00155959, 0.00277753, 0.00267363, 0.00462415, 0.00403839, 0.0028296, 0.00263546, 0.00336688, 0.00303748, 0.00349744, 0.00443036, 0.00403471, 0.0027723, 0.00328335, 0.00471611, 0.00457467, 0.00585033, 0.00471492, 0.00595865, 0.00549058, 0.00486464, 0.00584145, 0.0103419, 0.00868425, 0.00457965, 0.00426063, 0.00742935, 0.00836795
0.35, 0.0319375, 0.00440318, 0.00504625, 0.00202011, 0.00259753, 0.00174477, 0.00221615, 0.0038135, 0.00701737, 0.00463317, 0.00496441, 0.00404219, 0.00417195, 0.00396252, 0.00384176, 0.00367074, 0.00453788, 0.00583185, 0.00522201, 0.00450228, 0.00519557, 0.0037331, 0.00477804, 0.00663447, 0.00694587, 0.00501933, 0.00522178, 0.00433315, 0.00578278, 0.0104279, 0.011783, 0.0163896, 0.015925, 0.00882877, 0.00968696, 0.0305254, 0.0278037, 0.0130143, 0.0175139, 0.020774, 0.0224323
0.36, 0.0319375, 0.00207055, 0.00271607, 0.00212693, 0.00105421, 0.00116483, 0.00119543, 0.00349625, 0.00470472, 0.00261786, 0.00344517, 0.00583445, 0.00616565, 0.00476178, 0.0052768, 0.00623425, 0.00907026, 0.00777942, 0.00697795, 0.0129441, 0.00865825, 0.00774736, 0.00770454, 0.00641466, 0.00577353, 0.00805783, 0.0081406, 0.00924969, 0.0111106, 0.016531, 0.0126685, 0.0175909, 0.0126261, 0.00687756, 0.00908113, 0.0162279, 0.0163096, 0.0212389, 0.0258784, 0.0250449, 0.0277969
0.37, 0.0319375, 0.00232414, 0.00338101, 0.00408517, 0.00129889, 0.00127044, 0.00107922, 0.00450263, 0.00277456, 0.00212634, 0.00503237, 0.00776735, 0.00806977, 0.00492633, 0.00500533, 0.00937004, 0.00999057, 0.0101561, 0.011844, 0.0159011, 0.0168979, 0.0064374, 0.00643456, 0.00758281, 0.00597358, 0.00825316, 0.00716225, 0.0124406, 0.0152192, 0.0183254, 0.012274, 0.0193185, 0.0123682, 0.00709017, 0.00647187, 0.0143388, 0.0134313, 0.0134401, 0.0143584, 0.0178734, 0.0173688
0.38, 0.0319375, 0.00283828, 0.00756968, 0.00690822, 0.0043652, 0.00303915, 0.00444876, 0.00342105, 0.00283126, 0.0068289, 0.00712899, 0.00599041, 0.0110581, 0.00752567, 0.00516367, 0.00741113, 0.0113153, 0.0146325, 0.012571, 0.00986723, 0.0106342, 0.00741657, 0.00860814, 0.00953713, 0.0117443, 0.0123821, 0.0111595, 0.0191725, 0.012558, 0.0226346, 0.0103649, 0.0124122, 0.00823531, 0.0101603, 0.00846205, 0.00969062, 0.0099279, 0.00874038, 0.010356, 0.0144194, 0.0168162
0.39, 0.0319375, 0.00378499, 0.00732711, 0.00541031, 0.00290068, 0.00291922, 0.00365506, 0.0027364, 0.00253416, 0.00490711, 0.00690349, 0.0050211, 0.00955992, 0.00569057, 0.00625723, 0.0079657, 0.00810725, 0.0117446, 0.0080227, 0.00527253, 0.0065023, 0.0065858, 0.00696777, 0.00831251, 0.0100947, 0.0104798, 0.00975095, 0.0142595, 0.0094122, 0.0134086, 0.00832906, 0.00739847, 0.00558163, 0.00706602, 0.00620629, 0.00567018, 0.00851713, 0.0125949, 0.0121688, 0.013466, 0.0151837
0.4, 0.0319375, 0.00243153, 0.00242868, 0.00362561, 0.00350195, 0.00230226, 0.0014383, 0.0025099, 0.00345586, 0.00254628, 0.00214049, 0.00219152, 0.00288963, 0.00437125, 0.00466841, 0.00488054, 0.00335606, 0.0025231, 0.00344232, 0.00394697, 0.00430574, 0.0046938, 0.00558957, 0.00463685, 0.00634169, 0.00692965, 0.00404991, 0.00416234, 0.0064066, 0.00636147, 0.00695605, 0.0079055, 0.00596754, 0.00396751, 0.00513034, 0.00749822, 0.0078815, 0.0100516, 0.00903163, 0.0112169, 0.0109901
0.41, 0.0319375, 0.00633766, 0.00339824, 0.00464456, 0.00249171, 0.00151317, 0.00127866, 0.00110244, 0.00225932, 0.0014977, 0.00224208, 0.00207626, 0.00364853, 0.00278229, 0.00298424, 0.00320196, 0.00339159, 0.00395528, 0.0033108, 0.00443487, 0.00454571, 0.00420757, 0.00545003, 0.00469285, 0.00612063, 0.00643858, 0.00343103, 0.00343851, 0.00458238, 0.00524502, 0.00573608, 0.00631563, 0.00466034, 0.00401868, 0.00584014, 0.00748331, 0.00777303, 0.00872892, 0.00787617, 0.0107988, 0.0153732
0.42, 0.0319375, 0.00618224, 0.00358451, 0.00651616, 0.00313791, 0.00294704, 0.00212777, 0.00187924, 0.00233378, 0.00214763, 0.00156745, 0.00301276, 0.0041989, 0.00431167, 0.00284244, 0.00347938, 0.00458713, 0.00580447, 0.00448839, 0.00491506, 0.00629431, 0.00502348, 0.00695558, 0.00655797, 0.00773506, 0.00760813, 0.00302988, 0.00521027, 0.00662298, 0.0047676, 0.00561375, 0.00685435, 0.00477116, 0.00356277, 0.00547825, 0.0076125, 0.00591658, 0.00960278, 0.0113048, 0.0150495, 0.0228226
0.43, 0.0319375, 0.00829667, 0.00503391, 0.00498528, 0.0031032, 0.0032679, 0.0015559, 0.00190708, 0.00208161, 0.00233972, 0.0014583, 0.00290769, 0.00335464, 0.00287275, 0.00173347, 0.00284267, 0.00337531, 0.00728013, 0.00490699, 0.0027811, 0.00377169, 0.00253974, 0.00440176, 0.00360957, 0.0031183, 0.00422621, 0.00353818, 0.00635093, 0.00674389, 0.00371671, 0.00578882, 0.0055156, 0.00301787, 0.00260086, 0.00401346, 0.00473841, 0.00565619, 0.0083053, 0.00605831, 0.00668859, 0.00753454
0.44, 0.0319375, 0.00377597, 0.00478943, 0.00560202, 0.00562335, 0.00305329, 0.00126663, 0.0021983, 0.0019517, 0.00105314, 0.00207376, 0.00222602, 0.0022981, 0.0034498, 0.00345253, 0.00273212, 0.0038629, 0.00765013, 0.0043741, 0.00366112, 0.00385185, 0.00404196, 0.00287073, 0.00198334, 0.00276731, 0.00377953, 0.00537474, 0.0048338, 0.00520209, 0.00385649, 0.00661173, 0.00439048, 0.00345598, 0.00218653, 0.00285361, 0.00519604, 0.00386456, 0.00437102, 0.00439511, 0.0042522, 0.00411153
0.45, 0.0319375, 0.00632155, 0.00674022, 0.00531, 0.00550338, 0.00175953, 0.00153579, 0.00405537, 0.00401584, 0.00411699, 0.00558898, 0.00873636, 0.01255, 0.0113018, 0.00767816, 0.00653097, 0.00604729, 0.00868555, 0.00402569, 0.00435559, 0.00834218, 0.0133981, 0.0196611, 0.0174337, 0.0151909, 0.0107728, 0.0171796, 0.0223184, 0.0167572, 0.0074277, 0.00665058, 0.00670564, 0.0102581, 0.0120232, 0.00976169, 0.00858545, 0.0103403, 0.0118091, 0.0150491, 0.0258789, 0.0338996
