# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.0180623, 0.0216215, 0.018484, 0.0205935, 0.0213543, 0.0132559, 0.013482, 0.0121673, 0.0160946, 0.0274119, 0.0257489, 0.0128756, 0.0156877, 0.018182, 0.0167866, 0.0144794, 0.0168196, 0.0199693, 0.0218974, 0.0281699, 0.0208032, 0.0227094, 0.0185853, 0.0197047, 0.0240193, 0.0173053, 0.0285514, 0.030104, 0.0266997, 0.0360242, 0.0312754, 0.0305702, 0.0319153, 0.0260941, 0.0196357, 0.0141972, 0.0135263, 0.0194637, 0.0224836, 0.0174039, 0.0152743, 0.0107446, 0.0112955, 0.016636, 0.0109429, 0.0112021, 0.0105311, 0.0134325, 0.011684, 0.0100329
0.01, 0.0639375, 0.0139072, 0.0173193, 0.0170516, 0.0171209, 0.0182687, 0.0135376, 0.0119103, 0.0115878, 0.0130296, 0.021081, 0.0226242, 0.0136084, 0.0167435, 0.0162039, 0.0184449, 0.0181516, 0.020997, 0.0213143, 0.0234977, 0.0303049, 0.0241718, 0.0270789, 0.0212741, 0.0174341, 0.0237701, 0.0169874, 0.0239967, 0.0311815, 0.026471, 0.0358143, 0.0293474, 0.0317474, 0.0288929, 0.0216691, 0.0166655, 0.0146893, 0.0146287, 0.0204654, 0.0218321, 0.0173108, 0.0181966, 0.0117477, 0.0119845, 0.0160998, 0.0127002, 0.0128111, 0.0129866, 0.0125554, 0.0111115, 0.009907
0.02, 0.0639375, 0.00935882, 0.0106423, 0.0149494, 0.0143913, 0.0166542, 0.0190535, 0.0124688, 0.00963655, 0.0144384, 0.0181212, 0.0262994, 0.014529, 0.018647, 0.0170978, 0.0163027, 0.0217354, 0.0211204, 0.0210955, 0.0264316, 0.027143, 0.0268465, 0.0319346, 0.0214616, 0.0145154, 0.0186551, 0.0160541, 0.0191361, 0.0284679, 0.0279267, 0.0352013, 0.0245842, 0.0287577, 0.0252209, 0.0141024, 0.0131576, 0.0135634, 0.0144895, 0.0171816, 0.0195315, 0.0154649, 0.0209356, 0.0133087, 0.0135807, 0.0160031, 0.014713, 0.0145215, 0.0157314, 0.0139868, 0.0125976, 0.0098239
0.03, 0.0639375, 0.0149511, 0.0126907, 0.0140305, 0.0163564, 0.0148556, 0.0215439, 0.0158751, 0.0105425, 0.0163186, 0.0194732, 0.0285761, 0.0146819, 0.0175747, 0.0140411, 0.0165693, 0.0224608, 0.0175389, 0.0211992, 0.0322462, 0.0313283, 0.0285063, 0.0294532, 0.0204537, 0.016587, 0.0145277, 0.0176326, 0.0244331, 0.0253398, 0.0244332, 0.0354751, 0.0221682, 0.0299463, 0.0285742, 0.0134955, 0.013071, 0.0125746, 0.0126454, 0.0133505, 0.0179928, 0.0142688, 0.0228218, 0.0163168, 0.0142619, 0.0164554, 0.015157, 0.0143269, 0.0157411, 0.015497, 0.0144238, 0.0101151
0.04, 0.0639375, 0.0188753, 0.013526, 0.0116554, 0.0167213, 0.0124687, 0.0178252, 0.0153268, 0.0109382, 0.016828, 0.0183656, 0.0250642, 0.0126784, 0.0124739, 0.0130641, 0.0192319, 0.0201797, 0.0125957, 0.0177528, 0.0352013, 0.0378695, 0.0305362, 0.0222259, 0.0200546, 0.020505, 0.0138659, 0.017465, 0.0317427, 0.0219886, 0.0192283, 0.0306638, 0.0232447, 0.0326573, 0.0290705, 0.0224513, 0.0176679, 0.0125688, 0.0115051, 0.0146776, 0.0167556, 0.0146211, 0.0236871, 0.0180013, 0.0155247, 0.017187, 0.0161559, 0.012335, 0.0127956, 0.0144754, 0.0140152, 0.0102379
0.05, 0.0639375, 0.0223304, 0.0125302, 0.00983937, 0.0151939, 0.0145953, 0.0121993, 0.0152686, 0.00868342, 0.016738, 0.0185513, 0.0208369, 0.0143689, 0.0110832, 0.0120368, 0.0183033, 0.0211413, 0.01536, 0.0130586, 0.0294512, 0.0399779, 0.0296944, 0.0183041, 0.021344, 0.0234036, 0.014269, 0.0144347, 0.0299038, 0.0241827, 0.0174212, 0.0221282, 0.0218448, 0.0292546, 0.026525, 0.0300223, 0.0239438, 0.0132923, 0.0104158, 0.0172251, 0.0139948, 0.0161135, 0.0244332, 0.0166082, 0.0145304, 0.0167278, 0.0184691, 0.0122631, 0.0131492, 0.0144088, 0.0148515, 0.0111676
0.06, 0.0639375, 0.0254279, 0.0107245, 0.0108905, 0.0130328, 0.0147472, 0.00892424, 0.0165376, 0.00736463, 0.0167008, 0.0195971, 0.0154366, 0.0220425, 0.0160131, 0.0126597, 0.0163053, 0.0261465, 0.0188551, 0.0143549, 0.0264523, 0.0343223, 0.0240132, 0.0178501, 0.0223731, 0.0226853, 0.0162894, 0.0173889, 0.0215463, 0.0283554, 0.0196579, 0.0222351, 0.0211014, 0.0265261, 0.025379, 0.0296721, 0.0244409, 0.0144878, 0.0103669, 0.0177474, 0.0138867, 0.0173861, 0.0211697, 0.0142817, 0.0132031, 0.0141579, 0.0169401, 0.0125033, 0.0151211, 0.0157573, 0.0149391, 0.0119613
0.07, 0.0639375, 0.0243319, 0.0107236, 0.0146519, 0.0154894, 0.014278, 0.0103416, 0.0187962, 0.00782744, 0.0151297, 0.0181987, 0.0159387, 0.0251452, 0.0183626, 0.0117835, 0.0147339, 0.0279916, 0.0211154, 0.0193301, 0.0218094, 0.0248431, 0.017061, 0.0237018, 0.024448, 0.0201526, 0.0186256, 0.0241178, 0.0185992, 0.0311853, 0.0248103, 0.0296407, 0.0227742, 0.0310081, 0.0256399, 0.0229838, 0.0211183, 0.0150281, 0.0124236, 0.0171689, 0.0152321, 0.0163779, 0.0173101, 0.0144845, 0.0128586, 0.0134374, 0.0134573, 0.0115036, 0.0148767, 0.0156279, 0.0136501, 0.0118705
0.08, 0.0639375, 0.0231626, 0.0144917, 0.0188054, 0.0290521, 0.0199885, 0.0142112, 0.0199088, 0.0084247, 0.0129308, 0.0157827, 0.0150286, 0.0245013, 0.0170757, 0.0125123, 0.0158591, 0.024594, 0.022023, 0.0249832, 0.0200856, 0.0198698, 0.0147294, 0.0306415, 0.0267889, 0.0208295, 0.017922, 0.0290839, 0.0217745, 0.0323484, 0.0274904, 0.0301655, 0.0295882, 0.0354147, 0.0262912, 0.0184716, 0.0191028, 0.0148512, 0.0156216, 0.0182106, 0.0178203, 0.0163921, 0.0181638, 0.0167292, 0.0142756, 0.0145281, 0.0143973, 0.0121146, 0.0142863, 0.015281, 0.0124987, 0.0122727
0.09, 0.0639375, 0.0330596, 0.0241427, 0.0198099, 0.0393707, 0.0201455, 0.0146586, 0.0180297, 0.00777552, 0.0119011, 0.0154529, 0.0144711, 0.0205838, 0.0131785, 0.0155024, 0.0191031, 0.0194449, 0.0219953, 0.0242943, 0.0184875, 0.0199711, 0.0169329, 0.0284303, 0.0245744, 0.021745, 0.0168123, 0.0309495, 0.0215904, 0.0311764, 0.0269585, 0.0275233, 0.0319614, 0.030184, 0.0245961, 0.0156863, 0.0190511, 0.01502, 0.0179851, 0.0199347, 0.0213178, 0.016213, 0.0193377, 0.0168854, 0.0155585, 0.0150073, 0.0161657, 0.0131236, 0.0140642, 0.016317, 0.0120818, 0.0132191
0.1, 0.0639375, 0.0335027, 0.0281032, 0.0208399, 0.0446637, 0.0139788, 0.0121118, 0.0155459, 0.00763214, 0.0150353, 0.0166046, 0.0148343, 0.0186833, 0.0117567, 0.0191069, 0.0177825, 0.0152123, 0.0209786, 0.01799, 0.0180637, 0.0291575, 0.0234227, 0.0228692, 0.0227248, 0.0207412, 0.0192797, 0.0275997, 0.0166962, 0.0255522, 0.0252295, 0.0266371, 0.0296647, 0.0217296, 0.0221048, 0.0125205, 0.0160918, 0.0152806, 0.0175892, 0.0199777, 0.0239237, 0.0166782, 0.0173897, 0.0149969, 0.0158232, 0.0136958, 0.0153717, 0.0128547, 0.0136257, 0.0183255, 0.013825, 0.013994
0.11, 0.0639375, 0.0259465, 0.0233457, 0.0228269, 0.042676, 0.0122092, 0.0167177, 0.0145369, 0.00969617, 0.0156907, 0.0131016, 0.0165259, 0.0189408, 0.0147, 0.0231753, 0.0143079, 0.0145152, 0.0165749, 0.016613, 0.0182596, 0.0375754, 0.033183, 0.024385, 0.0273563, 0.0220334, 0.0211962, 0.0235763, 0.0137351, 0.0193464, 0.0247811, 0.0264904, 0.0240938, 0.0197971, 0.0215085, 0.0115318, 0.012972, 0.0150325, 0.0147017, 0.0195756, 0.021333, 0.0165425, 0.0151466, 0.0142693, 0.0159618, 0.011179, 0.0141718, 0.0110428, 0.0124433, 0.01836, 0.0164282, 0.0134787
