# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.0102671, 0.0933616, 0.061932, 0.0265001, 0.0164253, 0.0980501, 0.0433328, 0.0259739, 0.0184199, 0.0243045, 0.014535, 0.0203483, 0.0232147, 0.0225157, 0.0186346, 0.0223183, 0.0331805, 0.0227683, 0.0313608, 0.0325987, 0.0313227, 0.0259662, 0.0294812, 0.053625, 0.0770742, 0.0554743, 0.0682991, 0.0593295, 0.0618158, 0.0435731, 0.0731032, 0.0815411, 0.0562526, 0.0415825, 0.0315781, 0.0421758, 0.050282, 0.0602695, 0.0508748, 0.0368281, 0.0390548, 0.0379583, 0.0227798, 0.017953, 0.0191988, 0.0252589, 0.0282895, 0.0331946, 0.0345003, 0.0262843
0.01, 0.0639375, 0.0129105, 0.104128, 0.0719693, 0.0311265, 0.0226699, 0.102961, 0.037855, 0.0227163, 0.029304, 0.0267664, 0.0135606, 0.0247228, 0.0211344, 0.0185817, 0.0213139, 0.0230224, 0.0311494, 0.0251922, 0.0329019, 0.0350926, 0.0335435, 0.0221019, 0.0270079, 0.0480014, 0.0683155, 0.0605379, 0.053056, 0.0518827, 0.0701268, 0.0420695, 0.07402, 0.0827457, 0.0536049, 0.0496375, 0.0316085, 0.0318008, 0.0450218, 0.0604127, 0.0432924, 0.0342125, 0.0387887, 0.0381213, 0.0258695, 0.0226333, 0.0231731, 0.0281975, 0.0266351, 0.0325388, 0.031817, 0.0259682
0.02, 0.0639375, 0.0155483, 0.102875, 0.0695003, 0.0262917, 0.0197014, 0.102605, 0.0246141, 0.0157164, 0.0394832, 0.0265328, 0.0151927, 0.0295544, 0.0230065, 0.0171692, 0.0203989, 0.0193038, 0.0283196, 0.0246929, 0.0258948, 0.0267213, 0.0274579, 0.0194193, 0.0355343, 0.055342, 0.055889, 0.073294, 0.0460723, 0.0501648, 0.0784217, 0.0434368, 0.0807827, 0.0786956, 0.0531576, 0.0533635, 0.0368153, 0.0278392, 0.0397963, 0.057145, 0.0445475, 0.0316669, 0.0329, 0.0358556, 0.0327184, 0.0283059, 0.0272811, 0.0317614, 0.0259078, 0.0307031, 0.0308, 0.0260239
0.03, 0.0639375, 0.0164316, 0.0975336, 0.0562574, 0.0192912, 0.0200294, 0.108002, 0.0178864, 0.00940842, 0.0504307, 0.0304164, 0.0158544, 0.0379309, 0.0227666, 0.0239001, 0.019776, 0.0217202, 0.036224, 0.0271816, 0.0164982, 0.0187214, 0.0287183, 0.0178183, 0.0442463, 0.0640275, 0.0564344, 0.0827395, 0.0499098, 0.0620295, 0.0863046, 0.0533028, 0.0740522, 0.0677205, 0.0538843, 0.0479596, 0.0368262, 0.0316189, 0.0408206, 0.0546477, 0.0468562, 0.0309249, 0.0265653, 0.0312847, 0.0338318, 0.0297419, 0.0285029, 0.0308777, 0.0278563, 0.0286958, 0.0309049, 0.0253003
0.04, 0.0639375, 0.0140915, 0.0850207, 0.0381546, 0.0163671, 0.0322267, 0.113307, 0.0189943, 0.00869689, 0.0546301, 0.0344255, 0.0161271, 0.056553, 0.0211586, 0.0323096, 0.0251797, 0.022144, 0.0369892, 0.0273814, 0.0159414, 0.0199576, 0.0347187, 0.0225465, 0.047712, 0.0607374, 0.060157, 0.0866787, 0.0561051, 0.0733275, 0.0838919, 0.0663138, 0.0636391, 0.0636745, 0.0516168, 0.040121, 0.0310633, 0.0325429, 0.0418348, 0.0585553, 0.0446901, 0.029528, 0.0261198, 0.0306404, 0.0275583, 0.0258688, 0.0251263, 0.0244957, 0.0268619, 0.0251364, 0.0275543, 0.022557
0.05, 0.0639375, 0.013736, 0.0740357, 0.0291881, 0.0177356, 0.0422202, 0.110259, 0.0221141, 0.0115337, 0.0475109, 0.030149, 0.0134608, 0.0722018, 0.0241929, 0.0340291, 0.0303007, 0.0196856, 0.0297635, 0.027056, 0.0179431, 0.0230776, 0.0340387, 0.0233567, 0.0446186, 0.0516473, 0.0573568, 0.0752231, 0.0559222, 0.0729211, 0.0721281, 0.0723124, 0.0572743, 0.0580409, 0.0456442, 0.0372588, 0.0284325, 0.0347267, 0.0442093, 0.0615077, 0.0449307, 0.0294229, 0.0267973, 0.0302252, 0.0194928, 0.0207793, 0.0201758, 0.0167014, 0.024384, 0.0233945, 0.0222152, 0.0183923
0.06, 0.0639375, 0.0145711, 0.0841016, 0.0262981, 0.018691, 0.0449144, 0.125019, 0.0318596, 0.0180886, 0.0385228, 0.022967, 0.0092282, 0.0717587, 0.0250981, 0.0276788, 0.0302323, 0.0212676, 0.0314899, 0.0229188, 0.0194506, 0.023778, 0.0376662, 0.0233952, 0.0377827, 0.0598449, 0.056296, 0.0627906, 0.0490345, 0.0691417, 0.0616347, 0.0826753, 0.0605601, 0.0579099, 0.0428575, 0.0308656, 0.0301152, 0.0355493, 0.0424409, 0.0565353, 0.0437345, 0.0310715, 0.0238163, 0.0253656, 0.0165615, 0.0191338, 0.0180636, 0.0129906, 0.021124, 0.0223486, 0.0209252, 0.0163194
0.07, 0.0639375, 0.0197907, 0.100673, 0.0358315, 0.0167443, 0.0436209, 0.140256, 0.0370797, 0.0222116, 0.0328425, 0.0224554, 0.00666964, 0.0595952, 0.027028, 0.0216829, 0.0281333, 0.0224533, 0.033344, 0.018976, 0.0229371, 0.0218691, 0.037271, 0.02249, 0.0257867, 0.0671569, 0.0555421, 0.063946, 0.0406521, 0.0671658, 0.0592848, 0.101359, 0.0653362, 0.055502, 0.0394962, 0.0274186, 0.0345127, 0.0299193, 0.0362066, 0.0493475, 0.0383558, 0.0291853, 0.0201013, 0.0208395, 0.0185069, 0.0175832, 0.0176757, 0.0127452, 0.0181678, 0.0212669, 0.0208644, 0.0157037
0.08, 0.0639375, 0.0226019, 0.106002, 0.0539071, 0.0149216, 0.0546896, 0.137226, 0.0352903, 0.0207551, 0.025347, 0.0230536, 0.0101941, 0.0418964, 0.0245501, 0.0181256, 0.0214588, 0.0210951, 0.0310106, 0.0183424, 0.029675, 0.0244764, 0.0309363, 0.0214109, 0.0174416, 0.0565616, 0.0550495, 0.0788221, 0.036976, 0.0625064, 0.0695278, 0.104883, 0.0705369, 0.0562046, 0.0399522, 0.0264844, 0.0361592, 0.0227457, 0.0289554, 0.0425376, 0.0309617, 0.0224663, 0.0182066, 0.0177344, 0.0178895, 0.0161834, 0.0157846, 0.0127031, 0.0183753, 0.0217596, 0.0204464, 0.0149269
0.09, 0.0639375, 0.0233376, 0.105307, 0.0630666, 0.0212769, 0.0578621, 0.107482, 0.0298726, 0.0141993, 0.034865, 0.0272755, 0.0151333, 0.0319631, 0.0196212, 0.0180469, 0.013342, 0.0179029, 0.0336035, 0.0167975, 0.0295456, 0.0228476, 0.0236749, 0.0256449, 0.0160691, 0.0362086, 0.0484225, 0.0778219, 0.0375708, 0.0589969, 0.0818578, 0.0960177, 0.0741329, 0.0548148, 0.0431785, 0.0282175, 0.0307141, 0.0191238, 0.0203654, 0.0333242, 0.0298201, 0.0172107, 0.0171058, 0.0159627, 0.0158972, 0.0152829, 0.0145553, 0.0130936, 0.0188928, 0.0221323, 0.0197031, 0.0144568
