# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.372217, 0.401266, 0.729711, 0.628245, 1.11427, 1.07982, 1.23012, 0.89211, 0.636838, 0.823943, 1.03601, 0.793591, 1.05995, 1.02984, 0.771453, 1.2101, 1.29809, 1.14005, 1.08446, 1.40509, 1.19495, 1.08162, 1.22501, 1.16679, 1.36669, 1.19353, 1.25701, 1.32899, 1.14712, 1.43719, 1.37676, 1.16834, 1.34971, 1.23539, 1.42658, 1.37458, 1.33922, 1.29565, 1.20214, 1.47931, 1.97197, 1.95675, 2.25748, 2.67478, 2.6451, 2.19568, 1.69674, 1.3365, 1.40901, 1.19342
0.01, 0.0639375, 0.336984, 0.558422, 0.723484, 0.687142, 1.15893, 0.94012, 0.95736, 0.855504, 0.653769, 0.83118, 1.07994, 0.763895, 1.14887, 1.02868, 1.0205, 1.08415, 1.01736, 0.8356, 0.876527, 1.4561, 1.23161, 1.02941, 1.14014, 1.04868, 1.40855, 1.25961, 1.26864, 1.27943, 1.16778, 1.40465, 1.3471, 1.16427, 1.37749, 1.23757, 1.40678, 1.40469, 1.26569, 1.26142, 1.19636, 1.39427, 2.02102, 1.94371, 2.1977, 2.60048, 2.6277, 2.12449, 1.61992, 1.42782, 1.42947, 1.29977
0.02, 0.0639375, 0.235664, 0.631382, 0.832174, 0.629609, 1.08157, 0.765722, 0.702529, 0.811752, 0.731377, 0.847779, 0.931004, 0.608706, 1.15082, 1.13321, 1.23391, 0.921254, 0.926915, 0.938866, 1.01184, 1.54612, 1.2773, 1.18905, 1.21502, 1.04014, 1.53487, 1.53439, 1.30412, 1.2591, 1.26928, 1.44238, 1.30188, 1.30592, 1.47168, 1.26685, 1.39942, 1.44363, 1.2528, 1.24099, 1.31209, 1.54477, 2.03963, 1.94409, 2.25059, 2.55835, 2.61282, 2.01349, 1.58957, 1.5283, 1.46196, 1.34723
0.03, 0.0639375, 0.305915, 0.633606, 0.867506, 0.668311, 1.00647, 0.724925, 0.839241, 0.907553, 0.695727, 0.818143, 0.766118, 0.580236, 1.187, 1.16913, 1.23802, 0.958454, 1.35524, 1.36101, 1.31778, 1.52036, 1.2947, 1.2638, 1.25434, 1.13175, 1.53084, 1.55837, 1.23544, 1.30011, 1.33297, 1.39481, 1.1899, 1.4507, 1.46111, 1.20447, 1.42451, 1.4136, 1.19369, 1.25923, 1.42492, 1.6482, 2.00094, 1.84149, 2.24742, 2.55042, 2.57828, 1.98003, 1.66599, 1.50724, 1.44597, 1.27951
0.04, 0.0639375, 0.519036, 0.642677, 0.76576, 0.713502, 1.01358, 0.78668, 1.07507, 0.870952, 0.605837, 0.828142, 0.715226, 0.561657, 1.16208, 1.10407, 1.13703, 1.22841, 1.689, 1.61953, 1.38439, 1.36883, 1.34608, 1.12529, 1.14288, 1.21912, 1.49913, 1.37176, 1.3379, 1.29677, 1.3296, 1.28056, 1.0577, 1.4888, 1.40687, 1.16273, 1.45003, 1.35287, 1.15891, 1.28601, 1.37857, 1.58737, 1.85472, 1.87414, 2.26182, 2.54133, 2.51419, 2.02157, 1.79032, 1.41389, 1.39749, 1.17896
0.05, 0.0639375, 0.602675, 0.59023, 0.645235, 0.710446, 1.04914, 0.799422, 1.11934, 0.723686, 0.587102, 0.819469, 0.670403, 0.716789, 1.16842, 1.1029, 1.07286, 1.32964, 1.77853, 1.74002, 1.1924, 1.37494, 1.48844, 0.95004, 1.04689, 1.22264, 1.36744, 1.01942, 1.37216, 1.30094, 1.24509, 1.24583, 1.18469, 1.5071, 1.369, 1.30688, 1.47558, 1.40722, 1.11058, 1.21182, 1.21644, 1.5013, 1.69543, 2.03327, 2.2928, 2.53387, 2.56608, 2.11282, 1.82953, 1.37701, 1.42078, 1.20117
0.06, 0.0639375, 0.551148, 0.522592, 0.541837, 0.698861, 1.05894, 0.777377, 1.13935, 0.630842, 0.725739, 0.778975, 0.614382, 0.935352, 1.37848, 1.24197, 1.0593, 1.26998, 1.71255, 1.61961, 1.00961, 1.52343, 1.51572, 0.910277, 0.971663, 1.22682, 1.21564, 0.823423, 1.27269, 1.30661, 1.11842, 1.33423, 1.38869, 1.46256, 1.3327, 1.35588, 1.44675, 1.47925, 1.19241, 1.21504, 1.196, 1.51753, 1.78086, 2.09282, 2.24116, 2.72111, 2.75948, 2.2169, 1.74151, 1.3638, 1.43642, 1.22732
0.07, 0.0639375, 0.527971, 0.375143, 0.464332, 0.613353, 1.10628, 0.764585, 1.23412, 0.718425, 0.913408, 0.735987, 0.583167, 1.0958, 1.45994, 1.2682, 1.17358, 1.22664, 1.50015, 1.34826, 0.920941, 1.58494, 1.41356, 0.930521, 0.879037, 1.3084, 1.11385, 1.0559, 1.15364, 1.3559, 1.10098, 1.31956, 1.44287, 1.26328, 1.2422, 1.29581, 1.45464, 1.5208, 1.25253, 1.16624, 1.19361, 1.54103, 1.82986, 2.0544, 2.30521, 2.79839, 2.71245, 2.20696, 1.67101, 1.30063, 1.41615, 1.22329
0.08, 0.0639375, 0.52991, 0.344256, 0.517384, 0.49664, 1.24698, 0.939556, 1.16722, 0.896388, 1.09051, 0.754821, 0.591247, 1.08601, 1.33942, 1.26341, 1.26655, 1.18956, 1.17367, 1.09805, 0.830972, 1.61761, 1.50512, 1.04263, 0.961479, 1.36487, 1.09865, 1.24145, 1.21348, 1.40425, 1.21901, 1.21566, 1.43753, 1.12886, 1.17061, 1.1633, 1.41422, 1.44441, 1.16625, 1.11061, 1.17882, 1.60393, 1.8085, 2.00749, 2.39361, 2.72808, 2.50404, 2.15019, 1.61474, 1.22741, 1.42297, 1.29246
0.09, 0.0639375, 0.422171, 0.308423, 0.529914, 0.471948, 1.23401, 1.03732, 1.00355, 0.956676, 1.12961, 0.764788, 0.723714, 1.11121, 1.16159, 1.222, 1.22411, 1.17631, 1.00245, 1.02275, 0.887135, 1.59122, 1.45816, 1.09493, 1.00219, 1.36354, 1.20424, 1.24007, 1.30392, 1.39278, 1.30505, 1.04286, 1.35199, 1.08962, 1.1406, 0.983757, 1.35309, 1.35102, 1.11431, 1.13372, 1.29938, 1.62626, 1.80889, 2.03041, 2.3835, 2.66873, 2.46617, 2.04991, 1.62007, 1.27189, 1.44677, 1.4138
