# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.379919, 0.47328, 0.622163, 0.674934, 1.82262, 1.10011, 1.10986, 0.949393, 1.07754, 0.880957, 0.568367, 0.705648, 0.71826, 0.789259, 0.820095, 1.21903, 1.30119, 1.14986, 0.9087, 1.43487, 1.28753, 1.03584, 1.01125, 0.962256, 1.21196, 1.35092, 1.33079, 1.38636, 1.53564, 1.61238, 1.21754, 1.01432, 1.27627, 1.29372, 1.46836, 1.37946, 1.25085, 1.41337, 1.3421, 1.52114, 1.46224, 1.79662, 1.96489, 2.31844, 2.35749, 2.09772, 1.6805, 1.3868, 1.45278, 1.20698
0.01, 0.0639375, 0.408749, 0.346106, 0.59465, 0.666802, 1.83284, 0.980792, 1.26297, 0.904291, 0.964602, 0.738253, 0.57635, 0.656161, 0.774632, 0.86467, 0.841345, 1.05032, 1.30906, 1.1977, 0.916386, 1.27161, 1.18202, 1.03592, 0.97045, 1.05091, 1.28575, 1.25368, 1.08655, 1.25111, 1.55639, 1.57263, 1.25118, 1.06515, 1.33882, 1.2331, 1.51125, 1.48721, 1.20829, 1.49173, 1.37711, 1.53443, 1.48464, 1.79565, 1.92601, 2.18993, 2.22956, 2.04871, 1.74472, 1.32729, 1.39386, 1.18357
0.02, 0.0639375, 0.559741, 0.381814, 0.537203, 0.594611, 1.78671, 0.995335, 1.27195, 0.719769, 0.981182, 0.877232, 0.819406, 0.691256, 0.813903, 0.896326, 0.873461, 1.02755, 1.18686, 1.17647, 0.861067, 1.28396, 1.26076, 1.08822, 0.961374, 1.28016, 1.43426, 1.14841, 1.20177, 1.31461, 1.525, 1.4108, 1.24177, 1.05425, 1.25604, 1.14616, 1.47393, 1.48801, 1.30421, 1.50262, 1.32803, 1.55028, 1.60619, 1.64304, 1.8847, 2.1322, 2.12236, 2.05117, 1.73208, 1.37052, 1.39121, 1.20898
0.03, 0.0639375, 0.674211, 0.562212, 0.578343, 0.371826, 1.72371, 0.998008, 1.15446, 0.597303, 0.880954, 0.977747, 0.9309, 0.675419, 0.838909, 0.902611, 1.00605, 1.07687, 1.0156, 1.14625, 0.797201, 1.231, 1.31003, 1.10787, 0.988213, 1.31756, 1.45297, 1.05859, 1.44598, 1.34827, 1.39014, 1.28185, 1.30749, 1.22541, 1.32632, 1.16103, 1.42055, 1.4444, 1.32436, 1.40644, 1.17449, 1.57804, 1.69463, 1.61283, 1.91792, 2.05854, 2.08939, 2.0996, 1.66889, 1.40114, 1.35074, 1.24128
0.04, 0.0639375, 0.654252, 0.706864, 0.497925, 0.380354, 1.72994, 0.96426, 1.03946, 0.606748, 0.876095, 1.22566, 0.852192, 0.592967, 0.826267, 0.932411, 1.12059, 1.20707, 1.00084, 1.16712, 0.901865, 1.37179, 1.41162, 1.03302, 0.979783, 1.12088, 1.28998, 0.994871, 1.5085, 1.26561, 1.34244, 1.31517, 1.41758, 1.38224, 1.42122, 1.19977, 1.42823, 1.43748, 1.3488, 1.31129, 1.17004, 1.61467, 1.71935, 1.74224, 2.03207, 2.09187, 2.17787, 2.13682, 1.57573, 1.35377, 1.32395, 1.26258
0.05, 0.0639375, 0.512429, 0.663589, 0.420938, 0.432297, 1.77928, 1.03534, 0.848041, 0.628, 1.10888, 1.38445, 0.718328, 0.631032, 0.826265, 0.942023, 1.19909, 1.34966, 1.12186, 1.15029, 0.968898, 1.58963, 1.54008, 1.09396, 1.03887, 0.996326, 1.18015, 1.05625, 1.40003, 1.26219, 1.33009, 1.33664, 1.40891, 1.32193, 1.38323, 1.24251, 1.38959, 1.39289, 1.36399, 1.29314, 1.27958, 1.62426, 1.67146, 1.8513, 2.12654, 2.15253, 2.31591, 2.20561, 1.66476, 1.2726, 1.29669, 1.24548
0.06, 0.0639375, 0.402802, 0.496361, 0.508019, 0.495233, 1.77009, 1.03973, 0.802224, 0.546301, 1.09946, 1.31572, 0.756217, 0.63164, 0.75088, 0.9353, 1.12149, 1.30665, 1.15655, 1.06491, 1.14365, 1.64458, 1.56894, 1.2747, 1.24489, 1.13225, 1.09458, 1.24382, 1.30619, 1.27376, 1.32535, 1.36026, 1.20528, 1.13875, 1.22178, 1.25942, 1.31924, 1.26996, 1.28747, 1.14777, 1.34784, 1.60063, 1.59665, 1.87092, 2.11013, 2.28085, 2.43835, 2.27513, 1.80106, 1.34009, 1.27718, 1.20029
0.07, 0.0639375, 0.508064, 0.431071, 0.567011, 0.638348, 1.79758, 0.957628, 0.869819, 0.373236, 0.847148, 1.06992, 0.823345, 0.686401, 0.697347, 0.929854, 1.07154, 1.14234, 1.09225, 1.12583, 1.25614, 1.52357, 1.44339, 1.35342, 1.28355, 1.18943, 1.06928, 1.37272, 1.43226, 1.30447, 1.28135, 1.38747, 1.15144, 1.14766, 1.21604, 1.2275, 1.32075, 1.27093, 1.2787, 1.02423, 1.37564, 1.57844, 1.56167, 1.83314, 2.11292, 2.33555, 2.46062, 2.25807, 1.90398, 1.45191, 1.24212, 1.14075
0.08, 0.0639375, 0.596819, 0.491405, 0.572456, 0.759333, 1.81576, 0.937974, 0.857219, 0.296002, 0.68744, 1.00951, 0.915036, 0.865969, 0.74984, 0.898185, 1.0475, 1.03115, 0.998, 1.16903, 1.21137, 1.39484, 1.30511, 1.31469, 1.19443, 1.08588, 1.09047, 1.49276, 1.52584, 1.3369, 1.41267, 1.41195, 1.16937, 1.15694, 1.27617, 1.15813, 1.39661, 1.44304, 1.45321, 1.0583, 1.42153, 1.67341, 1.63358, 1.82542, 2.1117, 2.26964, 2.39762, 2.11923, 1.85977, 1.4524, 1.248, 1.09616
0.09, 0.0639375, 0.557729, 0.488626, 0.677256, 0.746353, 1.76726, 0.989905, 0.880428, 0.316338, 0.703816, 1.00578, 0.829905, 0.980287, 0.71187, 0.797378, 0.901239, 1.02322, 0.972047, 1.0501, 1.1695, 1.2332, 1.24081, 1.33612, 1.26133, 0.992283, 1.21047, 1.45094, 1.56581, 1.29523, 1.51328, 1.35954, 1.10959, 1.02459, 1.25322, 1.09164, 1.44987, 1.52924, 1.49504, 1.10213, 1.48197, 1.65671, 1.71402, 1.84968, 2.06712, 2.20556, 2.32978, 1.93904, 1.70602, 1.35795, 1.2937, 1.13861
0.1, 0.0639375, 0.413308, 0.490129, 0.666841, 0.605181, 1.77023, 1.09884, 0.97284, 0.381354, 0.758648, 0.919557, 0.65981, 0.956761, 0.596524, 0.651649, 0.870289, 1.06584, 1.20539, 1.0667, 1.33713, 1.25997, 1.17854, 1.35806, 1.33984, 1.16231, 1.25203, 1.2245, 1.53636, 1.34062, 1.59889, 1.23888, 1.07222, 0.920323, 1.09853, 1.0752, 1.38487, 1.48843, 1.41002, 1.16021, 1.4598, 1.53409, 1.67965, 1.78895, 2.03614, 2.26474, 2.3367, 1.88604, 1.60862, 1.3147, 1.39219, 1.25129
0.11, 0.0639375, 0.35192, 0.443509, 0.538981, 0.549927, 1.81403, 1.08423, 0.910796, 0.41405, 0.84909, 0.919051, 0.635792, 0.840626, 0.606591, 0.690778, 0.914581, 1.07085, 1.32073, 1.18329, 1.42844, 1.38764, 1.20467, 1.35691, 1.23719, 1.30207, 1.26948, 1.09639, 1.54652, 1.49292, 1.56245, 1.1738, 1.06833, 0.907665, 0.928688, 0.99554, 1.25606, 1.40213, 1.3468, 1.22385, 1.32103, 1.40954, 1.62418, 1.73208, 2.04806, 2.52503, 2.42159, 2.0349, 1.73693, 1.37106, 1.39381, 1.26191
