# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.239021, 0.257509, 0.592067, 0.591211, 1.66532, 1.25856, 1.13138, 0.51505, 0.542452, 0.915046, 1.22527, 1.34638, 1.1431, 1.32503, 1.30541, 1.14988, 1.55158, 1.5702, 1.52063, 1.40233, 1.24311, 1.27678, 1.21255, 1.31505, 1.24444, 1.52467, 1.33032, 1.03316, 1.40566, 1.45491, 1.23465, 1.13295, 1.47231, 1.2367, 1.4121, 1.45953, 1.2574, 1.33149, 1.20275, 1.54551, 1.84703, 1.83263, 2.34282, 2.77753, 2.5463, 2.10461, 1.76547, 1.30473, 1.35675, 1.19479
0.01, 0.0639375, 0.27662, 0.291313, 0.595163, 0.523586, 1.61735, 1.25833, 1.14743, 0.632345, 0.570211, 0.926636, 1.24295, 1.34649, 1.05411, 1.12557, 1.2894, 1.21543, 1.40624, 1.55831, 1.38361, 1.21381, 0.956388, 1.10951, 1.08933, 1.26793, 1.28827, 1.54034, 1.28098, 1.00547, 1.41733, 1.4124, 1.23968, 1.28763, 1.41071, 1.21416, 1.41813, 1.58468, 1.14471, 1.22129, 1.16934, 1.60968, 1.96748, 1.84336, 2.30674, 2.58802, 2.5445, 2.11802, 1.71499, 1.40887, 1.35907, 1.31605
0.02, 0.0639375, 0.250849, 0.27975, 0.578512, 0.473086, 1.5659, 1.15897, 1.15504, 0.824679, 0.592918, 0.866538, 1.02222, 1.26689, 1.12762, 1.17215, 1.22536, 1.24851, 1.16333, 1.34707, 1.28201, 1.29823, 0.884603, 1.11834, 1.11541, 1.30919, 1.17025, 1.38973, 1.20488, 0.995753, 1.25505, 1.43266, 1.19234, 1.49002, 1.35572, 1.27042, 1.37929, 1.59664, 1.18823, 1.28755, 1.21198, 1.57562, 2.02706, 1.94241, 2.28292, 2.64634, 2.60857, 2.03017, 1.66474, 1.45295, 1.34025, 1.34134
0.03, 0.0639375, 0.306464, 0.198127, 0.520002, 0.479297, 1.58197, 1.04661, 1.10735, 0.855389, 0.530003, 0.893281, 0.820313, 1.18884, 1.13866, 1.20897, 1.06442, 1.2169, 0.940857, 1.07418, 1.19503, 1.32385, 0.920402, 1.16285, 1.23696, 1.37654, 0.945949, 1.2959, 1.29848, 1.14423, 1.09037, 1.39286, 1.0915, 1.54918, 1.37017, 1.24424, 1.3677, 1.51412, 1.25263, 1.36203, 1.275, 1.54121, 1.96933, 1.92582, 2.29986, 2.81965, 2.75708, 1.97814, 1.69517, 1.45916, 1.32854, 1.32018
0.04, 0.0639375, 0.305428, 0.158117, 0.352743, 0.4368, 1.55131, 0.871356, 0.894048, 0.734021, 0.588679, 0.97418, 0.817313, 1.07715, 1.10739, 1.34345, 0.980766, 1.16399, 1.02128, 1.01631, 1.03407, 1.27184, 1.01036, 1.08254, 1.15463, 1.2109, 0.843833, 1.31452, 1.49464, 1.33162, 1.14248, 1.27862, 1.07155, 1.41379, 1.42614, 1.22436, 1.44366, 1.49034, 1.23884, 1.39095, 1.28053, 1.56012, 1.99143, 1.77698, 2.32988, 2.86708, 2.78913, 2.0977, 1.73031, 1.57974, 1.43995, 1.37016
0.05, 0.0639375, 0.235033, 0.245874, 0.292737, 0.383459, 1.51184, 0.917685, 0.711809, 0.606642, 0.752249, 0.948022, 0.72829, 0.953434, 0.93686, 1.37237, 0.962624, 1.08926, 1.1351, 1.07268, 1.0851, 1.27908, 1.06408, 1.031, 1.08227, 1.06857, 0.871025, 1.41809, 1.56308, 1.39201, 1.29972, 1.16683, 1.2187, 1.19412, 1.47738, 1.24404, 1.51239, 1.58448, 1.26918, 1.3516, 1.16201, 1.6682, 2.09064, 1.71006, 2.44645, 2.89724, 2.83283, 2.12765, 1.70813, 1.62454, 1.54156, 1.37405
0.06, 0.0639375, 0.25073, 0.372869, 0.503241, 0.444321, 1.54883, 1.01788, 0.888841, 0.571484, 0.721503, 0.883889, 0.804314, 0.897673, 1.05735, 1.45881, 1.12919, 1.16459, 1.40296, 1.17549, 1.13481, 1.25682, 1.10406, 1.20699, 1.16893, 1.08604, 1.03305, 1.50646, 1.45867, 1.37264, 1.42049, 1.30926, 1.45623, 1.21394, 1.5309, 1.23425, 1.50335, 1.67008, 1.37195, 1.40403, 1.11758, 1.68649, 2.04643, 1.70292, 2.42082, 2.89238, 2.8958, 2.10474, 1.67141, 1.54318, 1.55082, 1.2661
0.07, 0.0639375, 0.254944, 0.429989, 0.680474, 0.46742, 1.55034, 1.08297, 1.03874, 0.579135, 0.596967, 0.792146, 0.977823, 0.76973, 1.21882, 1.53905, 1.24175, 1.15352, 1.48675, 1.26896, 1.06072, 1.11705, 1.31511, 1.35286, 1.25757, 1.1647, 1.21615, 1.51552, 1.44236, 1.35176, 1.45119, 1.62835, 1.59302, 1.38926, 1.54052, 1.18973, 1.41379, 1.56005, 1.38168, 1.46307, 1.19825, 1.69138, 1.91678, 1.74785, 2.36463, 2.85404, 2.83404, 2.04629, 1.71925, 1.48251, 1.48949, 1.19165
0.08, 0.0639375, 0.224171, 0.402316, 0.727435, 0.501468, 1.52002, 1.10487, 0.998356, 0.517508, 0.618059, 0.832042, 1.00334, 0.618638, 1.2089, 1.34987, 1.09925, 0.958808, 1.37259, 1.21638, 1.11009, 1.17396, 1.44757, 1.40627, 1.19997, 1.1939, 1.33028, 1.45175, 1.42069, 1.29607, 1.41007, 1.72801, 1.51547, 1.41915, 1.42308, 1.14093, 1.30132, 1.33749, 1.26185, 1.5458, 1.21521, 1.69014, 1.91941, 1.87185, 2.40729, 2.8374, 2.7359, 1.98243, 1.80104, 1.47526, 1.46894, 1.24919
0.09, 0.0639375, 0.20688, 0.349448, 0.697516, 0.587438, 1.54179, 1.08155, 0.903129, 0.587086, 0.68165, 0.774895, 0.841685, 0.698892, 1.03529, 0.927723, 0.837109, 0.945857, 1.18816, 1.23089, 1.31012, 1.3478, 1.39224, 1.41266, 1.17631, 1.13387, 1.31958, 1.35701, 1.29353, 1.27311, 1.45512, 1.57904, 1.31033, 1.38055, 1.33298, 1.099, 1.23271, 1.343, 1.16418, 1.49323, 1.12186, 1.64091, 1.97849, 2.02767, 2.44654, 2.73434, 2.66031, 2.0347, 1.81535, 1.40898, 1.43139, 1.28816
