# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.610289, 0.438108, 0.518461, 0.84781, 2.10973, 1.32683, 0.928781, 0.615184, 0.656746, 0.672677, 0.981555, 0.949855, 1.0369, 1.12151, 1.20521, 1.05859, 1.31147, 1.39632, 1.28206, 1.01026, 0.972439, 1.26117, 1.24133, 1.28234, 1.18044, 0.991928, 1.36539, 1.16852, 1.25951, 1.37712, 1.66817, 1.17537, 1.15225, 1.1222, 1.29997, 1.44037, 1.20074, 1.05229, 1.19538, 1.55214, 1.74668, 1.91643, 2.092, 2.3583, 2.29462, 2.01558, 1.61428, 1.44403, 1.48878, 1.22474
0.01, 0.0639375, 0.762771, 0.573529, 0.487879, 0.88927, 2.08513, 1.30273, 0.83538, 0.67999, 0.529231, 0.652013, 0.957315, 0.922631, 1.12028, 1.24932, 1.29146, 1.01419, 1.22828, 1.36342, 1.34438, 1.0704, 1.11022, 1.35641, 1.28166, 1.25016, 1.20665, 1.08833, 1.40259, 1.18651, 1.25828, 1.31891, 1.50019, 1.14604, 1.08555, 1.03081, 1.18362, 1.53168, 1.24619, 1.01812, 1.03784, 1.44781, 1.80085, 1.81203, 2.16732, 2.36956, 2.24089, 2.04105, 1.68592, 1.41388, 1.44601, 1.19073
0.02, 0.0639375, 0.751436, 0.572023, 0.412958, 0.735477, 1.97912, 1.28468, 0.907165, 0.703687, 0.643495, 0.7864, 0.870018, 0.844658, 1.14117, 1.24385, 1.27634, 1.19863, 1.19718, 1.23363, 1.18619, 1.07153, 1.11287, 1.25548, 1.27233, 1.07954, 1.23249, 1.21682, 1.34409, 1.1576, 1.34015, 1.25566, 1.23452, 1.0826, 1.11486, 0.923259, 1.17581, 1.48877, 1.26809, 1.06132, 1.061, 1.5482, 1.90269, 1.74839, 2.15988, 2.32111, 2.24383, 2.07309, 1.72419, 1.47194, 1.40501, 1.21337
0.03, 0.0639375, 0.564398, 0.485465, 0.546276, 0.671996, 1.92577, 1.34682, 0.986918, 0.611269, 0.654467, 0.853764, 0.822078, 0.800824, 1.11455, 1.11369, 1.17619, 1.27266, 1.11774, 1.20084, 1.0032, 1.14285, 1.10542, 1.18543, 1.28011, 0.89257, 1.16712, 1.29882, 1.2497, 1.20126, 1.40114, 1.20312, 1.14898, 1.15584, 1.20743, 1.07946, 1.27875, 1.35345, 1.22466, 1.06412, 1.09344, 1.65329, 1.82443, 1.68234, 2.15422, 2.39332, 2.28894, 2.1023, 1.72422, 1.53453, 1.36539, 1.28022
0.04, 0.0639375, 0.335119, 0.371351, 0.597523, 0.623382, 1.90242, 1.27386, 1.09007, 0.531912, 0.633535, 0.763758, 0.774537, 0.759534, 0.998858, 1.06962, 1.08928, 1.19948, 1.20625, 1.18427, 1.00517, 1.2773, 1.1851, 1.17097, 1.24075, 1.0054, 1.14181, 1.2304, 1.18441, 1.31068, 1.41698, 1.2834, 1.13953, 1.18185, 1.30092, 1.24146, 1.33826, 1.29023, 1.12948, 1.05189, 1.07936, 1.5737, 1.63068, 1.59058, 2.1207, 2.44178, 2.2847, 2.14696, 1.73121, 1.5375, 1.34206, 1.28028
0.05, 0.0639375, 0.216958, 0.307526, 0.556903, 0.591852, 1.97846, 1.33678, 1.07431, 0.503029, 0.589553, 0.703273, 0.848297, 0.987359, 0.978193, 1.20173, 1.03827, 1.15587, 1.25587, 1.10357, 1.12744, 1.39385, 1.27962, 1.06133, 1.0511, 1.046, 1.15312, 1.23472, 1.22896, 1.35675, 1.38075, 1.38087, 1.10729, 1.19289, 1.39636, 1.35915, 1.30454, 1.21656, 1.10406, 1.08914, 1.05459, 1.50283, 1.64096, 1.54022, 2.03824, 2.50789, 2.30795, 2.15194, 1.73865, 1.50975, 1.33688, 1.27347
0.06, 0.0639375, 0.190641, 0.3631, 0.534892, 0.572752, 2.02469, 1.31681, 1.00765, 0.602352, 0.628116, 0.659171, 0.824472, 1.11362, 0.895693, 1.15263, 1.1274, 1.27322, 1.21742, 0.980388, 1.21245, 1.35079, 1.31239, 0.995245, 0.743375, 0.897021, 1.08846, 1.23551, 1.38825, 1.42228, 1.42618, 1.39044, 1.16328, 1.13343, 1.45447, 1.40495, 1.26359, 1.1993, 1.21492, 1.19299, 1.14836, 1.52144, 1.69349, 1.50978, 1.98169, 2.55966, 2.47933, 2.12032, 1.68181, 1.47342, 1.37144, 1.29443
0.07, 0.0639375, 0.216863, 0.435752, 0.45375, 0.542616, 1.96603, 1.17106, 1.11241, 0.679888, 0.808044, 0.667771, 0.58832, 0.989121, 0.823226, 0.954162, 1.25342, 1.43653, 1.27967, 1.03225, 1.18005, 1.19022, 1.24932, 1.01381, 0.671113, 0.798034, 0.98723, 1.23072, 1.41233, 1.39646, 1.49654, 1.28338, 1.124, 1.08093, 1.42016, 1.34907, 1.27542, 1.22524, 1.24614, 1.18045, 1.17743, 1.57699, 1.71194, 1.60271, 1.97883, 2.51603, 2.67211, 2.12211, 1.72713, 1.47444, 1.39915, 1.33006
0.08, 0.0639375, 0.282788, 0.497758, 0.459537, 0.526796, 1.92813, 1.12455, 1.18401, 0.703592, 0.819337, 0.641264, 0.422621, 0.843685, 0.851944, 0.898404, 1.2962, 1.45566, 1.39065, 1.12824, 1.14076, 1.16514, 1.2043, 0.9874, 0.753189, 0.981294, 0.976005, 1.19583, 1.3607, 1.25778, 1.40918, 1.16978, 1.06113, 1.05425, 1.23759, 1.23666, 1.23679, 1.26783, 1.21024, 1.17621, 1.12394, 1.56366, 1.62703, 1.70422, 1.97521, 2.40211, 2.65642, 2.11677, 1.76475, 1.50377, 1.35752, 1.27909
0.09, 0.0639375, 0.347346, 0.576371, 0.679926, 0.665552, 1.98985, 1.30324, 1.16392, 0.632946, 0.640453, 0.583843, 0.553079, 0.920804, 0.945569, 1.0527, 1.17506, 1.30038, 1.4282, 1.28032, 1.13739, 1.34008, 1.44915, 1.02964, 0.852603, 1.10678, 1.06351, 1.15454, 1.32361, 1.20715, 1.29969, 1.30348, 1.13682, 1.02576, 1.26403, 1.27857, 1.26659, 1.35966, 1.19702, 1.12182, 1.14643, 1.46665, 1.67359, 1.72176, 1.98292, 2.28031, 2.44583, 2.03051, 1.77847, 1.52285, 1.35696, 1.25422
0.1, 0.0639375, 0.375502, 0.719244, 0.727609, 0.793679, 1.97369, 1.28192, 1.18515, 0.660276, 0.520079, 0.515672, 0.672491, 0.919459, 0.982156, 1.32035, 1.04866, 1.04137, 1.39352, 1.53703, 1.29472, 1.43699, 1.49151, 1.15662, 0.952954, 1.15457, 1.04678, 1.09285, 1.33383, 1.22378, 1.29421, 1.49993, 1.18664, 1.03901, 1.36156, 1.32727, 1.39756, 1.55887, 1.24635, 1.03271, 1.13426, 1.3472, 1.78243, 1.80918, 2.1199, 2.18666, 2.30026, 1.94642, 1.77302, 1.46864, 1.34286, 1.25899
0.11, 0.0639375, 0.36193, 0.748022, 0.561092, 0.812422, 1.91613, 1.15267, 1.20348, 0.704114, 0.630498, 0.568994, 0.659533, 0.795802, 0.987055, 1.441, 1.07659, 0.874623, 1.23455, 1.64541, 1.36518, 1.39821, 1.29574, 1.17311, 1.04248, 1.17289, 0.986844, 1.05856, 1.29826, 1.24854, 1.28165, 1.52614, 1.22148, 1.14239, 1.4067, 1.32732, 1.53916, 1.60117, 1.24516, 1.10446, 1.10114, 1.2803, 1.7923, 1.90973, 2.20131, 2.13461, 2.24968, 1.83369, 1.71472, 1.46555, 1.38315, 1.26618
0.12, 0.0639375, 0.301322, 0.661842, 0.460701, 0.806367, 1.94102, 1.17947, 1.0659, 0.627019, 0.685033, 0.575813, 0.688197, 0.762921, 0.905028, 1.30338, 1.08319, 0.951868, 1.15281, 1.47768, 1.20326, 1.22452, 1.04586, 1.14554, 1.07436, 1.25708, 1.05178, 1.10238, 1.42574, 1.32081, 1.3809, 1.52963, 1.24714, 1.19181, 1.37083, 1.4565, 1.61263, 1.51008, 1.25726, 1.17358, 1.20784, 1.35172, 1.72456, 1.87102, 2.15723, 2.07798, 2.20472, 1.89081, 1.7156, 1.53764, 1.48816, 1.2533
0.13, 0.0639375, 0.255682, 0.641108, 0.523864, 0.772154, 2.00111, 1.26252, 0.932409, 0.662821, 0.643992, 0.515659, 0.914109, 0.673286, 0.778659, 1.01782, 1.02015, 1.01939, 1.33504, 1.20458, 0.993229, 1.20169, 0.84261, 1.0973, 0.968347, 1.21314, 1.11792, 1.1958, 1.6253, 1.34134, 1.47277, 1.48179, 1.26699, 1.21228, 1.25274, 1.55189, 1.62617, 1.43788, 1.24518, 1.13415, 1.22364, 1.4143, 1.70184, 1.71353, 2.01148, 2.1033, 2.16083, 2.0453, 1.76869, 1.53611, 1.49977, 1.24405
0.14, 0.0639375, 0.235241, 0.590198, 0.450662, 0.758824, 2.06686, 1.29821, 0.913709, 0.754082, 0.577075, 0.610627, 1.00972, 0.621183, 0.700822, 0.940088, 1.05971, 1.0513, 1.36117, 1.10975, 1.18578, 1.38137, 0.890271, 1.10204, 0.924445, 1.12693, 1.22658, 1.23563, 1.63962, 1.34005, 1.41494, 1.30377, 1.33731, 1.30178, 1.21483, 1.51408, 1.51799, 1.32454, 1.25069, 1.07849, 1.21782, 1.44682, 1.77366, 1.66036, 1.88155, 2.16181, 2.18241, 2.17708, 1.78169, 1.4062, 1.41081, 1.23537
0.15, 0.0639375, 0.294481, 0.551496, 0.424631, 0.730597, 2.05158, 1.26629, 0.88532, 0.769017, 0.670106, 0.786735, 0.894495, 0.583269, 0.618272, 0.91865, 0.984139, 0.986598, 1.1889, 1.17478, 1.4204, 1.4833, 0.912447, 1.09287, 0.969623, 1.08885, 1.24192, 1.14847, 1.46478, 1.34864, 1.38229, 1.15256, 1.37744, 1.37099, 1.1821, 1.4205, 1.39151, 1.29686, 1.22755, 1.08194, 1.26997, 1.51904, 1.84916, 1.75524, 1.84561, 2.18069, 2.20187, 2.24951, 1.70239, 1.35331, 1.40058, 1.19198
0.16, 0.0639375, 0.342537, 0.467196, 0.404234, 0.571942, 1.98186, 1.16608, 0.879162, 0.70477, 0.83221, 0.837886, 0.613755, 0.607387, 0.830672, 1.03716, 0.916277, 0.840394, 1.07841, 1.29237, 1.46715, 1.38764, 0.913139, 1.0689, 0.980761, 1.01096, 1.22003, 1.21698, 1.25118, 1.33415, 1.35098, 1.09472, 1.31016, 1.36779, 1.18105, 1.42003, 1.46771, 1.43316, 1.2233, 1.101, 1.30212, 1.59665, 1.83352, 1.76979, 1.90605, 2.27669, 2.32932, 2.19477, 1.65356, 1.31445, 1.49134, 1.19936
0.17, 0.0639375, 0.337083, 0.447748, 0.44461, 0.575212, 2.01236, 1.09687, 0.851013, 0.621574, 0.979224, 0.790576, 0.540602, 0.709079, 1.05434, 1.12001, 0.999113, 1.0249, 1.16398, 1.33154, 1.36214, 1.20566, 0.888701, 0.982165, 0.875428, 1.07038, 1.23982, 1.25438, 1.24896, 1.19873, 1.21246, 1.15287, 1.33268, 1.41989, 1.26553, 1.38132, 1.49229, 1.53359, 1.19458, 1.11464, 1.25228, 1.51679, 1.7137, 1.79367, 1.95741, 2.4779, 2.50838, 2.12539, 1.69596, 1.37394, 1.5935, 1.33435
0.18, 0.0639375, 0.316198, 0.431131, 0.53831, 0.667902, 2.02878, 1.02445, 0.795177, 0.515909, 1.08465, 0.81013, 0.587203, 0.852876, 1.14207, 1.05712, 0.994782, 1.09605, 1.17356, 1.27416, 1.24194, 1.30045, 0.905365, 0.887958, 0.679257, 1.03368, 1.17992, 1.164, 1.15108, 1.04812, 1.29, 1.36096, 1.34579, 1.36471, 1.36799, 1.236, 1.41846, 1.50867, 1.18149, 1.14482, 1.19235, 1.3618, 1.61382, 1.87304, 1.94824, 2.52983, 2.5267, 2.08541, 1.68606, 1.55018, 1.65267, 1.41884
0.19, 0.0639375, 0.253244, 0.390782, 0.504636, 0.687628, 2.02373, 1.06767, 0.901444, 0.536421, 1.05718, 0.853652, 0.650182, 0.826267, 1.15775, 1.15521, 0.919869, 0.961647, 1.21357, 1.16387, 1.22971, 1.52124, 1.10933, 0.787362, 0.601155, 0.826136, 1.00169, 1.19575, 1.11508, 1.12167, 1.36198, 1.44185, 1.35037, 1.31408, 1.41243, 1.13801, 1.31625, 1.46474, 1.21438, 1.08669, 1.14633, 1.34848, 1.63411, 1.96681, 2.02793, 2.46865, 2.37867, 2.07012, 1.68986, 1.60978, 1.5877, 1.37994
0.2, 0.0639375, 0.244116, 0.37992, 0.48804, 0.649104, 2.00652, 1.19477, 1.1148, 0.56014, 0.923206, 0.894984, 0.680894, 0.717732, 1.11964, 1.23707, 0.95207, 0.86581, 1.33096, 1.01786, 1.19506, 1.68041, 1.22616, 0.787766, 0.793942, 0.797733, 1.01968, 1.25836, 1.16135, 1.29084, 1.37351, 1.31838, 1.32257, 1.23405, 1.31432, 1.12652, 1.2184, 1.36227, 1.15478, 1.01078, 1.13906, 1.46826, 1.62255, 1.89779, 2.16478, 2.45492, 2.25989, 2.03676, 1.73099, 1.55169, 1.43531, 1.24104
0.21, 0.0639375, 0.285142, 0.267009, 0.593333, 0.67379, 2.02557, 1.37556, 1.18535, 0.66754, 0.958421, 0.867233, 0.691304, 0.680712, 1.07746, 1.15613, 1.0619, 1.20363, 1.3032, 0.955158, 1.15049, 1.6952, 1.18683, 0.931971, 1.04515, 0.940362, 1.1264, 1.3517, 1.25993, 1.31076, 1.42363, 1.38516, 1.3125, 1.16744, 1.16233, 1.1526, 1.24646, 1.19869, 0.987837, 0.983326, 1.09898, 1.58427, 1.66251, 1.7479, 2.28092, 2.52133, 2.25204, 1.96541, 1.69426, 1.43191, 1.43883, 1.28074
0.22, 0.0639375, 0.348918, 0.246157, 0.553142, 0.860027, 2.05656, 1.41494, 1.14482, 0.861704, 1.15927, 0.965194, 0.719686, 0.828692, 1.1431, 1.18545, 1.14091, 1.37623, 1.12166, 0.89396, 1.24022, 1.49155, 1.10245, 1.12519, 1.15503, 1.00884, 1.19099, 1.51493, 1.33516, 1.2635, 1.50041, 1.58739, 1.38026, 1.13703, 1.21064, 1.34974, 1.33943, 1.09583, 0.957695, 1.06463, 1.11404, 1.64258, 1.71329, 1.63937, 2.2147, 2.45659, 2.2928, 1.88799, 1.62088, 1.40711, 1.50019, 1.40661
0.23, 0.0639375, 0.366986, 0.270631, 0.467291, 0.904221, 2.01943, 1.255, 1.15801, 0.97933, 1.2723, 1.03761, 0.641305, 0.953475, 1.04752, 1.28655, 1.2101, 1.30687, 1.00209, 0.998071, 1.21347, 1.37141, 1.09229, 1.25263, 1.1049, 0.928459, 1.15442, 1.55617, 1.31407, 1.27782, 1.60075, 1.57105, 1.40313, 1.17095, 1.28137, 1.42238, 1.36272, 1.10151, 1.08648, 1.19043, 1.13379, 1.64143, 1.76205, 1.61677, 2.11084, 2.24708, 2.39599, 2.00113, 1.76507, 1.44611, 1.56925, 1.43078
0.24, 0.0639375, 0.310562, 0.285794, 0.566634, 0.8693, 1.98391, 1.19332, 0.985976, 0.863776, 1.13538, 0.936691, 0.592982, 0.936159, 0.889701, 1.22317, 1.08033, 1.23188, 1.06657, 0.996414, 1.12003, 1.44113, 1.10482, 1.13793, 1.06568, 0.916764, 1.20134, 1.41924, 1.1901, 1.35668, 1.55618, 1.39963, 1.44302, 1.18529, 1.22174, 1.30902, 1.41704, 1.19772, 1.15423, 1.26775, 1.12, 1.61764, 1.75066, 1.62198, 2.0376, 2.24982, 2.4803, 2.0819, 1.9007, 1.36749, 1.47115, 1.35247
