# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0.1, 0.0319375, 0.00574888, 0.00371896, 0.00303974, 0.00250074, 0.000799932, 0.000701539, 0.00141223, 0.00205068, 0.00126496, 0.001827, 0.00173954, 0.00162291, 0.00144223, 0.00195419, 0.00243153, 0.00225302, 0.00174787, 0.00204128, 0.00205996, 0.00150555, 0.00151805, 0.0027062, 0.00176655, 0.00152924, 0.00161398, 0.00193528, 0.00220164, 0.00234781, 0.00223458, 0.0020389, 0.00234103, 0.00262928, 0.00250942, 0.00247101, 0.00338315, 0.00273557, 0.00375245, 0.00331579, 0.0034536, 0.00361373
0.11, 0.0319375, 0.00634915, 0.00477151, 0.00209267, 0.00255734, 0.00465737, 0.00320576, 0.00322085, 0.00301978, 0.00215227, 0.00431428, 0.00389472, 0.00347237, 0.00226539, 0.00341487, 0.00214049, 0.00389223, 0.00310368, 0.0033607, 0.00362026, 0.00370566, 0.00284897, 0.00361991, 0.00257625, 0.00281307, 0.00210778, 0.00375459, 0.00258243, 0.00379485, 0.00473758, 0.0041995, 0.0063944, 0.00551192, 0.00590438, 0.00659942, 0.0111033, 0.0083332, 0.0107277, 0.0127333, 0.0129881, 0.0154768
0.12, 0.0319375, 0.00337757, 0.00656531, 0.00714687, 0.00275708, 0.00420614, 0.00235066, 0.00301062, 0.00305745, 0.00249682, 0.00310392, 0.00388439, 0.00445481, 0.00385933, 0.00458452, 0.00318306, 0.00300017, 0.00249004, 0.00300539, 0.00377478, 0.00389448, 0.00394614, 0.00419178, 0.00378262, 0.00357619, 0.00496227, 0.00508503, 0.00458392, 0.00556266, 0.00725634, 0.00581087, 0.00902821, 0.0061942, 0.00773766, 0.00968531, 0.0152202, 0.0148818, 0.0176045, 0.0210083, 0.0133603, 0.021527
0.13, 0.0319375, 0.0033582, 0.00309667, 0.00565785, 0.00257494, 0.00208042, 0.00208447, 0.00249444, 0.00280297, 0.00285825, 0.00194337, 0.00222435, 0.00283804, 0.00242951, 0.00434882, 0.0047415, 0.00234424, 0.00391526, 0.00401619, 0.00399577, 0.00523198, 0.00568357, 0.0045857, 0.00407995, 0.00599361, 0.00568085, 0.00475704, 0.00564896, 0.00714284, 0.00717089, 0.00584903, 0.00716296, 0.00638339, 0.00620155, 0.00953607, 0.0210039, 0.021447, 0.0160728, 0.0233956, 0.0197506, 0.0251093
0.14, 0.0319375, 0.00380293, 0.00184342, 0.00179916, 0.000579189, 0.0011353, 0.000884499, 0.0011116, 0.00290995, 0.00188899, 0.000722981, 0.00197811, 0.0020326, 0.00123818, 0.00222614, 0.00318984, 0.00260776, 0.00323107, 0.00291197, 0.00274294, 0.00403139, 0.00292089, 0.00311556, 0.00508634, 0.00390161, 0.0047409, 0.00396704, 0.00335678, 0.00454334, 0.00641489, 0.00585484, 0.00776795, 0.00814864, 0.00550149, 0.00718924, 0.0147743, 0.0176192, 0.0175508, 0.016169, 0.0159623, 0.0196225
0.15, 0.0319375, 0.0047097, 0.00233675, 0.00179987, 0.00124901, 0.00123853, 0.00139342, 0.00179987, 0.00221008, 0.00285825, 0.0020602, 0.0016122, 0.00123008, 0.00147163, 0.00211456, 0.00273782, 0.0020571, 0.00235816, 0.00252191, 0.00269823, 0.002972, 0.0029947, 0.00287881, 0.00335452, 0.00276968, 0.00339468, 0.00284232, 0.00306173, 0.00386515, 0.00508681, 0.00455592, 0.00387727, 0.0044211, 0.00341915, 0.00453752, 0.00763581, 0.00814888, 0.00909614, 0.00849893, 0.00998903, 0.0109088
0.16, 0.0319375, 0.00633944, 0.0056249, 0.00392975, 0.00235673, 0.00165671, 0.00134473, 0.00230357, 0.00248017, 0.00364188, 0.00368701, 0.00215786, 0.00212063, 0.00288547, 0.00299672, 0.00398354, 0.00344053, 0.00201237, 0.00283721, 0.00250609, 0.00341654, 0.00488552, 0.00445089, 0.00266578, 0.00279928, 0.00233104, 0.00307421, 0.0032161, 0.00344148, 0.00415818, 0.00378262, 0.00404267, 0.00525059, 0.003095, 0.00499892, 0.00702057, 0.00646109, 0.00655062, 0.00543367, 0.00589904, 0.00495504
0.17, 0.0319375, 0.0102651, 0.0120064, 0.00906471, 0.00310439, 0.00179416, 0.000933331, 0.00237992, 0.003944, 0.00179761, 0.00383618, 0.00255877, 0.00257554, 0.00350468, 0.00344434, 0.002371, 0.00296487, 0.00253475, 0.00355659, 0.00226598, 0.00372229, 0.00353795, 0.00493606, 0.00303119, 0.00335464, 0.00385827, 0.00365625, 0.0039161, 0.00561624, 0.00424603, 0.0053336, 0.00386052, 0.00376481, 0.00338493, 0.00429885, 0.00805132, 0.0072193, 0.00694812, 0.00610392, 0.00805026, 0.00716568
0.18, 0.0319375, 0.00469463, 0.00825671, 0.0047326, 0.00146913, 0.00200309, 0.00113387, 0.00152079, 0.00507744, 0.00418834, 0.00408873, 0.00366967, 0.00352322, 0.00165314, 0.00214216, 0.00368998, 0.00230535, 0.00187971, 0.00235019, 0.00165814, 0.00312578, 0.00302667, 0.00478848, 0.00354959, 0.00383214, 0.00433256, 0.00366409, 0.00504044, 0.00570621, 0.00438063, 0.00452708, 0.0043093, 0.00378903, 0.00367098, 0.00363297, 0.0052934, 0.00534712, 0.00512477, 0.00434692, 0.00579368, 0.0056959
0.19, 0.0319375, 0.00292231, 0.00758245, 0.00185365, 0.0012608, 0.000973347, 0.00325828, 0.0029008, 0.00450536, 0.00536763, 0.00387833, 0.00395766, 0.00359342, 0.00211468, 0.00346097, 0.0034106, 0.00109612, 0.0010679, 0.0012321, 0.0015853, 0.00320516, 0.00238289, 0.00322097, 0.00378048, 0.00404148, 0.00441742, 0.002984, 0.00477863, 0.00763617, 0.00691319, 0.00501624, 0.00388487, 0.00318021, 0.00385316, 0.00449492, 0.00735871, 0.00656874, 0.00558744, 0.00569128, 0.00571783, 0.00547884
