# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0.1, 0.0319375, 0.00565856, 0.00776511, 0.00863544, 0.010623, 0.0166159, 0.00816366, 0.0112076, 0.0108242, 0.0108067, 0.0140999, 0.00982603, 0.0188128, 0.0176992, 0.01122, 0.0116246, 0.010181, 0.010503, 0.0150877, 0.0263938, 0.0173376, 0.0156331, 0.0216345, 0.0134442, 0.0197915, 0.014521, 0.0136564, 0.0245377, 0.0177933, 0.0251805, 0.0285596, 0.0170487, 0.0193607, 0.0146262, 0.0179821, 0.0266775, 0.0237176, 0.0223089, 0.0245239, 0.0314553, 0.0323076
0.11, 0.0319375, 0.0196213, 0.00644948, 0.00284434, 0.0125369, 0.0167607, 0.0105324, 0.0117444, 0.0127655, 0.00630912, 0.011017, 0.00785346, 0.015568, 0.00984574, 0.0113406, 0.0130257, 0.014343, 0.0117662, 0.0166736, 0.0183307, 0.0189934, 0.0207451, 0.0358508, 0.0202605, 0.0372947, 0.0215628, 0.0153786, 0.0247183, 0.0171641, 0.023182, 0.0354991, 0.0228012, 0.0178636, 0.0173057, 0.0220272, 0.0262725, 0.0249534, 0.0262603, 0.0356939, 0.0377098, 0.0435556
0.12, 0.0319375, 0.0234315, 0.010156, 0.00578136, 0.0110859, 0.00743172, 0.0100975, 0.0117253, 0.0207486, 0.0097493, 0.0117068, 0.00978743, 0.00878032, 0.00653404, 0.00758873, 0.0110729, 0.0116176, 0.0142499, 0.0145042, 0.0299082, 0.0444003, 0.0252992, 0.0278866, 0.0226331, 0.0310308, 0.0269026, 0.0220111, 0.022148, 0.0211293, 0.0155511, 0.0189146, 0.0175945, 0.0202495, 0.0186398, 0.0241398, 0.031582, 0.0273496, 0.019358, 0.0236481, 0.0269487, 0.0279456
0.13, 0.0319375, 0.0106036, 0.0156028, 0.0115916, 0.0105993, 0.00703631, 0.0105366, 0.0146393, 0.0186084, 0.0101842, 0.0107613, 0.0121043, 0.00835566, 0.00579629, 0.00732475, 0.012547, 0.0150893, 0.0255395, 0.0157051, 0.0273821, 0.0416321, 0.0365392, 0.0259114, 0.0260423, 0.0258431, 0.0263212, 0.0248698, 0.0197262, 0.0236252, 0.0190124, 0.0261613, 0.0226396, 0.0225787, 0.014289, 0.0162522, 0.0283933, 0.0271787, 0.0140108, 0.020365, 0.0215073, 0.0211356
0.14, 0.0319375, 0.0139475, 0.0182277, 0.015264, 0.00722652, 0.00775079, 0.00741468, 0.0111502, 0.0110646, 0.00816732, 0.0109808, 0.0132046, 0.0157319, 0.00944408, 0.0106956, 0.0194432, 0.0235202, 0.031433, 0.030638, 0.0209946, 0.0310754, 0.0307231, 0.0194753, 0.0357815, 0.026212, 0.0230933, 0.0156173, 0.0206609, 0.0194247, 0.0191653, 0.0260142, 0.0276667, 0.0234948, 0.0153409, 0.0226787, 0.028534, 0.0255419, 0.0195272, 0.0280833, 0.0227546, 0.0220325
0.15, 0.0319375, 0.0202749, 0.0279544, 0.0166932, 0.00410987, 0.0041773, 0.00740143, 0.00797954, 0.0140151, 0.00626446, 0.00952332, 0.00785914, 0.012235, 0.00919878, 0.00971943, 0.0190851, 0.0181223, 0.0259626, 0.0235536, 0.0200736, 0.0243308, 0.0223451, 0.0267586, 0.0274017, 0.0226197, 0.0258286, 0.022426, 0.0196302, 0.0123152, 0.0248675, 0.0252222, 0.0144089, 0.0156115, 0.0218324, 0.0221222, 0.0302121, 0.0327751, 0.0273158, 0.0288685, 0.0314442, 0.0219639
0.16, 0.0319375, 0.0230847, 0.0359759, 0.0140967, 0.00917504, 0.0033885, 0.010617, 0.0121454, 0.00753478, 0.00434407, 0.0119969, 0.0244432, 0.0182475, 0.00628211, 0.0113004, 0.0220595, 0.0221761, 0.020149, 0.0177527, 0.0155677, 0.030409, 0.036366, 0.0296429, 0.0171223, 0.0234739, 0.0171845, 0.0216528, 0.0238286, 0.0232309, 0.0235673, 0.0205177, 0.0215258, 0.0205924, 0.016334, 0.0231306, 0.0437425, 0.0413696, 0.0353093, 0.0317004, 0.0326528, 0.0283605
0.17, 0.0319375, 0.0505421, 0.0210591, 0.0150338, 0.0203132, 0.00977208, 0.0108454, 0.0145367, 0.0130111, 0.00344861, 0.0133921, 0.0226534, 0.0157854, 0.00608402, 0.0113643, 0.0153445, 0.0231976, 0.0216829, 0.0250712, 0.0168221, 0.0230096, 0.0225379, 0.0197595, 0.0221438, 0.0237991, 0.0191593, 0.0178386, 0.0248894, 0.0220656, 0.0165842, 0.0198748, 0.0274478, 0.0179767, 0.0144136, 0.0226924, 0.0406203, 0.0350409, 0.034036, 0.0387068, 0.0280101, 0.0241952
0.18, 0.0319375, 0.0298832, 0.022329, 0.0172828, 0.0123175, 0.0064766, 0.00281355, 0.0163597, 0.0155035, 0.00750165, 0.00711361, 0.0103025, 0.0103329, 0.00642046, 0.0120755, 0.0147648, 0.0130208, 0.0204433, 0.0275724, 0.0134645, 0.0189403, 0.0165634, 0.0148527, 0.0156666, 0.0159114, 0.015923, 0.00829135, 0.0151134, 0.0163811, 0.013999, 0.0199747, 0.0156004, 0.0134793, 0.0199243, 0.0247723, 0.0316063, 0.0333393, 0.0305319, 0.0267675, 0.0261347, 0.0300109
0.19, 0.0319375, 0.0200507, 0.0138628, 0.0104964, 0.00864277, 0.00703619, 0.00278763, 0.0115183, 0.0140899, 0.00569886, 0.00882605, 0.0148247, 0.0118196, 0.00754448, 0.0158695, 0.0179597, 0.0155523, 0.0216923, 0.021979, 0.0123987, 0.0194356, 0.0246344, 0.0227153, 0.0166216, 0.0143052, 0.0187659, 0.0151999, 0.0208686, 0.0145343, 0.0143326, 0.0188918, 0.0187176, 0.0149358, 0.0179128, 0.0268757, 0.0417, 0.0397145, 0.0315196, 0.0212302, 0.0243062, 0.0266824
