# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.0750806, 0.0672884, 0.0602045, 0.0549858, 0.0267812, 0.0255683, 0.0487031, 0.0489141, 0.0383004, 0.0212279, 0.02745, 0.0371002, 0.0273937, 0.0285312, 0.0336014, 0.0410045, 0.0294675, 0.0169409, 0.0211941, 0.0420772, 0.0266199, 0.0220412, 0.032743, 0.0235993, 0.037549, 0.0371244, 0.039226, 0.0258839, 0.0297731, 0.0307117, 0.0313824, 0.0233867, 0.0287145, 0.0321728, 0.0354587, 0.0425225, 0.0473522, 0.0430278, 0.0426035, 0.0449955
0.01, 0.0319375, 0.0355532, 0.022691, 0.0229237, 0.018409, 0.0140088, 0.0115662, 0.0146922, 0.020031, 0.0156151, 0.0105614, 0.0117885, 0.0140252, 0.0149856, 0.0159949, 0.0135415, 0.0129622, 0.0163948, 0.0180981, 0.0205226, 0.0157146, 0.0149, 0.0138458, 0.0151481, 0.0125934, 0.0157337, 0.0144346, 0.0153436, 0.0121215, 0.0138802, 0.0132371, 0.0146593, 0.0154252, 0.021137, 0.019888, 0.02065, 0.0238112, 0.0374137, 0.0238869, 0.0314047, 0.0347776
0.02, 0.0319375, 0.041228, 0.0158483, 0.0139161, 0.0195142, 0.0383376, 0.01269, 0.00835483, 0.00987384, 0.00589158, 0.0105576, 0.00786198, 0.0124889, 0.0159694, 0.0156804, 0.00749419, 0.0109927, 0.0137863, 0.0229778, 0.0192143, 0.0114274, 0.0138695, 0.013771, 0.0156068, 0.0130243, 0.0134217, 0.0158141, 0.013926, 0.0133121, 0.0146162, 0.0149385, 0.0115906, 0.0128532, 0.0209278, 0.0241123, 0.0197021, 0.0203597, 0.0328042, 0.0200306, 0.0301341, 0.0327789
0.03, 0.0319375, 0.0988852, 0.0605242, 0.0157665, 0.0310235, 0.0515782, 0.0247546, 0.021472, 0.0111155, 0.00763782, 0.00999777, 0.00753383, 0.00747727, 0.0101199, 0.00998573, 0.0140612, 0.0179577, 0.0105169, 0.0243885, 0.0216081, 0.00911137, 0.0125663, 0.0124712, 0.0210113, 0.011476, 0.0179741, 0.0175289, 0.0202838, 0.0102277, 0.0103028, 0.0149107, 0.0276981, 0.0236992, 0.025586, 0.0281729, 0.0278788, 0.0305704, 0.0398743, 0.0292815, 0.0404348, 0.027175
0.04, 0.0319375, 0.0514933, 0.0686423, 0.0274766, 0.0538985, 0.0773062, 0.0395027, 0.0266803, 0.019703, 0.00920103, 0.00660842, 0.0100503, 0.0133451, 0.0100346, 0.0113788, 0.0228928, 0.0228607, 0.0118071, 0.0221571, 0.0219849, 0.0107412, 0.009748, 0.0209614, 0.0260639, 0.0245435, 0.0157591, 0.0172114, 0.0246965, 0.020441, 0.0144747, 0.0173194, 0.0242606, 0.0275789, 0.029542, 0.0336286, 0.0274226, 0.0419336, 0.0380235, 0.0366719, 0.0626849, 0.0493821
0.05, 0.0319375, 0.0204028, 0.0378051, 0.0218685, 0.0301312, 0.0445005, 0.0111628, 0.0114853, 0.01934, 0.00881967, 0.00792088, 0.00927662, 0.0133243, 0.0119864, 0.0110615, 0.0167945, 0.0122966, 0.00873176, 0.0106697, 0.0131662, 0.00762599, 0.0126457, 0.0165088, 0.0270202, 0.0286487, 0.0137268, 0.0103855, 0.0155509, 0.0141465, 0.0108649, 0.0127878, 0.0124645, 0.0184651, 0.0249811, 0.0262708, 0.0181418, 0.0317716, 0.030073, 0.0263069, 0.037472, 0.0298618
0.06, 0.0319375, 0.00598128, 0.00652196, 0.00890805, 0.0075776, 0.00354495, 0.00345764, 0.00506487, 0.00526553, 0.00215465, 0.00372241, 0.00334383, 0.00417611, 0.0051441, 0.00282805, 0.00441588, 0.00495824, 0.00424247, 0.00237493, 0.00462878, 0.00404136, 0.00373832, 0.00467137, 0.00538565, 0.00567267, 0.00431547, 0.00384188, 0.00545679, 0.00411367, 0.00392227, 0.00388427, 0.0040606, 0.00495456, 0.0054166, 0.00653452, 0.00584002, 0.00829749, 0.00806054, 0.00902785, 0.0103193, 0.0138174
0.07, 0.0319375, 0.00554097, 0.00721587, 0.00415795, 0.00375768, 0.00285896, 0.0041418, 0.003804, 0.0036863, 0.00323748, 0.00209612, 0.00319447, 0.00403163, 0.0041348, 0.0030704, 0.00385173, 0.00468621, 0.00421469, 0.00232688, 0.00379794, 0.00537083, 0.00511943, 0.00717717, 0.00688431, 0.0041976, 0.00321586, 0.00420519, 0.00507211, 0.00496381, 0.0033443, 0.00291055, 0.00357703, 0.00421267, 0.00728972, 0.00663281, 0.00715125, 0.00730557, 0.00646038, 0.0136882, 0.0121621, 0.0177076
0.08, 0.0319375, 0.00315549, 0.00866924, 0.00231843, 0.00265936, 0.00184199, 0.00293729, 0.00338624, 0.00360791, 0.00154769, 0.00326719, 0.00208018, 0.00186615, 0.00300955, 0.0018314, 0.00195717, 0.0049153, 0.00473533, 0.00264022, 0.00233152, 0.00574876, 0.00236196, 0.00321004, 0.00339289, 0.00247244, 0.00241441, 0.00233009, 0.00202344, 0.00259575, 0.00294097, 0.00240585, 0.00281093, 0.002681, 0.00445683, 0.0048491, 0.00369889, 0.00476119, 0.00486512, 0.0101891, 0.0118851, 0.0175099
0.09, 0.0319375, 0.0058245, 0.0067221, 0.00334513, 0.00330747, 0.00358487, 0.00390303, 0.00573584, 0.00612039, 0.00327812, 0.00304283, 0.00303142, 0.00243974, 0.00212503, 0.00192326, 0.00316025, 0.00528605, 0.00670576, 0.00272867, 0.00309655, 0.00550659, 0.00473378, 0.00293634, 0.00262357, 0.00313791, 0.00263142, 0.00230785, 0.0025275, 0.00499311, 0.0041012, 0.00472073, 0.00367359, 0.00331971, 0.0046747, 0.00759251, 0.00699216, 0.00521514, 0.00794229, 0.00837339, 0.0153274, 0.0163342
