# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.14475, 0.141765, 0.0764874, 0.092645, 0.0516259, 0.0248056, 0.0349958, 0.0214559, 0.0270613, 0.0251409, 0.026277, 0.0392732, 0.0482399, 0.0464635, 0.0372301, 0.0307507, 0.0171702, 0.0195986, 0.0275084, 0.0284543, 0.0225975, 0.0208756, 0.0195206, 0.018598, 0.0238933, 0.0229683, 0.0231862, 0.0177061, 0.0184738, 0.0257328, 0.0186242, 0.0192406, 0.0247996, 0.017733, 0.0238446, 0.0214652, 0.0226013, 0.024812, 0.0201719, 0.0129219, 0.0154597, 0.0192207, 0.0166265, 0.0185509, 0.0160846, 0.0188931, 0.0187308, 0.0150062, 0.0157393, 0.0127875
0.01, 0.0639375, 0.143362, 0.151018, 0.0581756, 0.10408, 0.0642169, 0.0243764, 0.0208575, 0.0207324, 0.0226777, 0.0262334, 0.0265703, 0.0333174, 0.0475298, 0.047776, 0.0267574, 0.0350776, 0.0164728, 0.0140848, 0.0200862, 0.0315126, 0.0293471, 0.0190859, 0.0145048, 0.0211896, 0.0212324, 0.0171737, 0.0269714, 0.0173748, 0.0199608, 0.0255039, 0.019434, 0.0178452, 0.0206762, 0.0172985, 0.0207946, 0.0208053, 0.0269441, 0.0246363, 0.0191329, 0.013228, 0.0166807, 0.0208415, 0.0201153, 0.0202372, 0.0138836, 0.0172842, 0.0190683, 0.0148518, 0.0192999, 0.0147815
0.02, 0.0639375, 0.142474, 0.1378, 0.0531599, 0.107352, 0.0592088, 0.0280714, 0.0213763, 0.0228524, 0.0207814, 0.0231893, 0.0222669, 0.0267575, 0.0372267, 0.0359184, 0.0189649, 0.0364358, 0.0199281, 0.0157469, 0.0171745, 0.0294655, 0.0322403, 0.0164841, 0.0159696, 0.0224973, 0.0233675, 0.0186424, 0.0284784, 0.017876, 0.0186213, 0.0237962, 0.0169254, 0.0202606, 0.0206713, 0.0169744, 0.0190917, 0.0197705, 0.0293944, 0.0233524, 0.018449, 0.01429, 0.0175573, 0.0194906, 0.0197322, 0.0183932, 0.0122749, 0.0155082, 0.0170625, 0.0129883, 0.0188236, 0.0133963
0.03, 0.0639375, 0.117788, 0.134679, 0.043427, 0.0873739, 0.0430392, 0.0283332, 0.0246171, 0.0202881, 0.0187619, 0.0163326, 0.0183944, 0.0289412, 0.0302162, 0.0248407, 0.0175552, 0.0321687, 0.0230021, 0.017676, 0.0183601, 0.0239191, 0.0328937, 0.0168169, 0.0187145, 0.0192942, 0.0258131, 0.0212371, 0.0259119, 0.0213964, 0.0180702, 0.0174664, 0.0142249, 0.0205162, 0.0250937, 0.0175278, 0.0183416, 0.0205176, 0.0267809, 0.0249988, 0.0169492, 0.0148892, 0.0152045, 0.0170588, 0.0158367, 0.0149545, 0.0123765, 0.0139328, 0.012781, 0.0109534, 0.0151116, 0.0117181
0.04, 0.0639375, 0.0807818, 0.118906, 0.0247748, 0.0553859, 0.0312265, 0.0196628, 0.0208184, 0.0164894, 0.0225937, 0.016755, 0.0183491, 0.027762, 0.0264428, 0.0276651, 0.0220684, 0.0268132, 0.0212025, 0.0176836, 0.0215218, 0.0199842, 0.030463, 0.0215238, 0.0205865, 0.0202796, 0.0256932, 0.0213676, 0.0205866, 0.0220609, 0.0169792, 0.0130048, 0.013934, 0.017254, 0.0256341, 0.0176609, 0.0186895, 0.0215945, 0.0227428, 0.0243622, 0.0172066, 0.0137065, 0.0126123, 0.0140372, 0.011328, 0.0138765, 0.0130874, 0.0136612, 0.0114451, 0.011933, 0.0127791, 0.0116524
0.05, 0.0639375, 0.0829007, 0.117479, 0.0207206, 0.0388313, 0.0260437, 0.0106791, 0.013398, 0.0132217, 0.0205092, 0.0224713, 0.0183593, 0.0195873, 0.0237254, 0.038476, 0.0337492, 0.0284295, 0.0166366, 0.015978, 0.022298, 0.0214991, 0.0316825, 0.0246911, 0.0226252, 0.0258413, 0.0301548, 0.0213983, 0.0168311, 0.019026, 0.0164313, 0.0160392, 0.0205844, 0.0151927, 0.0224414, 0.0171623, 0.0175064, 0.0237949, 0.0236507, 0.0211229, 0.0214815, 0.0161427, 0.0151127, 0.0158594, 0.0108708, 0.0174074, 0.0137078, 0.0189741, 0.017106, 0.0146685, 0.0130333, 0.0131602
0.06, 0.0639375, 0.0858381, 0.107621, 0.0305081, 0.0398648, 0.0195528, 0.0107679, 0.0122048, 0.0169478, 0.0136636, 0.0211464, 0.01458, 0.0120072, 0.024025, 0.0455417, 0.0394743, 0.0309943, 0.0171098, 0.0179092, 0.0239936, 0.0244971, 0.0365189, 0.0240068, 0.0243925, 0.0284225, 0.0326892, 0.0219629, 0.0216972, 0.0168095, 0.0169201, 0.0202818, 0.0260443, 0.0160434, 0.0174801, 0.0181659, 0.0162672, 0.0250342, 0.0278355, 0.0188774, 0.0252538, 0.020786, 0.018726, 0.0191555, 0.01355, 0.0229753, 0.0203615, 0.0311443, 0.0263073, 0.0180519, 0.0151136, 0.014179
0.07, 0.0639375, 0.0905212, 0.0734437, 0.0340235, 0.0369176, 0.0216294, 0.0148886, 0.0199388, 0.0178874, 0.00902017, 0.0163489, 0.0107859, 0.0120725, 0.0233803, 0.0394434, 0.033234, 0.0271111, 0.0193039, 0.0198229, 0.025844, 0.0221761, 0.0316818, 0.0213738, 0.0239326, 0.0273315, 0.0262042, 0.0225296, 0.0253542, 0.0159037, 0.0178375, 0.020712, 0.0276236, 0.0182001, 0.0189501, 0.0281189, 0.0213221, 0.0240764, 0.0281351, 0.0194098, 0.0273513, 0.023944, 0.0210713, 0.0203315, 0.0176436, 0.0267065, 0.0296602, 0.0394022, 0.0306351, 0.019435, 0.0156568, 0.0127895
0.08, 0.0639375, 0.0958782, 0.055086, 0.0267545, 0.0308006, 0.0304538, 0.0190721, 0.0355059, 0.0223157, 0.00894645, 0.0154993, 0.0087665, 0.014609, 0.0223713, 0.029631, 0.0239468, 0.0190687, 0.0178198, 0.0181296, 0.0211709, 0.0184278, 0.0235388, 0.0186779, 0.0242844, 0.0267593, 0.0211003, 0.021413, 0.0225732, 0.0139801, 0.0185064, 0.0187864, 0.0258582, 0.0206197, 0.0264044, 0.0423496, 0.0313402, 0.028508, 0.0295349, 0.020985, 0.0267149, 0.023945, 0.0209758, 0.0211408, 0.0214339, 0.0275813, 0.0313507, 0.0394736, 0.0291976, 0.0201895, 0.0143106, 0.0107491
0.09, 0.0639375, 0.0968335, 0.0591196, 0.0222878, 0.0299134, 0.0427468, 0.0228615, 0.0479479, 0.0304999, 0.00864123, 0.0160718, 0.0117408, 0.0181356, 0.0207045, 0.0236208, 0.0193965, 0.0139074, 0.0167944, 0.0153629, 0.0176494, 0.0161921, 0.0236419, 0.0187591, 0.0209988, 0.0223307, 0.0199698, 0.0181632, 0.0151346, 0.0138879, 0.0169342, 0.0195365, 0.0250305, 0.0256133, 0.0342817, 0.0573903, 0.0428287, 0.0334541, 0.0384376, 0.022957, 0.026928, 0.0239845, 0.0196678, 0.0223478, 0.0263031, 0.0304652, 0.0257132, 0.0363241, 0.0279078, 0.0226015, 0.0150311, 0.0114867
0.1, 0.0639375, 0.0973651, 0.0650263, 0.0245995, 0.0311139, 0.0440595, 0.0204535, 0.0443303, 0.0324502, 0.00864891, 0.0170638, 0.0145911, 0.017069, 0.0176638, 0.0173062, 0.0216912, 0.0104221, 0.016208, 0.0148003, 0.0173515, 0.0164916, 0.023398, 0.0215727, 0.0150942, 0.0159904, 0.0202936, 0.0145996, 0.0136009, 0.0165119, 0.016609, 0.0209938, 0.0235762, 0.0335353, 0.0377506, 0.0593555, 0.0507661, 0.0341179, 0.0437943, 0.0242622, 0.0267421, 0.0273897, 0.0207338, 0.0224897, 0.028407, 0.0324156, 0.0251096, 0.0317719, 0.0287302, 0.0245278, 0.0162054, 0.0138949
0.11, 0.0639375, 0.0892762, 0.0585666, 0.0292928, 0.0273114, 0.0320754, 0.0150429, 0.0291687, 0.0286258, 0.0156204, 0.0192097, 0.0143594, 0.0127618, 0.0195119, 0.0165597, 0.028741, 0.013107, 0.0175605, 0.0181273, 0.0167347, 0.0160688, 0.0203689, 0.020707, 0.0155374, 0.0119235, 0.0253016, 0.0194718, 0.0203394, 0.0203776, 0.0183402, 0.0221854, 0.0254523, 0.0391065, 0.0412986, 0.0502884, 0.0486446, 0.0364985, 0.0417152, 0.0241612, 0.0264375, 0.0293946, 0.0246258, 0.0225299, 0.0271785, 0.0307623, 0.0262576, 0.0258912, 0.0329205, 0.0256689, 0.0162972, 0.0153118
0.12, 0.0639375, 0.0845016, 0.0618216, 0.0528508, 0.0371194, 0.0179581, 0.0128216, 0.0213731, 0.0316476, 0.0254592, 0.0201817, 0.0157322, 0.0103605, 0.0222447, 0.0181271, 0.0361029, 0.0200023, 0.0201223, 0.0213165, 0.0178116, 0.0163013, 0.0155801, 0.0145009, 0.0194425, 0.012336, 0.0258336, 0.0222815, 0.0266287, 0.0233575, 0.0187843, 0.0226746, 0.0258419, 0.0359297, 0.0417303, 0.041375, 0.0390761, 0.0397077, 0.0378526, 0.0262834, 0.0285245, 0.0268281, 0.0251239, 0.0224116, 0.0246718, 0.0272554, 0.0263119, 0.022089, 0.0354894, 0.0264199, 0.015106, 0.0149387
0.13, 0.0639375, 0.0971055, 0.0885405, 0.0708372, 0.0535229, 0.0184386, 0.0228954, 0.0287996, 0.0536085, 0.0349517, 0.022124, 0.0197522, 0.0202938, 0.0273551, 0.0205497, 0.0391389, 0.0264671, 0.0257291, 0.0277039, 0.0245692, 0.0207798, 0.0187843, 0.0140709, 0.0201425, 0.0130106, 0.0203342, 0.0189767, 0.0292812, 0.0254698, 0.0166304, 0.0209764, 0.0224654, 0.0277923, 0.0365256, 0.0351467, 0.0296021, 0.0369053, 0.0324783, 0.0295109, 0.0274356, 0.0232266, 0.0233867, 0.0244213, 0.0233928, 0.0241633, 0.0237194, 0.019496, 0.0309576, 0.0236353, 0.0138603, 0.0138407
0.14, 0.0639375, 0.107395, 0.106843, 0.0666925, 0.096323, 0.0414563, 0.0505694, 0.0456281, 0.0646732, 0.0366583, 0.02904, 0.0245514, 0.0272351, 0.0298205, 0.0195377, 0.0370601, 0.0325648, 0.030998, 0.0356165, 0.03536, 0.026589, 0.0296926, 0.0181435, 0.0208532, 0.0140942, 0.0201821, 0.0177544, 0.0280506, 0.0239597, 0.0141665, 0.0183921, 0.0199148, 0.0207782, 0.0325551, 0.0337941, 0.0238291, 0.0287254, 0.0296783, 0.028526, 0.0236145, 0.0199042, 0.0183499, 0.0242519, 0.0236813, 0.0265063, 0.0213479, 0.0182065, 0.0248718, 0.0213095, 0.0129645, 0.0130023
0.15, 0.0639375, 0.108832, 0.101539, 0.0533669, 0.156843, 0.0716437, 0.0840539, 0.056373, 0.0569008, 0.0313074, 0.0326794, 0.0263032, 0.0239729, 0.030821, 0.0188941, 0.0308248, 0.0356073, 0.0330357, 0.0369796, 0.0386472, 0.0290027, 0.0343896, 0.020775, 0.0216427, 0.0163069, 0.0256692, 0.0227384, 0.025107, 0.020621, 0.0122437, 0.0156538, 0.0153995, 0.0189982, 0.0301065, 0.0298097, 0.0212871, 0.0255205, 0.0275125, 0.0243891, 0.0231685, 0.0187807, 0.0158475, 0.0205918, 0.0218482, 0.0253728, 0.0182538, 0.0176879, 0.019644, 0.0191062, 0.0122573, 0.0109506
0.16, 0.0639375, 0.105941, 0.109252, 0.0561005, 0.184001, 0.0838949, 0.102875, 0.0603314, 0.0490543, 0.0240787, 0.0326826, 0.0239493, 0.0156758, 0.0275616, 0.0222081, 0.0243108, 0.0340853, 0.034349, 0.029385, 0.0296842, 0.0256132, 0.0323147, 0.0227933, 0.02068, 0.0186286, 0.0260352, 0.0230826, 0.0207087, 0.0168574, 0.011031, 0.0138535, 0.0133834, 0.019462, 0.0262066, 0.0266051, 0.0197934, 0.0268081, 0.0254425, 0.0200036, 0.0236167, 0.0187466, 0.0162312, 0.0160707, 0.0183934, 0.0216363, 0.0153205, 0.0169899, 0.0171912, 0.0167644, 0.0130316, 0.0101992
0.17, 0.0639375, 0.0841736, 0.107488, 0.0858569, 0.16181, 0.0698701, 0.0936137, 0.0476911, 0.0384995, 0.0181503, 0.0300441, 0.0197681, 0.0184477, 0.0233472, 0.0230657, 0.0193024, 0.0317022, 0.0307266, 0.0202863, 0.0215896, 0.0267752, 0.0308584, 0.0236504, 0.0157919, 0.0178768, 0.020158, 0.0179354, 0.0166882, 0.0130624, 0.0105918, 0.0140262, 0.0142953, 0.0167991, 0.0231575, 0.0220669, 0.018041, 0.0231139, 0.0245591, 0.0185966, 0.0232105, 0.018811, 0.0147282, 0.0128231, 0.0171505, 0.0207725, 0.0145501, 0.0162348, 0.0166901, 0.016015, 0.0149777, 0.0134044
0.18, 0.0639375, 0.0588841, 0.0793019, 0.093793, 0.104649, 0.0518251, 0.0710434, 0.027774, 0.0325293, 0.0201441, 0.0300326, 0.0254363, 0.0232005, 0.0223426, 0.0277442, 0.0286497, 0.0300231, 0.0280461, 0.0188804, 0.0250374, 0.0339546, 0.0288667, 0.0188628, 0.0123724, 0.0159712, 0.013162, 0.0145499, 0.0170436, 0.0122232, 0.0123197, 0.0161207, 0.015412, 0.0145516, 0.0209319, 0.0216486, 0.017808, 0.0192134, 0.0233406, 0.0170414, 0.0225774, 0.0194087, 0.0119668, 0.0109968, 0.0165272, 0.021506, 0.0150928, 0.0165787, 0.0183337, 0.0170949, 0.0196775, 0.0208399
0.19, 0.0639375, 0.048296, 0.0423301, 0.0750142, 0.0757019, 0.0400883, 0.0524855, 0.0232388, 0.0371717, 0.0181154, 0.0289243, 0.0389492, 0.0261286, 0.036764, 0.0484565, 0.0460753, 0.0316973, 0.0353623, 0.0341562, 0.0329827, 0.0429081, 0.0301497, 0.015339, 0.0142745, 0.0138864, 0.0133941, 0.020043, 0.0204113, 0.0149772, 0.0172449, 0.0201735, 0.0179499, 0.0164257, 0.0229926, 0.0219236, 0.0179587, 0.018447, 0.0230567, 0.0171457, 0.0211069, 0.0176052, 0.0114621, 0.010839, 0.0146445, 0.0210687, 0.0157093, 0.0181982, 0.0203398, 0.0198018, 0.0260173, 0.0275602
0.2, 0.0639375, 0.0413408, 0.0223915, 0.0487322, 0.0680343, 0.0417998, 0.0368238, 0.0258339, 0.0370772, 0.0139975, 0.0244753, 0.045797, 0.0283495, 0.0453099, 0.0557503, 0.0539705, 0.0347327, 0.0373263, 0.0422388, 0.0403493, 0.0499408, 0.0343102, 0.0199441, 0.0185447, 0.0115666, 0.0156469, 0.0243351, 0.0236507, 0.018462, 0.0204322, 0.0242146, 0.0203661, 0.0192513, 0.0265058, 0.0224768, 0.020598, 0.0212341, 0.0258354, 0.0201019, 0.0196537, 0.0147488, 0.0140081, 0.0136198, 0.0144386, 0.020225, 0.0185401, 0.0201096, 0.0232273, 0.0204469, 0.0265011, 0.0312866
0.21, 0.0639375, 0.0474873, 0.024159, 0.0446589, 0.0523371, 0.0325473, 0.0330935, 0.0250004, 0.0342967, 0.0171562, 0.0349467, 0.0464586, 0.0415203, 0.0456764, 0.0427985, 0.0511485, 0.0316239, 0.0372643, 0.0392465, 0.0460687, 0.0477258, 0.0341966, 0.0246123, 0.0235019, 0.0135053, 0.0184188, 0.0231054, 0.0244255, 0.0179829, 0.0190601, 0.0215966, 0.017913, 0.0176151, 0.0263864, 0.0204541, 0.0195458, 0.0230368, 0.0266603, 0.0229432, 0.0191163, 0.0146507, 0.0148184, 0.0158451, 0.0156054, 0.0189176, 0.0222011, 0.0215739, 0.0299697, 0.0211131, 0.0270663, 0.0370728
0.22, 0.0639375, 0.047393, 0.0315539, 0.0492581, 0.0447362, 0.0164084, 0.0295673, 0.0271477, 0.0271017, 0.0185449, 0.0429981, 0.0358451, 0.0418479, 0.0382543, 0.0268833, 0.0403139, 0.0253426, 0.032008, 0.0357834, 0.0473391, 0.0337855, 0.0287772, 0.0242735, 0.0238081, 0.0159618, 0.0169103, 0.0186909, 0.0212039, 0.0173006, 0.0168162, 0.0164734, 0.0141023, 0.0141079, 0.0221293, 0.0155386, 0.015331, 0.0245149, 0.026491, 0.0243276, 0.0195464, 0.0154588, 0.0151932, 0.0163462, 0.0149238, 0.0180304, 0.0235209, 0.0223958, 0.0360732, 0.0227231, 0.033205, 0.0454742
0.23, 0.0639375, 0.0567537, 0.036889, 0.0573334, 0.0475727, 0.0139215, 0.0267642, 0.0255008, 0.0270078, 0.0181681, 0.0361948, 0.0186405, 0.0298171, 0.0261192, 0.0206241, 0.0280475, 0.0243831, 0.0274636, 0.029905, 0.0391331, 0.0268586, 0.0243762, 0.0177433, 0.0183907, 0.0180092, 0.0138474, 0.0160443, 0.0161878, 0.0153332, 0.0131824, 0.0146075, 0.0125596, 0.0123746, 0.0171815, 0.0132654, 0.0140665, 0.0232697, 0.0252334, 0.0224707, 0.0177353, 0.0142188, 0.0163764, 0.0157409, 0.0142019, 0.0169069, 0.0228296, 0.0229478, 0.0357346, 0.0238925, 0.0405, 0.0530159
0.24, 0.0639375, 0.0837803, 0.0461798, 0.0663491, 0.0550389, 0.020223, 0.0349671, 0.0217736, 0.0271227, 0.0151093, 0.0206999, 0.0151331, 0.022041, 0.0182399, 0.0167455, 0.0180421, 0.0200862, 0.0273532, 0.0251296, 0.0319582, 0.0220535, 0.0277294, 0.0135989, 0.0165176, 0.0187329, 0.0164402, 0.0167053, 0.0150503, 0.0121928, 0.00884331, 0.0124904, 0.0103222, 0.0117703, 0.0136585, 0.0147085, 0.0155176, 0.0195507, 0.0220679, 0.0190855, 0.0162617, 0.0146554, 0.0152149, 0.0154761, 0.0151938, 0.0147733, 0.0189105, 0.0208175, 0.0295221, 0.0245705, 0.0453748, 0.0556058
0.25, 0.0639375, 0.0997316, 0.0704451, 0.076049, 0.0795139, 0.0222122, 0.0413862, 0.018234, 0.0232833, 0.0106278, 0.0113849, 0.0152352, 0.022817, 0.0162252, 0.0125492, 0.0136334, 0.0156622, 0.0303361, 0.0249544, 0.0292554, 0.0169869, 0.0271807, 0.0115417, 0.0169186, 0.0177357, 0.0197042, 0.0166397, 0.0187605, 0.0121521, 0.00907015, 0.00958295, 0.0102476, 0.0127656, 0.0120765, 0.0178954, 0.0175283, 0.0180519, 0.0215803, 0.0185975, 0.0167821, 0.0191362, 0.0139435, 0.0160207, 0.017256, 0.0138495, 0.0162824, 0.0207673, 0.0287179, 0.0229669, 0.0413263, 0.0574544
0.26, 0.0639375, 0.114263, 0.0886629, 0.0943479, 0.108886, 0.0166021, 0.0395957, 0.0167947, 0.0179914, 0.0110593, 0.00965414, 0.0127966, 0.0208032, 0.0120304, 0.011425, 0.0130559, 0.0160666, 0.0264312, 0.0209926, 0.0232012, 0.0160901, 0.0212989, 0.0146157, 0.016173, 0.0160019, 0.024447, 0.0167027, 0.0242045, 0.0145714, 0.0124327, 0.00963006, 0.0138468, 0.013683, 0.013188, 0.0180802, 0.0172258, 0.0215778, 0.023809, 0.0179123, 0.0154169, 0.0209508, 0.0130199, 0.0154656, 0.0173349, 0.0165131, 0.0153126, 0.0259935, 0.0333299, 0.0207461, 0.039373, 0.0655383
0.27, 0.0639375, 0.131382, 0.0896417, 0.106208, 0.126717, 0.0107684, 0.0314196, 0.0215227, 0.0140362, 0.0110645, 0.00660001, 0.00999541, 0.0139083, 0.0107639, 0.0172462, 0.0147365, 0.0155781, 0.0190158, 0.0168968, 0.0185584, 0.0200666, 0.0187548, 0.0161477, 0.0152446, 0.015555, 0.0264525, 0.0191306, 0.0287258, 0.0146067, 0.0130997, 0.00993805, 0.0159931, 0.0132774, 0.0143991, 0.0172335, 0.0186519, 0.0242792, 0.0244822, 0.0165891, 0.0147106, 0.0202154, 0.0123602, 0.0135313, 0.0140749, 0.0185794, 0.0162631, 0.0280207, 0.0336678, 0.0197998, 0.0398306, 0.0688485
0.28, 0.0639375, 0.126909, 0.0729331, 0.11635, 0.125619, 0.0118659, 0.0302425, 0.0236571, 0.0171045, 0.0100575, 0.00602169, 0.0115691, 0.0107123, 0.0126664, 0.0232281, 0.017599, 0.0170998, 0.0159385, 0.0159469, 0.0170987, 0.0264862, 0.0225589, 0.0163075, 0.0162833, 0.0168788, 0.0319748, 0.0264905, 0.0263752, 0.0122991, 0.0116998, 0.0103226, 0.0153638, 0.0121534, 0.0154947, 0.0161844, 0.022927, 0.0255088, 0.0232249, 0.0167707, 0.0150827, 0.0175125, 0.0136687, 0.0130972, 0.0136017, 0.0195049, 0.0164817, 0.0256326, 0.0291301, 0.020619, 0.0418069, 0.0639063
0.29, 0.0639375, 0.102521, 0.0521096, 0.118368, 0.11486, 0.0122558, 0.0268094, 0.0190063, 0.0194126, 0.0125631, 0.00800059, 0.0117468, 0.0124287, 0.0128336, 0.024488, 0.0181175, 0.0156162, 0.0123484, 0.0138891, 0.0151931, 0.0284389, 0.0261538, 0.0198786, 0.0174688, 0.017029, 0.0304862, 0.0282954, 0.0203233, 0.0107415, 0.010478, 0.0101519, 0.0123155, 0.0116078, 0.0165329, 0.0163133, 0.0227833, 0.0266556, 0.0244227, 0.0185215, 0.0146442, 0.0139063, 0.014382, 0.0136402, 0.015961, 0.0187804, 0.0181749, 0.0261163, 0.0279157, 0.0221366, 0.0427394, 0.0551702
0.3, 0.0639375, 0.0685459, 0.034702, 0.109197, 0.105489, 0.0103361, 0.0213982, 0.0159848, 0.0177652, 0.0165006, 0.00806835, 0.00995705, 0.0122008, 0.0115559, 0.0216874, 0.0205152, 0.0189453, 0.0173663, 0.0125548, 0.0139206, 0.0283634, 0.0261932, 0.0244139, 0.0183639, 0.0166164, 0.0262199, 0.0264975, 0.017751, 0.0104694, 0.00831783, 0.010338, 0.00849361, 0.0109776, 0.0158485, 0.015505, 0.0194104, 0.0295067, 0.0251376, 0.0188881, 0.0133446, 0.0124246, 0.014213, 0.0156662, 0.0198491, 0.0170097, 0.0194918, 0.0282337, 0.0309703, 0.0217335, 0.0375177, 0.0419072
0.31, 0.0639375, 0.0361738, 0.0295846, 0.107236, 0.100626, 0.00851028, 0.0199129, 0.0177902, 0.0150813, 0.0191628, 0.0123485, 0.0119835, 0.0134158, 0.0127521, 0.0259335, 0.0374157, 0.0336174, 0.0311933, 0.0121428, 0.017517, 0.0347936, 0.0291431, 0.0222962, 0.0206484, 0.0174705, 0.0226855, 0.0265452, 0.0249748, 0.0125454, 0.0103697, 0.0158363, 0.0106275, 0.0111477, 0.0168571, 0.0150197, 0.0179943, 0.0262826, 0.021029, 0.0190493, 0.0145674, 0.0153782, 0.015546, 0.0178251, 0.0239611, 0.0158232, 0.0192292, 0.0293787, 0.0310564, 0.0189969, 0.0327599, 0.0307927
0.32, 0.0639375, 0.0371259, 0.0419385, 0.115866, 0.0908539, 0.0215822, 0.0383937, 0.038411, 0.0135965, 0.0178796, 0.0196085, 0.0180238, 0.0226742, 0.0199532, 0.0309959, 0.0497034, 0.0458763, 0.04701, 0.0185362, 0.0282012, 0.0494138, 0.0323813, 0.0176017, 0.0234901, 0.017754, 0.0226044, 0.0306312, 0.0273841, 0.0174401, 0.0153197, 0.0229185, 0.0151237, 0.0126344, 0.0215193, 0.0228543, 0.0218431, 0.02164, 0.0186339, 0.0176476, 0.0155984, 0.01989, 0.0162182, 0.0198642, 0.0252792, 0.0167019, 0.0200758, 0.0300742, 0.0282865, 0.0172313, 0.0300179, 0.0251208
0.33, 0.0639375, 0.0450389, 0.0721824, 0.158335, 0.0949203, 0.053322, 0.0956695, 0.0912102, 0.0172169, 0.0140231, 0.0291795, 0.0247566, 0.0309108, 0.0334025, 0.0377131, 0.0483629, 0.0476041, 0.0523562, 0.0294061, 0.0330681, 0.0577362, 0.0383955, 0.0188526, 0.0234418, 0.0161985, 0.0252501, 0.0323975, 0.0238884, 0.0244815, 0.0174655, 0.0260861, 0.0210764, 0.0162198, 0.026766, 0.0323332, 0.0242753, 0.0227035, 0.0213696, 0.0146782, 0.0139234, 0.0197217, 0.0158758, 0.0214473, 0.0243621, 0.0184557, 0.0231768, 0.028663, 0.0245387, 0.0174459, 0.0249702, 0.02127
0.34, 0.0639375, 0.0464179, 0.114499, 0.228339, 0.104289, 0.0802553, 0.161634, 0.159285, 0.0199442, 0.0156211, 0.0327938, 0.0258943, 0.0325611, 0.0409841, 0.0353598, 0.0437124, 0.0359071, 0.045369, 0.040788, 0.0302772, 0.0489219, 0.0373906, 0.0210854, 0.0223103, 0.0141945, 0.0231602, 0.0282264, 0.0230805, 0.0290236, 0.017235, 0.0249938, 0.02879, 0.0197693, 0.0275919, 0.036085, 0.0272687, 0.0240751, 0.023645, 0.0134313, 0.0141879, 0.0161, 0.0160389, 0.0213112, 0.0227388, 0.0195651, 0.0233724, 0.0283011, 0.0208493, 0.0166084, 0.0202776, 0.0202203
