# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.00564291, 0.00576287, 0.00271702, 0.0015315, 0.00238385, 0.00198656, 0.00302275, 0.00493096, 0.000768366, 0.00152031, 0.003842, 0.00432461, 0.00264414, 0.00298293, 0.00320362, 0.0022479, 0.00203153, 0.00313791, 0.00337709, 0.00384247, 0.00307516, 0.00316239, 0.00408945, 0.00329488, 0.00328121, 0.00361539, 0.00661623, 0.00591279, 0.0085546, 0.00860046, 0.00992152, 0.0132255, 0.0070124, 0.00906211, 0.0173299, 0.0203134, 0.0203939, 0.0162234, 0.0147357, 0.00980407
0.01, 0.0319375, 0.00309251, 0.00519592, 0.00353652, 0.00287382, 0.00564813, 0.00357097, 0.00297639, 0.00655856, 0.00106802, 0.00147318, 0.00242131, 0.00273818, 0.002327, 0.00434455, 0.00332161, 0.002074, 0.00211742, 0.00282472, 0.00403744, 0.0059135, 0.00661363, 0.00592452, 0.00483451, 0.00350065, 0.00291697, 0.00489074, 0.00583848, 0.00627298, 0.0134559, 0.0103046, 0.00830707, 0.0101027, 0.0080525, 0.0127754, 0.0134611, 0.0217149, 0.0187665, 0.0182244, 0.0133934, 0.00978436
0.02, 0.0319375, 0.00689982, 0.00523506, 0.00543569, 0.00411853, 0.00709656, 0.00255389, 0.00308134, 0.00416899, 0.00197656, 0.00231939, 0.00268956, 0.00231986, 0.0029071, 0.00529091, 0.00260443, 0.00244533, 0.00274412, 0.00372312, 0.00396704, 0.00660948, 0.00608354, 0.00384853, 0.00423725, 0.00362181, 0.00266399, 0.00472204, 0.00612371, 0.0105106, 0.0140096, 0.0113798, 0.00863698, 0.0107333, 0.0127634, 0.0155657, 0.016416, 0.0224417, 0.0293836, 0.0243864, 0.0134831, 0.00861937
0.03, 0.0319375, 0.0104587, 0.00440639, 0.0034302, 0.0042198, 0.00807391, 0.00332054, 0.00221222, 0.00205817, 0.00399909, 0.00213181, 0.00322643, 0.00434989, 0.00373666, 0.00688419, 0.00313196, 0.00227502, 0.00388653, 0.00484827, 0.00325222, 0.00884933, 0.00816555, 0.00402438, 0.00777232, 0.00621411, 0.00267125, 0.00533443, 0.0101936, 0.0187218, 0.0206864, 0.015921, 0.0130303, 0.0156917, 0.0301742, 0.0227927, 0.0252455, 0.0303492, 0.046532, 0.0369868, 0.0225452, 0.0144084
0.04, 0.0319375, 0.00578325, 0.00241774, 0.00377728, 0.00512856, 0.00270679, 0.00186722, 0.00182486, 0.00392417, 0.00483285, 0.00346251, 0.00609361, 0.00460505, 0.00472228, 0.00363155, 0.00420306, 0.00248552, 0.00302322, 0.00303939, 0.00308609, 0.00893287, 0.00677301, 0.00518964, 0.00455758, 0.00239931, 0.00253844, 0.00502443, 0.0106017, 0.0166984, 0.0132956, 0.0140775, 0.0113994, 0.00781171, 0.0198894, 0.0177755, 0.0123877, 0.0187651, 0.0221744, 0.0236232, 0.017099, 0.0103471
0.05, 0.0319375, 0.00846619, 0.00335202, 0.00502027, 0.0049669, 0.00252476, 0.00162231, 0.00288214, 0.0051881, 0.00350409, 0.00275673, 0.00470851, 0.00329262, 0.00226967, 0.00203783, 0.00338054, 0.00366243, 0.0032357, 0.00327646, 0.00334311, 0.00650029, 0.00581703, 0.0050096, 0.00628211, 0.00675738, 0.00644711, 0.00725457, 0.00890179, 0.00923859, 0.00840826, 0.00824819, 0.00740841, 0.00523541, 0.00793282, 0.0081471, 0.00807213, 0.012656, 0.0104295, 0.00877642, 0.00719137, 0.00630532
0.06, 0.0319375, 0.00496452, 0.00400812, 0.00408066, 0.00473106, 0.00249396, 0.00325543, 0.00280511, 0.00358593, 0.00312662, 0.00245116, 0.00385922, 0.00428401, 0.00335844, 0.00259266, 0.00396288, 0.00517327, 0.00582142, 0.00420781, 0.00558981, 0.00802885, 0.00660534, 0.00952911, 0.012788, 0.0133007, 0.0136137, 0.0170393, 0.0184803, 0.0203692, 0.0162036, 0.0148689, 0.0151563, 0.0132244, 0.0130234, 0.0153722, 0.0159092, 0.0225721, 0.0207275, 0.0147877, 0.0158546, 0.0177027
0.07, 0.0319375, 0.0124484, 0.0106921, 0.0187274, 0.010436, 0.010291, 0.0124472, 0.0142239, 0.0173336, 0.0223928, 0.0136344, 0.0200438, 0.0310485, 0.0237704, 0.034646, 0.0326286, 0.0192854, 0.0283298, 0.026451, 0.0305308, 0.045194, 0.0434616, 0.038695, 0.03007, 0.0146552, 0.021258, 0.0393184, 0.0572527, 0.0613172, 0.0421325, 0.0375931, 0.0377692, 0.0533773, 0.0748506, 0.099432, 0.0878103, 0.129566, 0.113333, 0.0750916, 0.0699974, 0.0854318
0.08, 0.0319375, 0.0172001, 0.0192507, 0.0179666, 0.0103967, 0.0091754, 0.0128435, 0.0153065, 0.0230776, 0.0254399, 0.0126644, 0.0243179, 0.0406899, 0.0384041, 0.0439517, 0.0364025, 0.0178592, 0.0299484, 0.0301241, 0.0365564, 0.0457016, 0.0436065, 0.0392892, 0.0308639, 0.0105982, 0.0159207, 0.0320134, 0.0474064, 0.0509658, 0.0327109, 0.0290466, 0.028015, 0.0423467, 0.0601848, 0.0819972, 0.0682541, 0.108754, 0.093, 0.058464, 0.0551129, 0.0717449
0.09, 0.0319375, 0.0117628, 0.00953088, 0.00978448, 0.00738095, 0.001703, 0.00345954, 0.00412684, 0.0105691, 0.00476167, 0.00376326, 0.00853971, 0.00715989, 0.00839668, 0.007358, 0.00571285, 0.00451676, 0.00366587, 0.00445647, 0.00598437, 0.00539514, 0.00757855, 0.00679835, 0.00507507, 0.0040644, 0.00403602, 0.00498647, 0.0039776, 0.00506997, 0.00554263, 0.00456197, 0.00602833, 0.0052117, 0.00468039, 0.00563213, 0.00483332, 0.00866806, 0.00966737, 0.00800035, 0.00564315, 0.00674708
