# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.286339, 0.544724, 0.634783, 0.811634, 2.09996, 1.1933, 1.21485, 0.608568, 0.586061, 0.568639, 0.758801, 0.86994, 0.916014, 1.06768, 0.962664, 1.08665, 1.33559, 1.20472, 1.13019, 1.15415, 1.31723, 1.09804, 1.01996, 1.1394, 1.42754, 1.3507, 1.08807, 1.12733, 1.41024, 1.4434, 1.45069, 1.10751, 1.23416, 1.32824, 1.42334, 1.16067, 1.19999, 1.11223, 1.01969, 1.35198, 1.58117, 1.49401, 2.21902, 2.65915, 2.53059, 2.24475, 1.80196, 1.43059, 1.3163, 1.31452
0.01, 0.0639375, 0.306226, 0.631879, 0.569124, 0.817934, 2.15943, 1.23628, 1.18274, 0.672348, 0.533441, 0.606739, 0.659603, 0.892662, 0.95195, 1.1229, 0.899441, 1.00247, 1.40418, 1.30748, 1.20902, 1.18133, 1.30408, 1.03826, 0.979738, 1.32665, 1.46152, 1.30842, 0.922421, 1.01122, 1.31561, 1.46664, 1.54036, 1.02597, 1.34092, 1.32257, 1.39557, 1.17069, 1.16634, 1.17758, 1.05792, 1.28503, 1.59826, 1.553, 2.08964, 2.67185, 2.69605, 2.29001, 1.88473, 1.4149, 1.37096, 1.31205
0.02, 0.0639375, 0.318695, 0.607481, 0.534932, 0.807098, 2.17511, 1.18831, 1.02762, 0.869426, 0.722301, 0.738667, 0.708315, 0.97387, 1.13069, 1.28364, 0.888016, 0.868351, 1.25091, 1.33125, 1.30278, 1.24562, 1.19689, 0.994222, 0.918023, 1.43728, 1.41847, 1.14809, 1.1951, 1.05006, 1.1683, 1.32724, 1.57595, 1.06971, 1.39041, 1.16149, 1.359, 1.20187, 1.04859, 1.21106, 1.12947, 1.275, 1.57339, 1.52381, 1.95764, 2.61362, 2.61646, 2.36869, 1.9213, 1.37776, 1.34036, 1.30125
0.03, 0.0639375, 0.475229, 0.56006, 0.449432, 0.810317, 2.13513, 1.16976, 0.933583, 0.944822, 0.958239, 0.879923, 0.841964, 1.09207, 1.29069, 1.33018, 0.963514, 0.862842, 1.10126, 1.13444, 1.2546, 1.35633, 1.10145, 0.871295, 0.918503, 1.40057, 1.30517, 1.05717, 1.41389, 1.03888, 1.01941, 1.16407, 1.47652, 1.12601, 1.29496, 1.03051, 1.26113, 1.30316, 0.948262, 1.2966, 1.24239, 1.34622, 1.58523, 1.56854, 1.99425, 2.73498, 2.39919, 2.34495, 1.88801, 1.39513, 1.30088, 1.3424
0.04, 0.0639375, 0.538609, 0.503827, 0.386915, 0.640977, 2.04925, 1.16875, 1.10589, 1.01377, 1.06551, 0.902673, 0.861026, 1.11833, 1.45705, 1.35664, 1.09053, 0.999755, 1.30403, 0.908163, 1.28829, 1.41948, 1.10541, 0.971011, 0.946984, 1.26879, 1.27554, 1.26309, 1.47768, 1.02956, 1.05027, 1.07613, 1.28651, 1.05877, 1.12092, 0.955278, 1.23188, 1.39938, 1.03989, 1.28329, 1.26183, 1.32545, 1.52729, 1.7246, 2.07151, 2.75285, 2.30327, 2.3463, 1.89383, 1.48191, 1.43262, 1.407
0.05, 0.0639375, 0.433162, 0.448557, 0.49077, 0.547284, 2.02348, 1.1048, 1.33406, 1.03404, 1.0031, 0.900534, 0.787321, 0.91739, 1.43628, 1.48536, 1.05308, 1.17683, 1.48082, 1.01598, 1.28847, 1.27713, 1.05383, 1.25466, 0.982842, 1.22321, 1.40667, 1.35012, 1.37723, 1.24034, 1.24603, 1.22205, 1.16066, 1.0553, 1.02066, 0.92519, 1.30003, 1.38012, 1.11237, 1.17855, 1.17723, 1.3197, 1.54512, 1.78295, 2.13731, 2.68107, 2.26497, 2.24808, 1.92544, 1.5333, 1.5349, 1.37308
0.06, 0.0639375, 0.246196, 0.341128, 0.519091, 0.618058, 2.04456, 1.11531, 1.37379, 0.922523, 0.928326, 0.89668, 0.712828, 0.652617, 1.31809, 1.49209, 0.958777, 1.2013, 1.44337, 1.11713, 1.16809, 1.15596, 0.999412, 1.32306, 1.00433, 1.24472, 1.38764, 1.23179, 1.20656, 1.27258, 1.29275, 1.29187, 1.09736, 1.08851, 1.05493, 1.05895, 1.38559, 1.25989, 1.10618, 1.01433, 1.0943, 1.3245, 1.63704, 1.7081, 2.16699, 2.5373, 2.18328, 2.08381, 1.94316, 1.52202, 1.48965, 1.27876
0.07, 0.0639375, 0.223581, 0.30633, 0.44683, 0.669281, 2.07621, 1.21165, 1.23871, 0.743997, 1.00732, 0.956648, 0.686541, 0.592132, 1.29223, 1.52995, 0.863416, 1.14036, 1.2649, 1.12415, 1.0713, 1.19158, 1.00222, 1.21682, 0.979174, 1.24565, 1.39321, 1.0393, 1.04808, 1.12278, 1.15782, 1.26987, 1.18843, 1.12616, 1.12438, 1.20468, 1.47748, 1.29577, 1.15946, 1.05464, 1.20103, 1.26009, 1.55167, 1.59497, 2.18531, 2.62889, 2.42422, 2.07606, 1.93624, 1.42002, 1.50024, 1.29686
0.08, 0.0639375, 0.295531, 0.364238, 0.375794, 0.684287, 2.08722, 1.21544, 1.01217, 0.602375, 0.927095, 0.960358, 0.743838, 0.805475, 1.30921, 1.52134, 0.996145, 1.14023, 1.25817, 1.40649, 1.1777, 1.26153, 1.15878, 1.0302, 1.00718, 1.18901, 1.45267, 1.01384, 0.904283, 1.08411, 1.06914, 1.23305, 1.31635, 1.18741, 1.11522, 1.21971, 1.48805, 1.37209, 1.20265, 1.21582, 1.26324, 1.23456, 1.35222, 1.55151, 2.23697, 2.7343, 2.57459, 2.26315, 1.9125, 1.35504, 1.5457, 1.2678
0.09, 0.0639375, 0.390218, 0.435048, 0.375019, 0.590396, 2.03084, 1.12926, 0.845546, 0.6506, 0.762581, 0.860711, 0.779323, 0.972355, 1.26667, 1.41713, 1.26004, 1.19209, 1.37081, 1.60673, 1.18722, 1.28302, 1.30001, 1.14429, 1.01408, 1.01522, 1.44962, 1.09305, 0.871856, 1.22095, 1.15873, 1.18637, 1.35337, 1.31383, 1.23891, 1.16657, 1.48825, 1.42379, 1.17873, 1.20903, 1.20882, 1.33143, 1.32518, 1.65216, 2.2285, 2.71175, 2.58995, 2.35745, 1.81846, 1.45343, 1.57093, 1.21004
