# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.00584287, 0.00442846, 0.00615167, 0.00895472, 0.0135414, 0.00688182, 0.00657396, 0.00671097, 0.00669605, 0.00396193, 0.00554393, 0.00365091, 0.00263962, 0.0040175, 0.0019467, 0.00247006, 0.00262, 0.00346014, 0.00333907, 0.00621482, 0.00621565, 0.00668456, 0.00634844, 0.0102765, 0.0102662, 0.00894468, 0.0146176, 0.0319066, 0.0173982, 0.0124566, 0.0143055, 0.0191409, 0.0219166, 0.0174021, 0.0124747, 0.00649188, 0.006948, 0.00938445, 0.00994501, 0.0134137
0.01, 0.0319375, 0.00546485, 0.00708993, 0.0121102, 0.0188967, 0.0119172, 0.00966441, 0.0108389, 0.00929174, 0.0075524, 0.00773009, 0.00632203, 0.00447866, 0.00377193, 0.00347273, 0.00276457, 0.00301764, 0.00338672, 0.00522996, 0.00481778, 0.00916099, 0.00932528, 0.00953784, 0.00559799, 0.012214, 0.0170023, 0.0195754, 0.0306204, 0.0456323, 0.0226968, 0.020883, 0.0145477, 0.0266841, 0.0263274, 0.0189284, 0.00997357, 0.0100832, 0.00968933, 0.0104629, 0.0202938, 0.0251582
0.02, 0.0319375, 0.0117372, 0.0143568, 0.0153288, 0.0199923, 0.00845531, 0.00516094, 0.00918048, 0.00795943, 0.0150235, 0.0155111, 0.00958708, 0.00536229, 0.00728699, 0.00622797, 0.0076034, 0.00627417, 0.00910488, 0.0070459, 0.00976099, 0.0154257, 0.010409, 0.00950183, 0.00961483, 0.0155619, 0.016225, 0.0262604, 0.0559483, 0.0608598, 0.0197538, 0.0264804, 0.0229196, 0.0341953, 0.0351865, 0.0259555, 0.0118268, 0.0174158, 0.0131102, 0.0138593, 0.0340652, 0.0357475
0.03, 0.0319375, 0.0099279, 0.011323, 0.0127026, 0.0116283, 0.00418786, 0.00412257, 0.00691971, 0.00644131, 0.00791899, 0.00777753, 0.00279584, 0.00204675, 0.00441446, 0.00563177, 0.00569708, 0.00523174, 0.00714438, 0.00629395, 0.00588541, 0.00833154, 0.00496263, 0.00624313, 0.00713704, 0.00755027, 0.00892542, 0.0137533, 0.0222468, 0.0199598, 0.0101485, 0.0141459, 0.0130792, 0.0146944, 0.0186522, 0.0122435, 0.0068212, 0.0115376, 0.00909921, 0.00795577, 0.0210603, 0.0180403
0.04, 0.0319375, 0.0323742, 0.0230348, 0.0451763, 0.0555613, 0.0483142, 0.0466279, 0.0489601, 0.0472168, 0.0354086, 0.0407301, 0.0444095, 0.0359261, 0.0273477, 0.0135042, 0.0108333, 0.010803, 0.00969653, 0.0086391, 0.011249, 0.0146194, 0.0114378, 0.00949935, 0.0126918, 0.0133067, 0.0122129, 0.0146685, 0.0239983, 0.0183945, 0.0215622, 0.0117459, 0.0059218, 0.00531581, 0.0109196, 0.0165341, 0.0198397, 0.0213091, 0.0265304, 0.0193037, 0.0169111, 0.0149399
0.05, 0.0319375, 0.113752, 0.117213, 0.162657, 0.152998, 0.0833573, 0.101282, 0.0989777, 0.0924025, 0.0635121, 0.0849389, 0.095212, 0.065128, 0.0580611, 0.0231694, 0.0171575, 0.0211017, 0.0171044, 0.0137322, 0.0207965, 0.0296147, 0.0221662, 0.0148006, 0.0245723, 0.0233496, 0.0227767, 0.0254182, 0.0448265, 0.0370201, 0.0450605, 0.0239259, 0.013582, 0.0119211, 0.033393, 0.0441216, 0.0464471, 0.0549069, 0.0537548, 0.0412434, 0.0373001, 0.0303122
0.06, 0.0319375, 0.0588292, 0.0705622, 0.0985809, 0.0922775, 0.0331682, 0.036207, 0.0366994, 0.0496477, 0.0425328, 0.0234998, 0.0335985, 0.0152152, 0.0187713, 0.0156852, 0.0103271, 0.010064, 0.00649768, 0.00971978, 0.0124054, 0.0114234, 0.011575, 0.00712521, 0.0109386, 0.0105653, 0.00952781, 0.0142951, 0.0201876, 0.0168022, 0.0168694, 0.0130452, 0.00997806, 0.0132754, 0.0237914, 0.0291406, 0.0246125, 0.0331638, 0.0279711, 0.0265265, 0.0210778, 0.0170387
0.07, 0.0319375, 0.0251937, 0.0284581, 0.0236153, 0.0145082, 0.0105205, 0.0095108, 0.0292814, 0.0196622, 0.00904534, 0.0131853, 0.00702057, 0.00806468, 0.00553255, 0.00690704, 0.00690905, 0.0068289, 0.0071329, 0.0104038, 0.00760695, 0.0077308, 0.00880608, 0.00626872, 0.0061153, 0.00581727, 0.00701098, 0.00734664, 0.00795967, 0.0105628, 0.00649591, 0.00870718, 0.00735445, 0.0113915, 0.0125113, 0.0145326, 0.0143077, 0.0125006, 0.0150633, 0.0137729, 0.00995965, 0.00952391
0.08, 0.0319375, 0.0262955, 0.0255904, 0.0111757, 0.0117687, 0.00785488, 0.0112414, 0.0257171, 0.0184143, 0.00476356, 0.00537237, 0.00707301, 0.00847458, 0.0110565, 0.00869418, 0.00453871, 0.00392845, 0.00862989, 0.00755879, 0.00562656, 0.00369343, 0.00469333, 0.00293218, 0.00421612, 0.00498255, 0.00588304, 0.00549271, 0.00521976, 0.0054102, 0.00400266, 0.00485053, 0.00535684, 0.00764255, 0.00703548, 0.00808774, 0.00950773, 0.00854952, 0.00803666, 0.00792833, 0.00466485, 0.0051677
0.09, 0.0319375, 0.0292131, 0.0121782, 0.00733812, 0.0105278, 0.0119011, 0.0116382, 0.00689638, 0.00920363, 0.00346144, 0.00300409, 0.00405157, 0.00465512, 0.00692539, 0.00921709, 0.00416768, 0.00319138, 0.00314088, 0.00450441, 0.00340644, 0.00295215, 0.00303023, 0.00314064, 0.00344956, 0.00310285, 0.00409574, 0.00468217, 0.00336343, 0.00419534, 0.00471741, 0.00445505, 0.00401963, 0.00359282, 0.00431333, 0.00614515, 0.00663139, 0.00703394, 0.00661718, 0.00495895, 0.00393509, 0.0037439
