# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.0611676, 0.277278, 0.157686, 0.15516, 0.377695, 0.477691, 0.371805, 0.19231, 0.145577, 0.370157, 0.510353, 0.394694, 0.23786, 0.296599, 0.375149, 0.456845, 0.314932, 0.396423, 0.39803, 0.620429, 0.64439, 0.590836, 0.533235, 0.695577, 0.832692, 0.62875, 0.852914, 0.796307, 0.755833, 0.467391, 0.432066, 0.494291, 0.527356, 0.66876, 0.787697, 0.526717, 0.637769, 0.656297, 0.747704, 0.890244, 0.909939, 0.811755, 0.737998, 0.527803, 0.72352, 0.806345, 0.758096, 0.851057, 0.861125, 1.00923
0.01, 0.0639375, 0.0819127, 0.299219, 0.198669, 0.173979, 0.262418, 0.523139, 0.404465, 0.209009, 0.187728, 0.35145, 0.516484, 0.421268, 0.19731, 0.242494, 0.371328, 0.446203, 0.365623, 0.440587, 0.47777, 0.602264, 0.686206, 0.717704, 0.574683, 0.800319, 0.933086, 0.62308, 1.00643, 0.795053, 0.714584, 0.510081, 0.508278, 0.555375, 0.548123, 0.796715, 0.817602, 0.49752, 0.69569, 0.735529, 0.755434, 0.92666, 0.903672, 0.788391, 0.71984, 0.562868, 0.798125, 0.925311, 0.826787, 0.888758, 0.877202, 1.00143
0.02, 0.0639375, 0.0761909, 0.263936, 0.197228, 0.16108, 0.204576, 0.50551, 0.336545, 0.165188, 0.276493, 0.409972, 0.416829, 0.416947, 0.213378, 0.237586, 0.398257, 0.444268, 0.40564, 0.38224, 0.615034, 0.672773, 0.70896, 0.835542, 0.720564, 0.867102, 0.927317, 0.603622, 1.169, 0.812858, 0.623085, 0.500439, 0.657909, 0.654877, 0.561464, 0.84626, 0.77105, 0.489063, 0.650626, 0.770796, 0.713481, 0.889948, 0.8332, 0.798279, 0.718757, 0.605964, 0.814117, 0.95109, 0.801279, 0.868691, 0.908827, 0.982949
0.03, 0.0639375, 0.0549753, 0.207798, 0.207972, 0.121568, 0.16816, 0.512626, 0.353414, 0.123936, 0.352617, 0.458357, 0.327524, 0.378017, 0.221513, 0.249379, 0.381685, 0.397057, 0.415833, 0.312212, 0.651188, 0.6445, 0.671641, 0.785392, 0.74811, 0.846013, 0.767261, 0.589126, 1.16367, 0.805929, 0.502927, 0.49147, 0.686798, 0.677382, 0.548819, 0.754775, 0.650807, 0.478387, 0.552821, 0.721308, 0.637839, 0.833509, 0.833194, 0.83478, 0.695798, 0.58216, 0.809168, 0.916073, 0.751953, 0.913909, 0.900128, 0.985675
0.04, 0.0639375, 0.0652096, 0.186251, 0.221643, 0.0953155, 0.111875, 0.490311, 0.394383, 0.129411, 0.364091, 0.416709, 0.33672, 0.367696, 0.216475, 0.218336, 0.319724, 0.368561, 0.401205, 0.291597, 0.62395, 0.585457, 0.58938, 0.671052, 0.638149, 0.698045, 0.634813, 0.587013, 1.14435, 0.785498, 0.423497, 0.479935, 0.616912, 0.656084, 0.506595, 0.606743, 0.624902, 0.469224, 0.566027, 0.644909, 0.621498, 0.8794, 0.960375, 0.890649, 0.661443, 0.571565, 0.742396, 0.826772, 0.700443, 0.975178, 0.91753, 0.970766
0.05, 0.0639375, 0.0762301, 0.193064, 0.184824, 0.0662534, 0.0880326, 0.430586, 0.554499, 0.16887, 0.287008, 0.331189, 0.346444, 0.343643, 0.286957, 0.240045, 0.291393, 0.330328, 0.364714, 0.338493, 0.590644, 0.584663, 0.56348, 0.570083, 0.568969, 0.672006, 0.636983, 0.656971, 1.21532, 0.795874, 0.47024, 0.455243, 0.592244, 0.639482, 0.518316, 0.661071, 0.685152, 0.464044, 0.616337, 0.589042, 0.679801, 0.903947, 1.02122, 0.859346, 0.631666, 0.572075, 0.689199, 0.737936, 0.658921, 1.00217, 0.930059, 0.929107
0.06, 0.0639375, 0.0715288, 0.198047, 0.162019, 0.0766458, 0.0865463, 0.370406, 0.690789, 0.254519, 0.220456, 0.299846, 0.364246, 0.349329, 0.387348, 0.284047, 0.295394, 0.275005, 0.358588, 0.454703, 0.607837, 0.588536, 0.592104, 0.532278, 0.579815, 0.657797, 0.676687, 0.654289, 1.17088, 0.748011, 0.512766, 0.432306, 0.597448, 0.670568, 0.623545, 0.825449, 0.744353, 0.505889, 0.653332, 0.622299, 0.728213, 0.879471, 0.94888, 0.784535, 0.606008, 0.580152, 0.712168, 0.713959, 0.633983, 0.976948, 0.960401, 0.910661
0.07, 0.0639375, 0.0490632, 0.19377, 0.250899, 0.135818, 0.0729467, 0.351708, 0.706334, 0.326143, 0.207525, 0.334057, 0.294146, 0.351296, 0.414493, 0.286862, 0.284513, 0.264152, 0.39587, 0.521765, 0.612972, 0.534139, 0.537057, 0.544704, 0.573188, 0.574447, 0.725626, 0.610905, 1.08968, 0.719441, 0.5118, 0.433531, 0.590815, 0.718666, 0.817994, 0.92877, 0.742103, 0.541425, 0.629435, 0.71732, 0.867506, 0.881199, 0.793283, 0.752847, 0.567035, 0.594572, 0.683359, 0.664722, 0.66101, 0.892928, 1.0022, 0.916926
0.08, 0.0639375, 0.0259741, 0.1512, 0.297172, 0.216044, 0.0502434, 0.292041, 0.56458, 0.344288, 0.203759, 0.325373, 0.241313, 0.328889, 0.36737, 0.330136, 0.315816, 0.328369, 0.415059, 0.51073, 0.576353, 0.449168, 0.506468, 0.520863, 0.594274, 0.583402, 0.754083, 0.583427, 1.08729, 0.857315, 0.611643, 0.44017, 0.551429, 0.699626, 0.916111, 0.95058, 0.708645, 0.538076, 0.679062, 0.820237, 0.920507, 0.865634, 0.715065, 0.794801, 0.629163, 0.644036, 0.70066, 0.578745, 0.759665, 0.893709, 1.06023, 0.989587
0.09, 0.0639375, 0.0213152, 0.108145, 0.328822, 0.307601, 0.0561975, 0.228352, 0.494733, 0.297087, 0.190784, 0.275872, 0.322586, 0.289716, 0.322734, 0.368092, 0.328506, 0.342549, 0.365266, 0.476964, 0.599371, 0.425656, 0.50715, 0.537689, 0.657178, 0.613942, 0.693836, 0.598214, 1.13216, 0.989674, 0.789804, 0.403236, 0.482382, 0.642982, 0.817027, 0.870285, 0.70106, 0.528829, 0.755893, 0.833147, 0.824771, 0.813056, 0.743009, 0.881046, 0.727605, 0.692954, 0.795068, 0.611163, 0.852828, 0.975565, 1.08162, 1.11481
