# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.00468787, 0.00606067, 0.00531629, 0.0038395, 0.00302263, 0.00235899, 0.00477507, 0.00885429, 0.00669285, 0.00500853, 0.00464052, 0.00457882, 0.00693237, 0.00423178, 0.00615404, 0.00400123, 0.00453634, 0.00241346, 0.00315062, 0.00895461, 0.009597, 0.0083598, 0.011416, 0.0142396, 0.0145002, 0.011073, 0.0150544, 0.0155312, 0.0189223, 0.0121047, 0.0120212, 0.0112324, 0.00973395, 0.0122217, 0.0121343, 0.009283, 0.00906967, 0.0173591, 0.016703, 0.0115575
0.01, 0.0319375, 0.00411177, 0.00583196, 0.00170883, 0.00193171, 0.00399458, 0.00309548, 0.00682985, 0.00616909, 0.00760553, 0.00703892, 0.00828721, 0.00608793, 0.00379426, 0.00175834, 0.00277729, 0.00231058, 0.00238825, 0.00160696, 0.00208054, 0.00203831, 0.00420603, 0.00437102, 0.00588826, 0.00864111, 0.00574699, 0.00422597, 0.00678793, 0.00582663, 0.00781266, 0.00682772, 0.00475324, 0.00570716, 0.00597808, 0.00358142, 0.00395706, 0.00463151, 0.00523506, 0.00900151, 0.0128529, 0.0141777
0.02, 0.0319375, 0.00976724, 0.00502715, 0.0050434, 0.00373286, 0.00532708, 0.0017249, 0.00981068, 0.0107072, 0.0151532, 0.0157836, 0.0181052, 0.0143665, 0.00808467, 0.00372918, 0.00504293, 0.00240656, 0.00139509, 0.0012733, 0.00140342, 0.00240347, 0.00310035, 0.0039757, 0.00491375, 0.00812475, 0.00787215, 0.0059865, 0.00556385, 0.00796937, 0.0071187, 0.00468241, 0.00499643, 0.00433707, 0.00630793, 0.00353628, 0.00355576, 0.00425161, 0.00485408, 0.00836866, 0.00917823, 0.00957279
0.03, 0.0319375, 0.0108847, 0.00413622, 0.00448412, 0.00558281, 0.00619207, 0.00252607, 0.00662559, 0.00843841, 0.00823412, 0.0112924, 0.00843226, 0.00643669, 0.00862528, 0.00616198, 0.00370364, 0.00230868, 0.00173609, 0.00158923, 0.00131211, 0.00308181, 0.00335618, 0.00349696, 0.00625071, 0.0102983, 0.0107489, 0.00862386, 0.0107758, 0.0107422, 0.00757831, 0.00769425, 0.00734983, 0.00594135, 0.0066064, 0.00504435, 0.00633636, 0.0060525, 0.00663565, 0.0110454, 0.00969499, 0.00958106
0.04, 0.0319375, 0.0133999, 0.00646275, 0.00287322, 0.00377537, 0.0026005, 0.00255913, 0.00546272, 0.0042966, 0.00697215, 0.00508693, 0.00418846, 0.00326885, 0.00467826, 0.00367704, 0.00615428, 0.0028567, 0.00291209, 0.00461596, 0.00600877, 0.00619053, 0.00688916, 0.00895567, 0.00853155, 0.0138197, 0.0146854, 0.0136003, 0.0207019, 0.025718, 0.0259315, 0.0260405, 0.0278836, 0.0140533, 0.0136478, 0.0262704, 0.0173264, 0.020839, 0.0279936, 0.0174377, 0.0167161, 0.0125051
0.05, 0.0319375, 0.0284652, 0.0224874, 0.00559324, 0.00593696, 0.00425315, 0.0051186, 0.00613935, 0.00493653, 0.00717267, 0.00565441, 0.00642473, 0.00877347, 0.00723267, 0.0107758, 0.0102019, 0.0051001, 0.00608473, 0.00622038, 0.0155383, 0.0208637, 0.0143865, 0.0149854, 0.0269949, 0.0213048, 0.0325877, 0.0228004, 0.0583539, 0.0830663, 0.0739846, 0.107161, 0.0824238, 0.0383806, 0.045338, 0.099381, 0.0407399, 0.0568884, 0.0848083, 0.0453374, 0.047113, 0.0350714
0.06, 0.0319375, 0.0381379, 0.0431811, 0.0248568, 0.00845578, 0.00934819, 0.0213392, 0.0219968, 0.0183952, 0.0101741, 0.00828012, 0.00849952, 0.0152706, 0.00576453, 0.0105127, 0.00927485, 0.00773222, 0.00879911, 0.00514422, 0.0114483, 0.0205772, 0.0110475, 0.00979109, 0.0354753, 0.02725, 0.0265634, 0.0218145, 0.0447426, 0.0661301, 0.0945782, 0.129108, 0.0956315, 0.0334581, 0.0470675, 0.0764839, 0.0402292, 0.0648028, 0.0721233, 0.0442385, 0.0578962, 0.0425936
0.07, 0.0319375, 0.0715527, 0.102163, 0.058353, 0.013293, 0.0173284, 0.0322993, 0.0255878, 0.0199961, 0.0214917, 0.0145736, 0.0168277, 0.0220962, 0.0103121, 0.00563995, 0.00932445, 0.0110393, 0.00760967, 0.00595533, 0.00996484, 0.00845945, 0.00586799, 0.0071729, 0.0284094, 0.0330626, 0.0200699, 0.0173033, 0.038728, 0.0471778, 0.101908, 0.209997, 0.0991234, 0.0310055, 0.0260975, 0.0346469, 0.0251844, 0.0469575, 0.0489018, 0.040908, 0.0488346, 0.0532092
0.08, 0.0319375, 0.0971363, 0.0935779, 0.0443568, 0.00971518, 0.0196629, 0.0180012, 0.0114602, 0.0095304, 0.0109807, 0.00881117, 0.01056, 0.0179119, 0.0091174, 0.00490521, 0.00494175, 0.00603603, 0.00526897, 0.00363535, 0.00820078, 0.00691864, 0.00495942, 0.0126442, 0.031552, 0.0320922, 0.0184531, 0.0180646, 0.0485127, 0.0616936, 0.0978053, 0.211144, 0.0603651, 0.026774, 0.0272337, 0.0313653, 0.0161834, 0.0243288, 0.0405035, 0.0310107, 0.0519321, 0.0682307
0.09, 0.0319375, 0.0736464, 0.0417424, 0.0339103, 0.0127417, 0.0110951, 0.00724179, 0.0107738, 0.00716486, 0.00302334, 0.00297521, 0.00510401, 0.00580554, 0.00321348, 0.00165254, 0.00283637, 0.00615724, 0.00549829, 0.00431404, 0.00564623, 0.00877737, 0.00454998, 0.0159923, 0.0267026, 0.0260317, 0.0126824, 0.0174187, 0.0425174, 0.0638604, 0.0809695, 0.12122, 0.0794192, 0.0241755, 0.0251515, 0.0282488, 0.0163254, 0.0322397, 0.0372156, 0.037573, 0.0623547, 0.0614763
